ECG,EDA,RR
32692,51335,29204
32668,51319,29217
32592,51269,29118
32549,51228,29196
32576,51244,29058
32620,51300,29037
32608,51311,29028
32628,51353,29088
32608,51388,29087
32572,51364,29043
32509,51351,29024
32520,51302,28986
32540,51256,28926
32564,51244,28922
32620,51197,28909
32669,51277,28892
32713,51207,28876
32716,51345,28855
32644,51335,28757
32536,51372,28709
32502,51365,28643
32464,51307,28612
32440,51253,28807
32372,51141,28784
32364,51221,28831
32364,51284,28796
32332,51335,28740
32324,51367,28716
32337,51289,28759
32236,51345,28727
32188,51344,28652
32236,51319,28698
32248,51268,28597
32216,51153,28522
32188,51271,28501
32177,51274,28372
32180,51325,28440
32220,51359,28430
32265,51390,28502
32225,51365,28590
32198,51358,28593
32256,51302,28588
32288,51244,28508
32260,51225,28491
32281,51169,28506
32336,51286,28391
32332,51309,28271
32404,51319,28247
32488,51388,28246
32476,51359,28367
32480,51335,28363
32484,51312,28339
32468,51258,28332
32472,51267,28313
32504,51239,28281
32562,51180,28294
32604,51317,28278
32668,51342,28265
32708,51309,28252
32652,51353,28255
32576,51324,28223
32528,51309,28263
32472,51240,28300
32484,51153,28301
32552,51252,28136
32616,51265,28095
32648,51311,28021
32668,51335,28049
32712,51359,28175
32672,51351,28156
32642,51303,28153
32633,51277,28219
32580,51261,28241
32564,51225,28100
32576,51201,27944
32560,51252,27980
32529,51260,28039
32485,51287,28124
32460,51348,28109
32408,51365,28099
32408,51317,28101
32444,51287,28080
32378,51228,28109
32329,51172,28092
32309,51239,28084
32324,51244,28090
32292,51284,28071
32296,51310,28084
32356,51365,28079
32346,51335,28081
32324,51316,28053
32360,51271,28068
32328,51239,28069
32324,51197,28064
32380,51204,27990
32364,51161,27924
32348,51260,27909
32421,51309,28014
32460,51349,28053
32394,51324,28044
32334,51308,28054
32296,51257,28020
32284,51140,28057
32240,51201,28039
32244,51196,28020
32284,51135,28139
32334,51271,27940
32308,51296,27868
32304,51246,27939
32281,51316,28031
32288,51278,28033
32256,51167,28024
32225,51207,28023
32212,51183,28020
32248,51207,28005
32288,51204,27999
32336,51156,28007
32428,51303,28021
32500,51301,28052
32488,51324,28077
32472,51268,28086
32480,51252,28082
32496,51191,27818
32436,51079,27824
32408,51193,27879
32340,51200,27989
32316,51161,27998
32336,51278,27989
32404,51293,27977
32404,51309,28036
32429,51255,28060
32528,51144,28039
32480,51180,28082
32432,51140,28092
32464,51166,28072
32440,51197,28057
32436,51213,28079
32504,51285,28085
32600,51289,28055
