ECG,EDA,RR
33724,53511,31281
33740,53540,31268
33736,53575,31219
33700,53616,31340
33624,53671,31339
33512,53661,31224
33356,53636,31276
33248,53607,31391
33152,53599,31377
33016,53510,31268
32966,53564,31442
32896,53592,31404
32772,53623,31356
32705,53628,31418
32704,53748,31434
32704,53652,31383
32644,53708,31416
32628,53663,31461
32664,53631,31472
32628,53621,31357
32636,53542,31556
32628,53653,31488
32576,53679,31471
32484,53728,31490
32424,53759,31495
32388,53767,31380
32368,53761,31597
32399,53734,31495
32420,53703,31388
32400,53612,31595
32420,53617,31524
32440,53661,31511
32472,53671,31355
32528,53760,31548
32601,53736,31513
32588,53759,31488
32652,53702,31412
32800,53687,31512
32885,53712,31495
32840,53735,31435
32816,53740,31513
32876,53760,31492
32852,53767,31368
32848,53877,31476
32888,53916,31340
32873,53908,31546
32924,53788,31440
33060,53847,31441
33152,53804,31235
33220,53728,31476
33316,53815,31404
33346,53825,31205
33272,53825,31379
33166,53927,31340
33104,53956,31149
33041,53940,31397
33006,53871,31292
33052,53922,31162
33132,53855,31337
33204,53767,31228
33300,53861,31101
33421,53894,31226
33532,53935,31165
33608,53997,31063
33708,54023,31023
33736,54020,31089
33780,53924,31000
33768,53983,30860
33740,53940,31023
33668,53916,31017
33688,53916,30842
33736,53941,31013
33712,54014,30964
33728,54068,30837
33808,53999,30854
33833,54100,30961
33860,54085,30905
33840,54045,30683
33840,53988,30968
33776,54005,30845
33664,54007,30865
33544,54023,30724
33384,54068,30921
33345,54141,30820
33385,54136,30809
33372,54057,30823
33352,54141,30823
33380,54096,30776
33436,54064,30894
33396,54044,30834
33393,54071,30852
33356,54109,30653
33304,54039,30917
33201,54086,30885
33145,54151,30801
33100,54214,30887
33104,54188,30914
33110,54150,30793
33120,54148,30912
33040,54133,30921
33080,54047,30951
33149,54055,30820
33264,54119,30997
33372,54237,30983
33472,54244,30873
33432,54278,31045
33348,54255,31013
33236,54228,31036
33198,54193,30908
33172,54190,30917
33181,54092,31056
33276,54096,31063
33316,54132,30902
33268,54247,31100
33248,54309,31052
33180,54332,30928
33156,54228,30836
33196,54181,31111
33210,54244,31027
33200,54229,31044
33228,54234,30967
33252,54180,30861
33216,54303,30927
33212,54343,31009
33253,54364,31007
33244,54407,30962
33245,54380,30775
33270,54324,31054
33273,54240,30957
33292,54279,30951
33360,54279,30852
33420,54309,30746
33360,54356,30897
33256,54391,30893
33232,54429,30705
33264,54423,30868
33228,54429,30855
33252,54383,30820
33316,54348,30821
33308,54247,30676
33212,54335,30869
33180,54361,30780
33140,54396,30743
33309,54455,30788
33492,54471,30766
33552,54504,30749
33532,54486,30721
33500,54356,30580
33404,54407,30698
33296,54381,30709
33276,54380,30724
33276,54436,30708
33284,54471,30513
33276,54517,30753
33324,54500,30727
33280,54564,30732
33344,54535,30621
33312,54525,30541
33372,54428,30696
33328,54449,30780
33340,54440,30816
33569,54481,30724
33656,54525,30748
33624,54525,30727
33612,54532,30561
33508,54604,30669
33341,54586,30748
33244,54561,30761
33222,54528,30565
33252,54484,30800
33427,54516,30757
33504,54460,30778
33484,54580,30760
33524,54615,30551
33561,54653,30827
33508,54668,30727
33456,54656,30727
33332,54631,30704
33273,54580,30693
33352,54557,30696
33477,54573,30536
33488,54554,30586
33440,54629,30644
33392,54671,30624
33276,54711,30404
33104,54644,30609
33113,54663,30535
33129,54669,30532
33120,54613,30505
33168,54631,30400
33160,54524,30241
33168,54636,30359
33176,54685,30385
33220,54743,30376
33236,54703,30276
33240,54772,30137
33218,54685,30194
33240,54651,30293
33241,54687,30192
33236,54655,30174
33300,54682,30143
33332,54628,30087
33304,54716,29861
33224,54780,30132
33220,54776,30021
33184,54736,30004
33216,54791,29833
33308,54784,29901
33356,54759,29885
33304,54723,29768
33364,54612,29861
33304,54628,29796
33094,54766,29799
33081,54791,29751
33076,54855,29660
32944,54868,29583
32902,54836,29500
32873,54837,29420
32860,54787,29668
32812,54773,29633
32852,54663,29570
32936,54773,29500
33072,54764,29650
33180,54868,29529
33185,54911,29518
33104,54895,29476
33109,54903,29340
33150,54791,29492
33184,54733,29426
33128,54791,29437
33045,54788,29328
32996,54815,29375
33029,54863,29335
33072,54892,29317
33076,54935,29301
33024,54958,29319
33116,54868,29038
33352,54887,29254
33568,54856,29223
33844,54830,29313
34303,54830,29220
34806,54844,29008
35360,54906,29184
35980,54959,29149
36640,54996,29103
37126,55006,29066
37532,54997,29129
38032,54948,29121
38572,54927,28954
38952,54892,29063
39188,54791,29104
39544,54914,29060
40052,54957,29045
40328,55015,28816
40204,55061,29108
39572,55061,29006
38384,55036,28974
37128,55015,28988
35646,54983,29007
34053,54959,28806
32384,54940,29023
31004,54980,28940
30264,55036,28940
30076,55028,28774
30392,54994,28876
30768,55007,28831
31166,55084,28828
31572,55042,28732
31932,55020,28613
32116,54997,28706
32176,54919,28833
32180,54941,28733
32180,55039,28736
32164,55076,28695
32229,55132,28575
32192,55143,28805
32028,55124,28706
31917,54972,28718
31855,55036,28621
31849,55004,28679
31893,55020,28765
31920,55046,28680
31944,55078,28673
32008,55011,28612
32064,55143,28396
32065,55148,28529
32072,55143,28677
32056,55109,28595
32053,55015,28572
32104,55029,28544
32100,55008,28559
32176,55068,28479
32196,55044,28430
32172,55031,28621
32196,55172,28521
32108,55175,28516
31972,55125,28365
31908,55141,28492
31876,55111,28505
31940,55071,28365
32084,54972,28249
32202,54973,28454
32200,55012,28397
32184,55140,28231
32260,55175,28333
32260,55193,28360
32216,55189,28348
32224,55101,28327
32284,55047,28156
32288,55081,28364
32292,55068,28268
32256,55086,28284
32200,55092,28007
32160,55100,28206
32180,55213,28284
32180,55239,28298
32238,55100,28244
32312,55168,28200
32337,55132,28157
32452,55100,28295
32676,55087,28224
32760,55099,28199
32893,55172,28110
32924,55199,28015
32925,55233,28317
32836,55247,28220
32736,55245,28261
32704,55193,28229
32716,55151,28105
32576,55139,28290
32604,55097,28276
32748,55142,28313
32768,55172,28301
32764,55231,28208
32912,55157,28064
32876,55264,28313
32780,55236,28383
32709,55215,28376
32668,55127,28390
32656,55092,28335
32836,55135,28158
32948,55165,28189
33001,55189,28208
32952,55231,28540
32945,55208,28449
32796,55281,28508
32633,55220,28468
32412,55156,28365
32396,55175,28473
32388,55175,28613
32444,55093,28556
32524,55071,28540
32488,55205,28423
32508,55188,28541
32608,55303,28648
32646,55192,28649
32608,55278,28632
32609,55263,28649
32608,55143,28620
32593,55079,28496
32664,55172,28502
32740,55185,28465
32652,55208,28709
32570,55279,28788
32556,55300,28740
32504,55324,28537
32460,55289,28622
32436,55285,28616
