ECG,EDA,RR
39489,54700,28892
39744,54743,28728
39600,54791,28935
38936,54930,28924
37788,54940,28924
36350,54860,28667
34732,54813,28945
33056,54762,28917
31308,54753,29008
30052,54713,28710
29452,54717,28928
29512,54860,28988
29885,54893,28701
30304,54929,28820
30676,54943,28861
31020,54940,28801
31332,54901,28831
31636,54861,28772
31840,54828,28589
31988,54748,28641
32097,54847,28648
32188,54887,28640
32197,54878,28664
32272,54940,28700
32242,54946,28785
32129,54935,28796
32064,54917,28879
31997,54868,28541
31924,54839,28660
31888,54828,28732
31929,54737,28743
31996,54867,28728
32072,54908,28832
32136,54943,28657
32220,54964,28725
32232,54943,28761
32272,54909,28807
32280,54872,28696
32196,54836,28635
32164,54825,28768
32192,54855,28774
32212,54783,28753
32245,54837,28829
32276,54895,28808
32292,54919,28684
32288,54964,28570
32304,54933,28699
32430,54901,28706
32480,54855,28679
32548,54848,28689
32624,54791,28626
32632,54791,28532
32608,54917,28628
32592,54951,28660
32624,54968,28445
32580,54951,28575
32620,54909,28548
32656,54877,28246
32704,54781,28503
32812,54832,28448
32953,54860,28356
33065,54895,28354
33124,54900,28386
33180,54852,28319
33192,54927,28347
33204,54948,28359
33212,54909,28102
33184,54884,28285
33148,54852,28311
33172,54837,28301
33244,54836,28234
33357,54885,28225
33444,54919,28278
33488,54950,28285
33428,54965,28327
33317,54943,28212
33260,54948,28276
33285,54892,28277
33276,54821,28096
33337,54852,28261
33408,54759,28285
33436,54862,28305
33504,54839,28239
33600,54911,28130
33692,54877,28324
33668,54960,28361
33677,54919,28399
33720,54853,28106
33668,54839,28324
33633,54823,28164
33656,54838,28367
33670,54887,28383
33660,54926,28388
33660,54968,28438
33644,54973,28317
33580,54941,28414
33528,54950,28435
33489,54919,28457
33400,54873,28258
33412,54875,28449
33480,54882,28490
33526,54908,28453
33548,54903,28501
33544,54973,28551
33508,54983,28497
33445,54964,28433
33412,54943,28401
33340,54908,28532
33230,54876,28543
33196,54852,28549
33148,54791,28583
33057,54900,28540
33004,54900,28580
32928,54887,28631
32864,54909,28506
32825,54913,28429
32844,54833,28613
32852,54902,28559
32812,54871,28565
32844,54863,28586
32861,54868,28589
32852,54900,28468
32800,54932,28622
32732,54983,28620
32688,55004,28380
32612,54985,28601
32594,54919,28658
32588,54855,28727
32572,54777,28482
32493,54860,28645
32404,54873,28690
32376,54888,28582
32388,54932,28622
32452,54965,28635
32476,54983,28580
32508,54958,28501
32504,54928,28663
32484,54895,28693
32450,54860,28422
32432,54772,28618
32440,54768,28697
32416,54845,28721
32388,54948,28718
32452,54981,28594
32436,54877,28673
32416,54861,28641
32448,54855,28583
32460,54895,28697
32380,54871,28721
32360,54867,28718
32413,54874,28493
32400,54906,28618
32404,54948,28726
32420,54974,28717
32464,54981,28633
32432,54956,28516
32433,54839,28688
32472,54877,28712
32576,54855,28708
32656,54839,28801
32681,54837,28501
32630,54877,28720
32533,54919,28708
32512,54949,28697
32544,54965,28696
32512,54940,28634
32552,54901,28724
32601,54868,28703
32576,54847,28810
32624,54828,28489
32696,54837,28719
32773,54772,28748
32788,54919,28760
32821,54959,28756
32792,54919,28754
32732,54917,28841
32685,54884,28829
32684,54857,28549
32672,54824,28780
32680,54804,28820
32736,54837,28832
32728,54862,28774
32669,54892,28642
32620,54919,28831
32573,54935,28848
32544,54910,28851
32548,54772,28903
32532,54812,28847
32440,54820,28780
32460,54736,28890
32473,54769,28904
32472,54847,28885
32424,54863,28908
32485,54903,28913
32505,54913,28992
32492,54892,28753
32524,54860,28964
32556,54833,28964
32560,54791,28983
32572,54789,28772
32640,54791,28985
32632,54824,29015
32628,54853,29084
32620,54892,28853
32610,54906,29003
32608,54790,29049
32590,54733,29109
32564,54783,29055
32480,54695,29045
32412,54663,29079
32372,54687,29176
32396,54779,29007
32416,54720,29025
