ECG,EDA,RR
33932,19162,29255
33680,19095,29282
33422,19047,29319
33249,19065,29403
33292,19010,29334
33414,19068,29437
33604,19084,29358
33820,19205,29356
33912,19200,29550
33888,19257,29575
33692,19157,29559
33544,19100,29561
33342,19044,29604
33157,19053,29645
33184,19015,29737
33308,19098,29788
33472,19119,29743
33708,19157,29688
33824,19263,29913
33788,19198,29866
33672,19151,29958
33448,19110,29909
33180,19028,30092
32988,19015,30121
33064,18990,30061
33156,19075,30009
33285,19079,30143
33544,19170,30262
33756,19254,30316
33714,19195,30259
33528,19167,30223
33317,19179,30265
33168,19044,30328
33120,19035,30348
33032,19002,30428
33049,19100,30552
33176,19093,30559
33528,19229,30519
33616,19202,30565
33600,19251,30566
33408,19151,30683
33168,19124,30744
33044,19035,30719
32872,19012,30724
32836,19066,30820
33001,19037,30836
33212,19144,30867
33444,19158,30839
33588,19196,30799
33592,19199,30892
33492,19156,30873
33268,19110,31068
32980,19101,31076
32776,18997,31122
32800,19016,31118
32964,19033,31097
33246,19111,31002
33508,19156,31021
33545,19212,31060
33464,19188,31042
33305,19169,31026
33168,19100,31249
33053,19052,31123
32773,18998,31321
32626,19010,31354
32780,19109,31349
33108,19098,31367
33308,19201,31367
33364,19270,31444
33321,19197,31487
33196,19167,31511
33032,19103,31544
32792,19044,31562
32568,19021,31581
32608,19003,31628
32776,19052,31655
32941,19140,31685
33116,19159,31711
33212,19206,31741
33244,19244,31740
33136,19159,31713
32877,19130,31745
32756,19108,31928
32641,19004,31958
32688,19038,31997
32796,19043,31984
32952,19146,31857
33092,19164,31809
33258,19225,31828
33169,19196,32069
33028,19164,32116
32864,19121,32209
32640,19072,32230
32516,19009,32229
32440,19022,32151
32452,19097,32245
32712,19095,32255
32948,19166,32185
33112,19211,32300
33016,19266,32374
32796,19160,32487
32748,19111,32367
32684,19061,32421
32584,19076,32452
32532,19020,32508
32448,19055,32316
32388,19141,32481
32364,19168,32516
32536,19212,32511
32565,19272,32548
32465,19182,32489
32161,19180,32685
31864,19063,32500
31648,19070,32527
31472,19019,32665
31677,19072,32695
32008,19103,32727
32332,19188,32761
32581,19266,32813
32604,19201,32937
32444,19202,32992
32192,19114,33031
32004,19070,33059
32020,19078,33022
32288,19029,32897
32532,19117,33031
32829,19106,32985
33092,19219,33040
33524,19212,32994
33697,19244,33061
33440,19174,33038
33184,19135,33064
32972,19073,33169
32764,19014,33065
32876,19037,33059
33008,19059,33031
33176,19173,33108
33308,19186,33251
33440,19278,33344
33452,19229,33380
33264,19247,33375
33140,19137,33488
32936,19126,33297
32708,19033,33383
32672,19092,33425
32768,19079,33468
32985,19165,33259
33240,19193,33272
33356,19265,33301
33316,19224,33316
33157,19207,33413
32928,19126,33482
32696,19094,33481
32624,19027,33423
32644,19044,33537
32944,19134,33676
33157,19135,33679
33200,19188,33471
33028,19238,33604
32456,19272,33684
31537,19183,33880
30557,19136,33679
29593,19092,33748
28548,19034,33793
27596,19044,33853
27100,19069,33644
26916,19132,33865
26800,19189,33901
27040,19247,33924
27492,19227,33951
28280,19180,33965
29818,19132,33988
31552,19057,34000
34100,19034,33777
37144,19022,33848
