ECG,EDA,RR
32481,26410,34241
32449,26423,34469
32551,26460,34378
32728,26514,34228
32974,26572,34324
33100,26596,34309
33156,26582,34120
33060,26539,34332
32864,26496,34270
32704,26434,34116
32612,26406,34149
32560,26428,34037
32700,26471,34107
32828,26522,34049
33096,26588,34117
33312,26601,34020
33388,26596,34109
33252,26548,34097
33048,26503,34109
32736,26443,34004
32484,26427,33976
32464,26433,33920
32673,26476,33958
32912,26527,33836
33180,26589,33973
33266,26613,33806
33264,26598,33905
33124,26561,33819
32900,26504,33937
32662,26457,33891
32550,26417,33900
32596,26449,33844
32812,26487,33855
33084,26535,33839
33404,26594,33841
33556,26621,33805
33477,26597,33811
33272,26567,33829
33000,26509,33774
32828,26461,33758
32544,26435,33585
32432,26446,33683
32454,26486,33556
32564,26548,33653
32876,26604,33516
33184,26627,33559
33180,26619,33449
32960,26569,33660
32744,26522,33606
32496,26466,33575
32216,26441,33528
32004,26459,33508
31993,26499,33521
32160,26540,33519
32396,26608,33493
32613,26632,33513
32612,26623,33271
32503,26577,33407
32220,26529,33230
31949,26469,33308
31809,26453,33228
31916,26469,33325
32032,26503,33345
32264,26556,33319
32548,26621,33333
32805,26643,33103
32768,26630,33159
32592,26586,33069
32496,26545,33173
32288,26478,33039
32244,26463,33157
32340,26478,33132
32540,26525,33133
32892,26566,33157
33248,26631,33095
33564,26649,32998
33704,26643,33031
33616,26600,32917
33396,26557,32984
33108,26503,32862
32916,26471,32984
32932,26484,32783
33033,26526,32903
33168,26575,32775
33248,26639,32924
33469,26668,32876
33452,26658,32844
33360,26607,32838
33248,26570,32864
32988,26514,32648
32724,26485,32752
32689,26503,32606
32824,26537,32732
33048,26593,32774
33272,26649,32553
33472,26679,32602
33396,26674,32628
33248,26626,32678
33072,26584,32692
32916,26528,32645
32736,26498,32655
32744,26519,32608
32908,26549,32613
32836,26602,32428
32506,26669,32474
31960,26695,32388
31308,26683,32513
30749,26645,32516
30138,26580,32492
29410,26532,32501
28856,26495,32455
28708,26524,32393
28556,26545,32268
28453,26604,32313
28701,26652,32237
29301,26690,32293
30388,26671,32191
31568,26653,32356
33096,26607,32296
35404,26532,32249
37916,26552,32251
40276,26533,32262
41420,26629,32133
41176,26642,32174
40624,26736,32034
40152,26732,32169
39408,26758,32124
38472,26678,32077
37288,26623,32077
36272,26572,32084
35416,26535,32039
34596,26559,32036
33989,26593,31940
33620,26651,31820
33516,26716,31961
33512,26735,31908
33348,26735,31903
32956,26701,31822
32592,26648,31678
32288,26588,31764
32012,26567,31629
31844,26583,31774
31921,26619,31725
32136,26669,31557
32388,26732,31639
32572,26771,31504
32592,26757,31565
32432,26725,31477
32204,26670,31588
31928,26609,31575
31664,26584,31509
31624,26594,31518
31680,26631,31425
31896,26693,31495
32149,26758,31495
32313,26786,31343
32336,26775,31442
32268,26740,31294
32000,26701,31410
31744,26631,31428
31520,26605,31274
31424,26615,31324
31500,26666,31325
31708,26707,31389
32018,26781,31333
32276,26815,31222
32396,26796,31325
32252,26769,31380
31956,26719,31230
31680,26668,31269
31450,26631,31175
31392,26651,31228
31476,26691,31148
31520,26736,31239
31720,26802,31125
31954,26836,31250
31920,26830,31205
31669,26804,31245
31456,26747,31257
31292,26693,31081
31148,26652,31121
31096,26684,31029
31240,26711,31116
31348,26761,31028
31556,26839,31092
31692,26864,30978
31664,26863,31116
31640,26817,30985
31476,26777,31061
31204,26712,30927
30945,26692,31040
30868,26700,30928
31068,26740,30993
31252,26793,30821
31396,26857,30912
31632,26898,30808
31600,26877,30914
31412,26860,30877
31057,26804,30878
30740,26754,30880
30460,26716,30697
30348,26734,30781
30460,26751,30645
30636,26820,30711
30792,26887,30592
30982,26925,30743
31032,26911,30629
30888,26893,30580
30592,26839,30668
30190,26789,30645
29936,26749,30500
29888,26765,30521
29892,26791,30428
30076,26853,30536
30320,26903,30530
30416,26956,30386
30404,26947,30441
30244,26920,30413
30020,26868,30456
29772,26827,30437
29593,26782,30276
29532,26783,30372
29564,26836,30206
29734,26877,30350
29888,26956,30305
30116,26991,30143
30200,26961,30284
30120,26962,30284
30016,26903,30116
29837,26841,30228
29676,26834,30240
29737,26820,30068
29965,26878,30183
30284,26921,30135
30638,26988,30140
30998,27028,30072
31088,27023,30073
31122,26986,30134
31040,26959,29996
31028,26893,30118
30964,26856,30116
31121,26879,30052
31430,26920,29951
31796,26967,30096
32220,27029,30098
32632,27071,29981
32924,27076,30084
33034,27045,29997
33028,27001,30104
32920,26947,30092
32812,26908,30108
32910,26930,30103
33244,26960,30064
33652,27015,30014
34029,27076,30111
34360,27124,30113
34464,27121,30105
34464,27103,30111
34341,27044,30005
34212,26996,30076
34052,26966,29950
33966,26969,30023
34060,27007,29997
34400,27067,30108
34752,27142,30076
35024,27173,29938
35072,27177,30076
35036,27143,30100
34908,27103,29981
34580,27052,30063
34318,27012,30076
34240,27031,30100
34440,27063,30104
34743,27116,29933
34980,27195,30080
35152,27224,30093
35212,27229,29936
35036,27212,30076
34773,27167,30010
34557,27106,30086
34336,27061,29916
34332,27076,30067
34432,27121,30076
34485,27169,29936
34728,27241,29997
34991,27276,29972
35092,27279,29909
34988,27254,30011
34772,27217,29964
34485,27154,30047
34236,27126,30050
34224,27132,29919
34324,27177,29959
34592,27232,29885
34832,27293,30012
34933,27338,29972
34832,27341,30038
34656,27317,30014
34436,27271,29900
34197,27222,30025
34000,27176,30050
33960,27194,29919
34052,27239,30021
34228,27286,30045
34417,27358,29920
34660,27411,30053
34660,27399,29984
34512,27377,29972
34316,27330,30066
34028,27282,30070
33776,27249,29936
33624,27257,30087
33645,27300,30108
33850,27353,29964
34100,27409,30111
34284,27468,30130
34324,27473,30045
34149,27441,30111
33909,27399,30022
33716,27337,30069
33552,27324,30093
33476,27323,30014
33556,27357,30173
33692,27423,30180
33908,27484,30071
34196,27527,30165
34300,27536,30048
34117,27517,30168
33876,27466,30078
33653,27415,30206
33392,27375,30227
33296,27391,30065
33268,27425,30202
33465,27485,30093
33672,27551,30245
33928,27601,30151
33985,27606,30215
33858,27581,30140
33628,27543,30272
33356,27479,30277
33076,27459,30269
32980,27461,30293
33064,27503,30286
33196,27544,30185
33376,27616,30310
33640,27660,30290
33856,27677,30148
33820,27652,30223
33536,27605,30183
33230,27557,30313
33008,27526,30292
33028,27531,30148
33192,27569,30263
33412,27625,30196
33560,27695,30285
33752,27737,30305
33848,27744,30300
33768,27722,30152
33584,27687,30303
33344,27633,30305
33044,27600,30176
32944,27596,30324
33108,27643,30319
33365,27696,30317
33676,27767,30202
34020,27812,30274
34092,27820,30196
33884,27793,30281
33568,27763,30189
33288,27669,30281
33016,27673,30260
32916,27678,30341
33022,27709,30305
33252,27766,30215
33612,27834,30276
33924,27887,30193
33944,27882,30326
33812,27875,30345
33596,27828,30230
33336,27778,30287
32944,27744,30206
32800,27740,30357
32917,27797,30365
33132,27839,30212
33360,27911,30277
33668,27958,30181
33708,27972,30324
33592,27944,30208
33292,27895,30307
33084,27855,30180
32820,27815,30268
32688,27821,30224
32748,27858,30325
33057,27910,30185
33277,27984,30287
33428,28039,30160
33564,28038,30266
33556,28011,30200
33248,27981,30304
33072,27925,30182
32884,27888,30276
32716,27889,30176
32821,27935,30263
33040,27989,30165
33196,28047,30251
33472,28103,30124
33580,28111,30168
33528,28061,30069
33284,28055,30214
32849,28004,30183
32584,27969,30200
32436,27972,30211
32709,28000,30079
32864,28059,30143
32805,28131,30028
33164,28160,30098
33416,28183,30036
33273,28161,30134
33048,28124,30039
32928,28076,30096
32577,28026,30028
32440,28039,30060
32496,28068,29988
32736,28128,30116
32894,28193,30129
33064,28229,30006
33218,28257,30063
33124,28234,30028
32944,28196,30087
32712,28140,30000
32584,28105,30170
32532,28100,30201
32572,28140,30071
32812,28192,30204
33033,28265,30160
33232,28314,30280
33228,28308,30290
33120,28307,30173
32924,28263,30329
32688,28212,30289
32461,28164,30407
32432,28178,30469
32452,28204,30397
32784,28257,30468
32944,28326,30522
33200,28379,30591
33432,28389,30502
33400,28365,30644
33128,28319,30721
32912,28282,30766
32644,28231,30825
32592,28236,30857
32688,28268,30862
32840,28329,30956
33084,28389,31031
33428,28445,30975
33548,28448,31092
33388,28431,31186
33084,28397,31156
32844,28347,31285
32608,28316,31202
32436,28295,31344
32480,28341,31322
32668,28391,31534
32737,28445,31591
32904,28511,31649
33052,28517,31696
33004,28503,31600
32748,28462,31765
32480,28399,31857
32164,28369,31868
32044,28372,31923
32112,28395,31864
32330,28457,31967
32620,28511,32089
32872,28572,32052
33004,28583,32116
33044,28559,32060
32828,28523,32236
32428,28465,32284
32048,28437,32332
31788,28437,32320
31772,28458,32237
31944,28503,32413
32188,28581,32437
32500,28614,32317
32617,28629,32471
32532,28623,32380
32364,28562,32548
32080,28508,32540
31878,28485,32437
31816,28487,32620
31992,28503,32591
32288,28560,32517
32685,28631,32551
33036,28677,32593
33028,28692,32559
32740,28671,32724
32472,28630,32704
32544,28582,32587
32548,28524,32641
32568,28535,32593
32804,28571,32759
33036,28620,32745
33332,28685,32753
33633,28727,32759
33836,28751,32624
33792,28729,32692
33604,28679,32623
33484,28636,32772
33217,28595,32767
33092,28580,32621
33112,28622,32740
33336,28668,32604
33472,28732,32729
33730,28784,32687
33782,28796,32709
33693,28776,32569
33540,28717,32642
33345,28678,32569
33156,28641,32725
32940,28628,32671
32932,28661,32551
33076,28717,32615
33372,28765,32535
33708,28834,32669
33888,28839,32551
33856,28820,32644
33752,28775,32636
33409,28726,32553
33060,28685,32542
32672,28679,32481
32077,28693,32548
31360,28756,32535
30972,28827,32607
30996,28879,32460
30628,28877,32577
30128,28869,32492
29677,28805,32576
29076,28781,32486
28452,28679,32509
28334,28711,32432
28360,28710,32495
29086,28772,32400
30708,28817,32544
32316,28894,32567
34336,28900,32391
36772,28879,32519
39268,28868,32405
41224,28806,32436
41560,28750,32377
40664,28720,32516
39916,28796,32482
39336,28825,32484
38828,28911,32328
38116,28943,32407
37284,28949,32447
36592,28935,32293
35820,28888,32383
34924,28832,32340
33948,28783,32396
33348,28780,32348
33040,28798,32362
32902,28852,32313
32700,28857,32358
32852,28965,32365
32752,28988,32332
32517,28948,32304
32292,28917,32183
31992,28845,32247
31684,28816,32194
31440,28783,32294
31460,28825,32310
31700,28857,32180
31928,28929,32324
32184,28989,32311
32340,29007,32316
32260,28967,32320
31996,28935,32254
31693,28891,32165
31424,28829,32247
31238,28824,32245
31340,28853,32342
31558,28902,32298
31708,28954,32358
31992,29007,32263
32168,29014,32333
32084,29004,32313
31908,28953,32372
31680,28911,32316
31464,28846,32398
31200,28848,32417
31312,28862,32302
31592,28911,32381
31776,28966,32262
31924,29007,32389
32080,29029,32271
32040,29021,32356
31876,28964,32272
31556,28854,32417
31392,28860,32448
31292,28857,32337
31272,28871,32416
31292,28924,32301
31428,28965,32391
31708,29036,32308
31800,29029,32341
31604,29029,32268
31476,28959,32391
31330,28921,32271
31108,28877,32400
31034,28839,32292
31104,28884,32404
31269,28928,32366
31384,28965,32231
31532,29038,32308
31513,29021,32228
31508,29024,32298
31316,28993,32245
30968,28912,32327
30648,28866,32356
30308,28835,32354
30376,28884,32207
30653,28909,32256
30940,28975,32223
31084,29045,32311
31207,29025,32231
31100,29023,32378
30852,28991,32341
30624,28909,32218
30381,28860,32368
30144,28858,32343
29996,28895,32221
30220,28901,32381
30360,28974,32353
30492,29044,32251
30590,29026,32298
30500,29029,32205
30216,28958,32300
29793,28923,32196
29364,28884,32329
29136,28823,32336
29256,28868,32336
29380,28932,32306
29488,28951,32268
29604,29036,32293
29854,29020,32222
29723,29009,32247
29664,28988,32095
29342,28885,32169
28933,28879,32044
28872,28825,32101
28848,28884,32017
29012,28877,32148
29232,28961,32121
29528,28991,32092
29820,29029,31973
29720,29021,32052
29672,28932,32014
29501,28895,31872
29312,28868,31991
29300,28809,31879
29548,28867,31970
29825,28870,31935
30100,28930,31772
30508,29000,31928
30816,29031,31872
31108,28986,31727
31240,28958,31829
31124,28905,31733
31204,28825,31824
31208,28833,31729
31348,28828,31829
31876,28879,31780
32436,28945,31760
32852,29001,31696
33017,29013,31820
33218,28982,31721
33256,28948,31879
33272,28889,31855
33296,28828,31766
33168,28814,31828
33353,28837,31860
33693,28871,31788
33876,28935,31916
34216,28980,31902
34548,29005,31804
34524,28987,31924
34444,28925,31925
34341,28883,31812
34112,28825,31953
33812,28804,31989
33736,28828,31973
