ECG,EDA,RR
32325,30538,36889
32108,30477,36685
31772,30416,36859
31504,30396,36740
31520,30407,36999
31660,30480,36999
31825,30533,37023
32024,30582,37053
32224,30596,37010
32152,30561,37020
31948,30513,37022
31702,30455,37087
31493,30399,37085
31350,30380,37208
31398,30407,37276
31532,30444,37338
31728,30493,37332
31904,30550,37431
32032,30552,37442
32012,30549,37567
31840,30525,37657
31620,30470,37473
31365,30385,37656
31160,30369,37573
31148,30388,37852
31276,30461,37689
31484,30523,37922
31684,30575,37812
31860,30593,38058
31720,30556,38151
31489,30509,38188
31256,30451,38221
31024,30389,38204
30857,30363,38334
30896,30383,38470
31136,30455,38503
31408,30500,38581
31544,30563,38580
31576,30580,38725
31588,30566,38725
31396,30512,38786
31088,30463,38823
30816,30404,38943
30656,30380,38886
30708,30397,39070
30797,30436,39061
31073,30485,39240
31368,30536,39137
31464,30569,39381
31380,30559,39286
31112,30510,39508
30816,30455,39365
30489,30397,39756
30420,30343,39481
30372,30351,39820
30500,30432,39837
30720,30444,39916
30852,30513,39937
31000,30527,39998
30876,30504,40047
30525,30469,40151
30232,30418,40145
29992,30356,40160
29901,30367,40175
29828,30385,40269
29904,30428,40398
30004,30476,40356
30064,30532,40455
30020,30553,40448
30004,30531,40574
29752,30441,40357
29426,30393,40551
29076,30329,40648
28844,30303,40658
28868,30327,40788
28980,30372,40741
29148,30417,40868
29276,30493,40543
29332,30525,40780
29258,30501,40756
29100,30438,40935
28836,30402,40893
28612,30335,41028
28524,30329,41156
28512,30351,41103
28640,30399,41229
28892,30423,41151
29184,30471,41093
29460,30485,41164
29492,30457,41049
29408,30416,41429
29224,30365,41388
29068,30301,41487
28993,30325,41453
29150,30335,41263
29437,30383,41517
29792,30433,41367
30228,30465,41716
30544,30471,41716
30844,30436,41786
30932,30449,41772
30926,30392,41717
30892,30335,41839
31064,30310,41784
31469,30317,41888
31928,30343,41754
32268,30399,42149
32668,30447,42104
33096,30462,42234
33296,30471,42190
33380,30427,42117
33412,30381,42215
33359,30311,42208
33336,30308,42391
33412,30307,42343
33596,30343,42463
33908,30392,42516
34181,30459,42605
34516,30479,42596
34580,30455,42597
34508,30402,42479
34328,30344,42657
34232,30287,42784
34012,30269,42527
34060,30278,42711
34300,30324,42697
34512,30373,42929
34848,30404,42868
35096,30447,42709
35040,30420,42943
34752,30389,42863
34576,30351,43088
34400,30287,43117
34264,30263,43110
34292,30273,43132
34344,30294,42973
34612,30348,43164
34885,30413,43217
34905,30436,43238
34776,30415,43236
34774,30380,43015
34534,30331,43174
34292,30264,43117
34068,30244,43260
34032,30247,43293
34156,30285,43367
34328,30348,43279
34516,30405,43392
34692,30432,43136
34700,30412,43300
34564,30375,43278
34376,30329,43466
34145,30269,43375
33940,30233,43325
33821,30228,43501
33880,30267,43452
34096,30325,43329
34400,30386,43524
34508,30405,43520
34452,30405,43260
34324,30365,43540
33988,30310,43575
33756,30251,43564
33644,30226,43460
33680,30233,43485
33825,30254,43622
33900,30307,43536
33969,30358,43404
34108,30383,43548
34136,30375,43535
34060,30330,43712
33820,30292,43728
33516,30229,43492
33348,30189,43688
33376,30207,43581
33501,30247,43734
33600,30294,43733
33656,30354,43892
34016,30383,43910
34132,30373,43692
33968,30342,43991
33609,30280,43986
33476,30221,43761
33228,30191,43980
33188,30203,44004
33376,30230,44144
33500,30284,44057
33736,30351,44132
33910,30375,43957
33816,30343,44172
33680,30308,44261
33560,30263,44081
33340,30204,44359
33144,30172,44375
33108,30181,44138
33276,30215,44361
33476,30266,44384
33708,30321,44500
33864,30356,44508
33780,30343,44532
33600,30305,44545
33465,30237,44335
33253,30180,44502
33068,30151,44520
32968,30166,44639
33064,30208,44583
33189,30255,44485
33368,30322,44679
33592,30343,44692
33616,30340,44532
33488,30301,44761
33312,30255,44708
33127,30168,44661
32948,30132,44804
33076,30136,44792
33228,30167,44599
33368,30220,44788
33600,30295,44796
33794,30331,44741
33692,30327,44624
33648,30263,44847
33416,30222,44869
33208,30165,44745
33038,30132,44648
32912,30127,44836
33024,30177,44911
33248,30231,44890
33464,30286,44678
33629,30289,44837
33604,30289,44872
33432,30249,44967
33320,30197,44948
33060,30143,44697
32888,30103,44909
32964,30121,44972
33048,30156,44721
33108,30205,44909
33308,30272,44830
33444,30277,45019
33524,30287,44991
33400,30256,44798
33280,30180,44773
32952,30135,45037
32743,30101,44972
32780,30111,45016
32820,30141,45049
33080,30183,44997
33340,30241,44991
33381,30269,44886
33492,30276,45031
33421,30231,45044
33120,30199,44807
32844,30129,44980
32708,30092,44871
32777,30101,45002
32812,30124,45020
32928,30167,44800
33192,30215,45012
33380,30253,44863
33384,30255,45036
33340,30215,44991
