ECG,EDA,RR
29532,23416,31102
29168,23359,31246
28885,23285,31224
28680,23253,31175
28668,23246,31124
28716,23284,31114
28800,23334,31076
28952,23399,31012
29141,23436,30989
29116,23438,31121
28992,23405,31022
28808,23348,30916
28558,23294,30860
28322,23247,30829
28246,23248,30837
28288,23276,30942
28436,23334,30927
28744,23399,30876
29076,23431,30940
29260,23443,30726
29284,23397,30862
29128,23356,30857
29004,23284,30700
28925,23247,30809
29040,23243,30865
29285,23273,30792
29664,23329,30701
30037,23402,30830
30392,23428,30636
30620,23431,30778
30772,23418,30661
30760,23345,30780
30820,23281,30745
30836,23246,30591
31004,23247,30596
31336,23298,30726
31720,23344,30702
32124,23389,30633
32444,23433,30740
32652,23441,30558
32688,23409,30512
32676,23380,30662
32676,23281,30647
32615,23247,30623
32712,23268,30487
32964,23271,30624
33246,23329,30560
33508,23394,30499
33722,23453,30616
33764,23431,30554
33740,23399,30420
33572,23358,30388
33360,23322,30532
33252,23241,30493
33244,23249,30456
33418,23277,30487
33616,23349,30504
33768,23423,30372
34012,23435,30287
34188,23461,30413
34172,23398,30349
33896,23356,30385
33636,23285,30197
33536,23242,30181
33448,23276,30309
33384,23280,30248
33476,23351,30252
33656,23387,30244
33840,23447,30076
33884,23423,30202
33748,23400,30133
33500,23380,30161
33268,23292,30148
33132,23265,30071
33132,23245,30085
33204,23289,30117
33352,23317,30024
33572,23391,29943
33740,23447,29860
33828,23460,29856
33744,23391,29860
33608,23350,29977
33296,23297,29820
33200,23263,29815
33112,23231,29765
33053,23263,29812
33217,23324,29854
33424,23395,29824
33672,23456,29723
33668,23431,29734
33552,23425,29828
33396,23344,29809
33188,23311,29684
32988,23242,29642
32921,23259,29652
32976,23266,29640
33172,23327,29758
33412,23404,29661
33648,23427,29767
33692,23428,29583
33637,23425,29588
33420,23349,29684
33218,23303,29601
33004,23232,29689
32984,23240,29537
33104,23262,29663
33324,23319,29565
33520,23409,29673
33700,23417,29637
33710,23431,29493
33572,23420,29458
33400,23338,29613
33200,23278,29596
32952,23244,29584
32856,23257,29551
32984,23260,29493
33085,23320,29524
33200,23396,29582
33428,23393,29547
33532,23423,29390
33508,23401,29416
33334,23375,29511
33136,23273,29484
33020,23236,29396
32945,23228,29509
32929,23268,29428
33056,23322,29364
33208,23399,29294
33468,23427,29431
33560,23445,29319
33520,23387,29366
33304,23344,29405
33080,23303,29260
32836,23224,29191
32740,23236,29254
32872,23236,29299
33109,23311,29244
33382,23383,29188
33620,23413,29285
33656,23420,29268
33569,23400,29253
33400,23365,29217
33212,23271,29217
33084,23237,29021
33048,23241,29005
33144,23292,28999
33248,23300,28982
33452,23367,28957
33692,23409,28940
33784,23415,28931
33662,23381,29063
33510,23347,29046
33348,23301,29041
33112,23225,29021
33029,23229,28984
33112,23281,28916
33276,23298,29022
33472,23391,28920
33677,23413,28967
33728,23431,28968
33644,23382,28943
33444,23334,28944
33257,23273,28943
33152,23257,28927
33072,23217,28915
33144,23255,28904
33352,23300,28916
33568,23399,28836
33748,23409,28917
33744,23444,28792
33632,23386,28695
33505,23348,28716
33352,23294,28727
33088,23223,28829
33016,23216,28829
33060,23247,28820
33268,23317,28805
33464,23397,28807
33696,23405,28788
33781,23414,28785
33764,23413,28679
33516,23333,28772
33336,23272,28700
33115,23225,28685
33048,23228,28636
33182,23263,28666
33376,23319,28637
33532,23354,28614
33712,23405,28645
33720,23439,28703
33648,23380,28667
33452,23349,28500
33228,23264,28508
33100,23221,28508
33101,23224,28503
33232,23237,28484
33376,23291,28614
33556,23365,28592
33697,23430,28578
33728,23409,28545
33612,23386,28539
33412,23352,28519
33224,23262,28517
33088,23223,28517
33068,23250,28337
33184,23240,28492
33384,23295,28483
33536,23365,28444
33728,23396,28398
