ECG,EDA,RR
31940,7050,30637
31816,7071,30607
31664,7087,30656
31640,7090,30564
31688,7087,30556
31765,7067,30628
31896,7030,30645
32028,7083,30620
32124,7027,30473
32104,7006,30614
32021,7015,30542
31901,7026,30474
31824,7083,30546
31752,7106,30510
31720,7101,30626
31828,7096,30500
31926,7043,30420
32028,7000,30253
32108,6970,30495
32148,7036,30457
32072,7033,30408
31970,7044,30334
31888,7085,30324
31836,7095,30544
31888,7077,30441
32020,7130,30360
32144,7086,30182
32254,7045,30367
32364,7026,30309
32360,7009,30401
32324,7017,30233
32176,7053,30321
32110,7092,30235
32088,7143,30264
32124,7130,30210
32256,7078,30214
32448,7043,30310
32580,6999,30277
32700,6962,30313
32708,6960,30364
32592,6982,30245
32452,7011,30206
32384,7050,30343
32312,7077,30359
32336,7075,30310
32456,7110,30327
32592,7052,30269
32700,7017,30333
32788,6981,30513
32792,6963,30428
32720,6984,30372
32628,7011,30375
32544,7051,30363
32448,7140,30289
32470,7140,30487
32564,7202,30506
32628,7155,30580
32716,7070,30510
32800,7010,30481
32788,6986,30492
32696,7007,30487
32544,7012,30453
32416,7145,30465
32364,7128,30397
32358,7109,30644
32432,7078,30596
32536,7045,30525
32608,7023,30680
32638,6974,30801
32612,6967,30831
32520,6988,30740
32420,7013,30565
32380,7052,30740
32317,7138,30727
32316,7075,30903
32356,7058,30697
32456,7027,30692
32594,7025,30732
32648,6980,30916
32654,6995,30708
32561,6998,30716
32477,7025,30809
32397,7057,30831
32368,7096,30804
32408,7084,30854
32512,7061,30697
32640,7030,30569
32740,6986,30867
32828,6965,30741
32860,6961,30960
32811,7053,30989
32701,7064,30840
32592,7112,30601
32520,7128,30872
32572,7165,30837
32732,7051,30873
32895,7020,30996
33008,6987,30814
33168,6958,30623
33188,6962,30865
33092,6980,30709
32952,7015,30951
32864,7057,30829
32820,7080,30685
32852,7077,30584
32952,7051,30847
33033,7020,30802
33144,6977,30887
33218,6954,30954
33156,6957,30876
33076,6980,30717
32990,7007,30839
32916,7047,30799
32869,7069,30732
32924,7064,30776
32972,7046,30917
33120,7044,30596
33252,7006,30885
33332,6973,30877
33352,6978,30740
33284,7003,30913
33180,7029,30981
33081,7045,30839
33032,7066,30833
33053,7069,30724
33140,7120,30953
33208,7071,30975
33310,7030,30836
33348,7004,31111
33329,6993,31023
33221,7009,30881
33088,7027,31020
32956,7072,30990
32864,7122,31169
32916,7121,31013
33012,7117,31071
33120,7067,31096
33144,6999,31105
33224,6980,31087
33200,6978,31069
33088,6987,31068
33033,7013,31143
33006,7047,31298
32948,7061,31207
32993,7058,31116
33092,7039,31000
33212,7068,30941
33268,7023,31239
33292,6980,31247
33340,6987,31268
33300,6998,31220
33196,7012,31170
33100,7048,31425
33028,7085,31228
33065,7071,31302
33152,7047,31161
33208,7016,31332
33304,6993,31365
33372,6977,31344
33352,6972,31298
33244,7014,31366
33148,7056,31453
33068,7092,31493
33036,7114,31306
33004,7115,31409
33099,7092,31327
33213,7023,31409
33318,6961,31413
33400,6943,31380
33332,6948,31313
33208,6971,31565
33101,7004,31399
33032,7043,31184
32960,7069,31472
32992,7053,31481
33084,7039,31453
33156,7008,31364
33212,7000,31621
33224,6957,31465
33188,6962,31420
33120,6984,31535
32972,7028,31533
32900,7068,31492
32868,7055,31525
32920,7048,31525
33025,7027,31428
33100,7004,31589
33204,6966,31313
33256,6973,31513
33242,7001,31734
33118,7071,31532
32994,6999,31639
32928,7034,31645
32868,7055,31671
32868,7049,31632
32932,7040,31719
33053,7004,31577
33173,6958,31725
33232,6941,31751
33220,6947,31780
33108,7028,31732
32996,7056,31760
