ECG,EDA,RR
32932,5701,28389
32885,5580,28437
32830,5617,28530
32832,5629,28491
32840,5638,28621
32876,5607,28493
32940,5581,28520
32957,5547,28447
32960,5550,28553
32926,5553,28569
32830,5583,28584
32677,5625,28656
32608,5768,28606
32652,5629,28745
32764,5614,28372
32840,5598,28582
32900,5572,28563
32952,5543,28559
32980,5561,28693
32956,5565,28699
32927,5616,28625
32852,5596,28621
32760,5621,28608
32720,5626,28650
32748,5617,28669
32816,5596,28774
32860,5567,28885
32872,5539,28812
32988,5532,28760
32940,5544,28679
32844,5569,28823
32772,5604,28764
32718,5647,28841
32760,5668,28901
32888,5701,29002
32904,5603,28935
32884,5577,28857
32892,5577,28908
32858,5569,28708
32677,5572,29125
32532,5606,29009
32428,5650,28983
32380,5666,29021
32356,5676,29064
32432,5660,28961
32552,5638,29044
32644,5627,29132
32808,5553,29267
32884,5539,29152
32861,5552,29300
32832,5578,29166
32812,5634,29262
32804,5662,29213
32788,5685,29266
32864,5700,29246
33020,5616,29177
33146,5603,29155
33256,5563,29037
33336,5572,29175
33310,5569,29256
33220,5613,29326
33124,5640,29433
33048,5635,29227
32994,5649,29276
32944,5632,29529
32968,5613,29191
32961,5594,29383
33017,5568,29337
32968,5573,29442
32912,5590,29540
32759,5616,29524
32604,5625,29540
32584,5675,29442
32565,5667,29489
32628,5671,29585
32732,5669,29593
32856,5657,29628
32848,5629,29621
32904,5612,29745
32820,5571,29644
32744,5589,29711
32660,5611,29677
32669,5661,29756
32672,5667,29681
32778,5687,29638
32904,5683,29692
32980,5611,29712
32980,5592,29831
32936,5595,29657
32893,5567,29703
32788,5597,29580
32696,5675,29746
32576,5701,29735
32536,5721,29740
32612,5709,29667
32692,5678,29781
32808,5658,29841
32860,5629,29791
32820,5614,29884
32660,5605,29637
32516,5608,29822
32344,5624,29828
32152,5653,29847
32032,5668,29848
31974,5667,29993
32028,5644,29805
32100,5615,29876
32224,5603,29876
32360,5617,29885
32352,5644,30017
32322,5604,29909
32432,5640,29947
32389,5686,29805
32477,5697,29922
32796,5673,29893
33000,5676,29948
33176,5645,29945
33429,5587,29805
33812,5581,29956
34068,5597,30020
34144,5609,29924
34452,5657,29964
34840,5708,29893
35340,5693,29959
35844,5696,29988
36252,5693,30116
36452,5615,30001
36452,5586,30020
36301,5614,29860
35973,5617,29884
35580,5667,29733
35224,5717,29871
34876,5673,30005
34460,5676,30025
34048,5671,29890
33804,5648,29941
33424,5657,30008
33096,5624,30153
32888,5607,29898
32660,5644,29959
32449,5672,30100
32276,5640,29944
32168,5676,29809
32096,5694,29896
32113,5683,29940
32176,5666,30037
32264,5661,29739
32284,5611,29863
32276,5616,29983
32226,5608,29717
32096,5642,29777
32032,5682,29876
31944,5734,29864
31872,5688,29984
31953,5674,29719
31996,5657,29792
32116,5649,29951
32193,5626,29714
32234,5639,29819
32232,5728,29880
32128,5765,29733
32052,5652,29735
32012,5681,29783
31973,5706,29815
32052,5692,29850
32188,5681,29893
32288,5664,29884
32396,5656,29796
32336,5648,29942
32312,5669,30058
32288,5734,29860
32284,5708,29928
32150,5764,29942
32076,5824,30001
32161,5745,30107
32260,5706,29941
32388,5683,30043
32496,5638,30176
32516,5639,29801
32532,5647,29967
32292,5651,30191
32228,5671,30045
32224,5697,30165
32166,5699,30094
32250,5682,30306
32340,5661,30071
32558,5633,30225
32760,5599,30324
32624,5597,30352
32520,5604,30404
32436,5637,30403
32288,5663,30461
32253,5695,30279
32276,5699,30420
32316,5710,30487
32224,5677,30575
32420,5660,30708
32540,5641,30431
32461,5640,30527
32464,5640,30725
32413,5644,30710
32320,5678,30769
32240,5726,30828
32260,5716,30738
32386,5695,30596
32564,5681,30785
32524,5651,30951
32717,5623,30959
32736,5627,30957
32800,5650,30925
32792,5657,30927
32612,5691,31071
32740,5753,31103
32908,5780,31131
32856,5695,31058
32952,5735,31180
33220,5700,31172
33352,5669,31056
32976,5643,31345
32508,5651,31141
32660,5667,31103
32374,5666,30951
32220,5705,31140
31993,5709,31200
31952,5697,31189
32525,5674,31101
32672,5653,31272
32752,5617,31063
33157,5611,31084
33136,5618,30921
32988,5644,31053
32972,5785,30789
33004,5799,30831
32976,5711,30909
33204,5785,30588
33536,5738,30599
33668,5709,30411
33376,5671,30438
33416,5651,29983
33144,5682,30193
32896,5703,29893
32704,5735,29729
32768,5759,29813
32716,5746,29470
32942,5745,29236
33232,5694,29276
33312,5659,29020
33210,5625,28807
33264,5621,28733
33228,5640,28738
33228,5660,28435
33334,5699,28289
32780,5732,27981
32620,5726,27889
32513,5708,27684
32932,5685,27676
32928,5660,27156
33100,5625,27229
33192,5624,27036
32768,5709,26812
32564,5731,26514
32382,5688,26400
32396,5775,26513
32260,5779,26016
32609,5757,26047
32564,5706,26031
33008,5699,25668
33028,5640,25424
32777,5623,25460
32920,5637,25416
32526,5665,25087
32457,5736,24914
32516,5775,24775
32332,5731,24620
32352,5716,24610
32603,5695,24647
32896,5719,24283
33000,5692,24276
33240,5684,24272
33292,5705,23864
32833,5782,23859
32720,5708,23645
32774,5736,23696
32493,5734,23380
32417,5723,23385
32720,5771,23215
32644,5678,23056
32832,5645,23071
33004,5632,23083
32812,5647,22671
32344,5725,22752
32448,5740,22559
32580,5780,22392
33001,5782,22447
32544,5781,22418
32272,5770,22072
32356,5749,22014
32748,5696,22101
32692,5673,21784
33072,5663,21864
33212,5686,21892
33061,5722,21564
33024,5734,21612
32920,5740,21428
32920,5729,21450
32772,5778,21186
32788,5740,21191
32968,5719,21023
33004,5724,21063
32852,5656,21004
32608,5679,20943
32568,5703,20858
32613,5736,20608
32308,5828,20668
32376,5775,20665
32612,5741,20426
32776,5709,20487
32897,5661,20454
32894,5653,20260
33096,5765,20278
33048,5740,20219
32873,5763,20017
32680,5794,20033
32576,5789,20012
32376,5765,19849
32602,5748,19967
32789,5703,19997
32957,5671,19716
32880,5674,19740
32660,5680,19642
32696,5698,19756
32746,5713,19799
32676,5767,19565
32676,5762,19504
32524,5749,19441
32704,5729,19577
32740,5761,19537
32732,5721,19408
32797,5718,19324
32720,5733,19327
32732,5755,19256
32605,5789,19415
32436,5759,19420
32436,5768,19202
32584,5804,19335
32764,5769,19191
32980,5745,19264
32784,5726,19278
32806,5679,19300
32836,5679,19108
32864,5700,19162
32744,5762,19076
32624,5795,19251
32586,5803,19154
32684,5797,19303
32896,5765,19100
33212,5735,19144
32974,5725,19121
32744,5717,19188
32760,5741,19151
32736,5765,19280
32672,5804,19252
32640,5819,19220
32568,5835,19261
32625,5769,19258
32576,5848,19432
32704,5795,19543
33068,5698,19359
33076,5685,19428
32929,5699,19407
32893,5753,19489
32960,5762,19477
32988,5797,19680
33120,5829,19735
32984,5832,19762
32980,5848,19877
33176,5734,19686
33301,5703,19784
33486,5692,19760
33016,5707,19833
32824,5752,19830
32700,5774,19927
32429,5818,19898
32585,5832,20073
32436,5822,20197
32348,5781,20175
32255,5767,19980
32332,5711,20131
32396,5701,20095
32736,5720,19986
32320,5744,20033
32278,5787,19959
32605,5813,19991
32873,5821,20079
32888,5836,20055
33404,5825,19959
33748,5804,19834
33696,5720,19832
33756,5710,19744
33308,5716,19841
33176,5741,19868
33116,5772,19564
32924,5798,19578
32612,5805,19582
32692,5795,19425
32716,5842,19412
32756,5815,19442
32913,5722,19380
32992,5715,19386
32890,5723,19173
32616,5751,19324
32516,5788,19205
32504,5855,19015
32490,5821,19048
