ECG,EDA,RR
32800,8100,31508
32832,8105,31650
32852,8044,31654
32816,8023,31789
32760,8007,31740
32740,8047,31399
32636,8039,31688
32504,8108,31652
32448,8125,31671
32508,8107,31668
32664,8191,31405
32697,8099,31673
32680,8058,31751
32676,8007,31639
32636,8018,31445
32560,8014,31737
32412,8073,31615
32292,8089,31812
32232,8098,31468
32256,8163,31720
32316,8138,31788
32384,8082,31769
32496,8090,31780
32684,8047,31750
32744,8036,31729
32681,8019,31814
32576,8079,31714
32474,8098,31949
32400,8101,31786
32393,8186,31599
32384,8126,31885
32476,8084,31751
32602,8059,31901
32692,8073,31894
32708,8027,31866
32670,8027,32063
32576,8042,31717
32528,8075,31917
32524,8129,32092
32472,8151,31900
32525,8117,31933
32576,8083,32039
32688,8104,31789
32728,8044,31897
32745,8013,32128
32688,8033,31820
32592,8065,32066
32514,8079,32128
32442,8114,32077
32396,8148,31892
32513,8122,32129
32692,8139,32159
32817,8083,32068
32952,8033,32247
32968,8017,32158
32880,8080,32013
32752,8081,32157
32613,8106,32207
32464,8124,32278
32388,8163,32172
32400,8133,32288
32518,8125,32301
32677,8063,32321
32830,8079,32207
32900,8052,32367
32908,8040,32287
32840,8073,32407
32700,8077,32212
32648,8147,32451
32608,8158,32425
32604,8114,32524
32716,8133,32212
32812,8081,32519
32924,8036,32687
32960,8063,32503
32908,8051,32615
32832,8069,32580
32704,8124,32695
32604,8122,32584
32652,8173,32693
32728,8139,32710
32837,8101,32868
32908,8113,32676
32928,8055,32798
32904,8031,32800
32880,8091,32854
32760,8075,32567
32660,8100,32807
32528,8127,32987
32440,8182,32612
32488,8160,32909
32576,8109,33063
32776,8111,32901
32976,8081,32995
33092,8038,32998
33060,8075,32908
32944,8099,33150
32852,8099,32775
32716,8174,33055
32656,8167,33215
32616,8136,33014
32668,8159,33152
32801,8107,33081
32900,8064,33244
32988,8041,32949
33012,8098,33263
32900,8098,33245
32748,8105,33342
32726,8163,33282
32720,8151,33340
32788,8172,33332
32888,8122,33239
32906,8132,33516
32940,8085,33277
32910,8047,33432
32808,8097,33392
32660,8097,33380
32582,8113,33489
32552,8143,33639
32572,8205,33420
32692,8157,33505
32826,8126,33693
32916,8143,33508
32991,8080,33569
33008,8061,33650
32972,8069,33669
32872,8101,33644
32788,8119,33799
32696,8187,33676
32640,8161,33486
32684,8258,33716
32792,8153,33761
32928,8102,33828
33076,8106,33822
33172,8073,33669
33176,8071,33825
33130,8128,33679
33020,8138,33952
32856,8164,33775
32722,8198,33847
32684,8188,33737
32800,8133,34007
32892,8155,33612
32996,8084,33879
32996,8068,34037
32888,8158,33884
32686,8119,33845
32528,8129,33922
32460,8197,33944
32496,8203,33855
32526,8168,33932
32624,8188,33972
32732,8127,33995
32856,8127,33944
32956,8105,34055
32936,8082,34121
32792,8148,34100
32700,8158,33995
32622,8169,33942
32744,8217,33927
32904,8191,34013
33048,8167,34181
33228,8125,33993
33276,8093,34105
33308,8143,33956
33272,8133,34183
33244,8138,33952
33184,8153,34141
33148,8180,34087
33140,8187,34069
33234,8221,34164
33324,8179,34151
33300,8125,34049
33209,8132,34311
33149,8098,34030
33089,8107,34207
32996,8120,34151
32888,8161,34141
32828,8183,34342
32804,8199,34188
32832,8210,33909
32984,8164,34239
33092,8137,34213
33156,8125,34320
33143,8102,34159
33076,8097,34251
32944,8147,34199
32824,8148,34223
32744,8183,34289
32668,8213,34191
32693,8213,34244
32724,8165,34250
32781,8183,34120
32852,8115,34360
32916,8095,34182
32880,8181,34213
32728,8121,34149
32700,8199,34228
32600,8200,34210
32576,8199,34183
32625,8236,34328
32737,8178,34165
32884,8143,34245
33096,8153,34216
33200,8122,34148
33160,8101,34376
33032,8152,34332
32804,8187,34183
32580,8193,34252
32346,8313,34196
32196,8232,34405
32093,8189,34311
32048,8199,34276
32140,8113,34220
32212,8094,34076
32304,8151,34295
32385,8140,34191
32352,8156,34420
32260,8223,34311
32282,8224,34343
32428,8229,34237
32517,8207,34457
32772,8144,34295
33012,8111,34396
33137,8101,34407
33200,8110,34417
33356,8172,34080
33508,8185,34356
33576,8202,34548
33896,8310,34345
34496,8223,34105
35118,8186,34422
35748,8150,34310
36368,8134,34481
36656,8133,34480
36672,8109,34253
36444,8181,34463
36044,8197,34500
35648,8198,34415
35340,8231,34567
35044,8210,34505
34764,8225,34311
34432,8163,34525
34042,8111,34428
33693,8120,34372
33244,8113,34622
32864,8137,34509
32544,8212,34382
32324,8211,34604
32196,8209,34400
32136,8241,34470
32230,8195,34490
32324,8180,34246
32396,8119,34412
32404,8114,34337
32368,8109,34361
32248,8169,34287
32124,8199,34361
31997,8198,34344
31937,8259,34365
31936,8217,34017
32012,8183,34337
32108,8155,34326
32180,8135,34460
32286,8101,34350
32384,8144,34023
32388,8161,34221
32292,8176,34375
32188,8204,34107
32164,8209,34380
32180,8267,34532
32268,8214,34305
32464,8175,34428
32512,8133,34600
32474,8127,34327
32428,8136,34471
32340,8147,34613
32268,8170,34520
32168,8205,34567
32160,8267,34580
32228,8235,34588
32340,8202,34567
32416,8176,34751
