ECG,EDA,RR
32938,10125,33589
32972,10105,33558
32889,10161,33319
32800,10156,33589
32792,10179,33444
32725,10234,33573
32756,10205,33600
32833,10162,33468
32868,10168,33679
32944,10119,33300
32924,10082,33501
32916,10117,33624
32852,10121,33600
32784,10143,33484
32668,10187,33707
32656,10263,33541
32676,10206,33621
32740,10210,33565
32793,10168,33752
32868,10100,33319
32952,10121,33554
32968,10113,33644
32904,10114,33625
32848,10215,33679
32789,10215,33308
32720,10208,33535
32720,10183,33639
32756,10189,33316
32800,10148,33477
32934,10096,33570
32976,10078,33511
32960,10085,33353
32894,10117,33596
32800,10135,33653
32749,10183,33524
32796,10276,33600
32808,10194,33453
32822,10155,33595
32903,10174,33614
32989,10119,33476
33009,10123,33731
32960,10085,33518
32900,10116,33303
32844,10134,33604
32804,10174,33580
32752,10210,33442
32761,10175,33677
32856,10168,33527
32876,10133,33572
32988,10129,33691
33069,10097,33237
33024,10122,33511
32940,10132,33641
32860,10170,33372
32773,10186,33510
32724,10179,33586
32728,10217,33317
32798,10157,33516
32892,10145,33444
32980,10089,33492
33064,10101,33575
33013,10095,33511
32924,10118,33477
32809,10130,33396
32688,10157,33484
32648,10207,33396
32712,10167,33469
32788,10177,33444
32862,10147,33418
32980,10085,33592
33056,10087,33414
33010,10073,33460
32908,10137,33327
32856,10133,33444
32796,10152,33360
32748,10185,33424
32764,10265,33391
32828,10156,33529
32884,10117,33341
32948,10109,33423
32936,10066,33373
32970,10109,33423
32896,10099,33345
32790,10117,33425
32716,10191,33505
32724,10180,33182
32756,10184,33406
32864,10143,33383
32974,10117,33317
33100,10119,33403
33152,10097,33452
33112,10083,33397
32960,10099,33257
32840,10153,33349
32749,10155,33446
32714,10201,33285
32724,10173,33110
32808,10183,33352
32917,10129,33220
33054,10070,33429
33124,10087,33287
33084,10074,33047
32968,10124,33356
32828,10138,33300
32724,10238,33248
32638,10195,33373
32704,10191,33441
32785,10142,33249
32888,10151,33322
32988,10109,33269
32992,10149,33406
32976,10075,33225
32970,10076,33318
32868,10119,33197
32788,10201,33391
32724,10159,33356
32740,10178,33243
32832,10235,33223
32898,10117,33009
32956,10070,33287
33010,10077,33357
32972,10052,33415
32852,10096,33353
32764,10098,33044
32656,10172,33308
32600,10168,33286
32652,10191,33385
32720,10154,33000
32852,10131,33188
32976,10068,33325
33004,10090,33061
33038,10083,33287
32964,10079,33181
32892,10124,33411
32804,10146,33199
32784,10173,33277
32756,10151,33212
32812,10159,33381
32860,10127,33231
32892,10068,33273
32924,10067,33247
32877,10086,33343
32768,10077,33159
32744,10118,33271
32704,10139,33263
32644,10149,33169
32656,10159,33260
32714,10130,33239
32808,10098,33204
32880,10097,33204
32973,10059,33188
32944,10096,33355
32876,10085,33005
32812,10105,33201
32640,10193,33264
32548,10156,33244
32529,10145,33111
32577,10150,33211
32617,10114,33188
32712,10063,33225
32814,10071,32917
32836,10054,33151
32756,10069,33303
32646,10119,33093
32544,10133,33159
32556,10150,33149
32672,10155,33168
32820,10121,33287
32994,10111,33236
33100,10055,32936
33196,10074,33164
33213,10070,33005
33162,10058,33191
33112,10113,32972
33044,10125,32895
32956,10156,32836
32952,10145,33149
33036,10140,33125
33120,10122,33117
33185,10063,33062
33172,10034,32934
33072,10053,33150
32948,10066,32992
32852,10132,33227
32789,10138,33031
32721,10182,32837
32720,10156,33135
32740,10183,32984
32832,10102,33257
32894,10054,33085
32974,10069,32831
32984,10036,33124
32940,10087,33109
32832,10084,33042
32712,10165,33172
32612,10164,33120
