ECG,EDA,RR
32956,10467,29767
32882,10471,29880
32952,10464,29964
33000,10441,29766
33061,10431,29874
33140,10385,29910
33200,10413,29784
33030,10373,29870
32936,10379,29996
32813,10405,29880
32724,10473,29801
32561,10483,29842
32641,10574,29660
32660,10473,29777
32668,10429,29966
32840,10432,29711
32885,10378,29986
32916,10381,29695
32796,10396,29821
32692,10440,29901
32522,10461,29953
32512,10527,29854
32563,10520,29957
32548,10472,29769
32624,10455,29988
32712,10485,30068
32748,10421,29944
32736,10385,30019
32673,10437,30157
32624,10469,30078
32542,10479,30200
32508,10533,29937
32440,10511,30127
32497,10484,30010
32548,10491,30132
32640,10439,30240
32748,10401,30215
32744,10438,30284
32600,10430,30004
32489,10450,30132
32472,10529,30340
32460,10521,30066
32496,10557,30237
32596,10506,30319
32700,10468,30372
32764,10444,30393
32824,10458,30304
32828,10415,30420
32759,10447,30567
32640,10556,30297
32470,10519,30493
32460,10567,30373
32452,10556,30605
32516,10511,30406
32624,10492,30572
32792,10445,30446
32848,10434,30708
32808,10422,30432
32769,10475,30481
32668,10502,30529
32612,10509,30645
32544,10554,30596
32509,10533,30708
32588,10560,30700
32728,10521,30596
32832,10465,30713
32836,10468,30741
32740,10446,30861
32684,10503,30656
32584,10519,30809
32492,10528,30756
32500,10566,30745
32592,10553,30860
32704,10563,30949
32780,10519,30808
32860,10536,30934
32940,10463,30992
32988,10530,30884
32956,10474,30984
32896,10535,30920
32796,10535,31164
32654,10585,30959
32560,10567,31121
32564,10569,31025
32740,10521,31189
32844,10525,30941
32896,10485,31124
32864,10549,31300
32784,10498,31183
32714,10524,31301
32596,10577,31376
32552,10575,31357
32652,10599,31108
32728,10565,31255
32877,10582,31322
33004,10493,31421
33024,10514,31319
33032,10477,31581
32940,10532,31380
32796,10540,31479
32704,10613,31593
32617,10615,31407
32636,10633,31518
32752,10586,31476
32844,10598,31614
32932,10516,31444
32972,10513,31323
32948,10488,31550
32892,10526,31548
32788,10537,31461
32740,10617,31525
32701,10620,31613
32764,10641,31316
32868,10602,31455
32905,10556,31468
32954,10561,31439
32948,10530,31495
32924,10505,31582
32796,10547,31705
32688,10554,31339
32608,10668,31588
32580,10641,31634
32610,10678,31621
32640,10627,31583
32720,10668,31754
32816,10549,31576
32860,10556,31695
32840,10513,31580
32788,10556,31689
32735,10566,31460
32660,10609,31684
32592,10631,31852
32600,10643,31610
32677,10608,31749
32752,10601,31874
32821,10543,31612
32924,10529,31908
32928,10571,31918
32865,10564,31855
32736,10602,31703
32577,10616,32016
32429,10647,31975
32441,10639,31964
32568,10641,32085
32729,10652,32089
32898,10581,32004
32992,10580,32175
32972,10553,31908
32896,10586,32208
32709,10585,32256
32601,10641,32186
32532,10644,32252
32584,10673,32414
32660,10633,32061
32737,10643,32204
32744,10592,32277
32760,10588,32165
32684,10546,32127
32540,10573,32423
32404,10689,32460
32256,10641,32407
32208,10648,32487
32232,10668,32438
32340,10641,32463
32440,10628,32556
32538,10577,32577
32660,10567,32506
32736,10553,32620
32688,10596,32492
32726,10604,32550
32789,10680,32618
32804,10707,32584
32864,10684,32716
32956,10647,32852
33048,10651,32558
33189,10591,32740
33280,10607,32836
33281,10577,32813
33192,10672,32871
33088,10627,32610
32944,10748,32893
32789,10687,33017
32727,10673,32633
32708,10677,32815
32776,10630,33008
32820,10627,32719
32792,10589,32992
32868,10572,33031
32728,10620,33084
32612,10653,32992
32572,10664,33112
32532,10704,33044
32516,10684,33238
32576,10677,32913
32668,10641,33223
32745,10614,33108
32836,10623,33278
32840,10585,33415
32760,10638,33081
32620,10635,33324
32492,10688,33268
32428,10690,33518
32504,10707,33484
32648,10676,33404
32820,10677,33255
32936,10688,33552
32956,10609,33500
32892,10627,33537
32796,10643,33765
32680,10648,33607
32632,10692,33629
32636,10743,33752
32692,10708,33766
32828,10718,33685
32932,10660,33944
32952,10660,33791
32876,10607,33749
32728,10629,33886
32424,10629,33913
32152,10697,34037
31940,10705,33934
31764,10782,34029
31676,10745,34084
31720,10734,33991
31824,10701,34240
32060,10692,34116
32189,10626,34151
32220,10616,34101
32264,10671,34311
32344,10668,34211
32288,10739,34191
32312,10725,34230
32500,10741,34020
32636,10801,34342
32838,10710,34334
33184,10725,34509
33656,10659,34332
33796,10666,34149
33942,10647,34484
34404,10719,34352
34892,10708,34383
35438,10764,34641
35936,10735,34532
36324,10741,34303
36512,10694,34596
36488,10651,34663
36288,10653,34639
35896,10628,34553
35444,10675,34823
34952,10676,34649
34446,10733,34743
34000,10747,34754
33628,10767,34645
33280,10799,34876
32956,10708,34552
32689,10751,34844
32620,10663,34741
32561,10641,34783
32468,10671,34873
32330,10688,34823
32204,10742,34951
32056,10754,34618
31984,10764,34864
32020,10727,35036
32101,10727,34618
32144,10672,34891
32208,10684,35036
32172,10663,34727
32072,10706,34989
31964,10702,35133
31897,10739,34741
31888,10777,35060
31903,10759,35231
31920,10767,34836
31968,10743,35052
32012,10684,35239
32056,10673,35258
32036,10658,35183
31928,10729,35375
31988,10729,35415
32052,10769,35580
32072,10837,35408
32096,10783,35532
32188,10789,35453
32229,10728,35732
32169,10724,35461
32180,10668,35719
32174,10697,35875
32048,10698,35458
32012,10760,35764
31904,10786,35722
31862,10814,35888
31932,10780,36084
32069,10815,35660
32172,10748,35892
32181,10708,36092
32232,10698,36121
32200,10679,36044
32176,10719,36044
32096,10729,36271
32014,10805,36239
31976,10799,36152
32067,10830,36431
32144,10795,36256
32268,10742,36397
32312,10755,36412
32370,10707,36494
32352,10702,36511
32400,10716,36693
32364,10768,36458
32325,10790,36624
32220,10852,36822
32228,10823,36414
32348,10788,36781
32489,10784,36881
32636,10726,36846
32721,10731,36940
32712,10727,36985
32660,10737,37008
32608,10780,37065
32568,10796,36988
32592,10857,37272
32605,10826,37277
32640,10821,37205
32788,10788,36933
32892,10763,37324
33000,10731,37456
32936,10766,37345
32856,10754,37149
32836,10783,37336
32712,10840,37516
32592,10860,37534
32685,10848,37655
32808,10840,37569
32908,10807,37448
32952,10770,37637
33124,10780,37638
33232,10742,37601
33184,10809,37817
33093,10790,37894
33028,10853,37853
32900,10858,37704
32916,10887,37868
33092,10857,37767
33272,10851,38033
33373,10780,38033
33396,10833,37698
33400,10773,37941
33352,10803,37951
33220,10809,38039
33112,10880,38068
33044,10873,38120
33220,10895,37738
33332,10853,38121
33368,10869,38308
33432,10822,38166
33415,10834,38261
33328,10785,38213
33168,10795,38360
33084,10858,38053
32976,10869,38301
32865,10883,38530
32841,10922,38293
32948,10867,38503
33092,10908,38407
33160,10820,38644
33140,10782,38341
33054,10797,38657
32968,10804,38682
32852,10844,38781
32764,10876,38388
32660,10917,38772
32590,10898,38846
32584,10899,38881
32672,10853,38933
32718,10857,38957
32684,10799,39149
32724,10793,39012
32744,10845,39106
32704,10847,39148
32541,10874,39111
32342,10932,39188
32352,10916,39340
32388,10886,39222
32482,10857,39332
32609,10841,39292
32740,10819,39316
32864,10803,39399
32920,10851,39554
