ECG,EDA,RR
32192,9379,32868
32304,9329,32765
32364,9361,32903
32320,9357,32519
32256,9354,32791
32345,9426,32726
32340,9441,32716
32472,9438,32704
32752,9427,32807
32992,9432,32788
33192,9405,32756
33477,9347,32896
33888,9343,33045
34240,9403,32919
34460,9388,33087
34856,9398,32967
35280,9483,33106
35792,9471,32987
36268,9440,33040
36692,9437,32965
36908,9391,33028
36904,9412,33014
36740,9369,33049
36416,9368,33039
35988,9446,33010
35504,9424,33071
34944,9453,33140
34493,9512,33063
34080,9492,33306
33728,9445,33220
33420,9416,33220
33105,9373,33103
32860,9414,32985
32616,9384,33196
32344,9396,32996
32102,9457,33088
31928,9495,33047
31860,9553,33161
31920,9480,33324
32033,9443,33196
32121,9466,33309
32172,9396,33004
32197,9373,33149
32152,9385,33125
32044,9459,33216
31913,9466,32900
31812,9505,33247
31804,9483,33188
31804,9552,33225
31873,9499,33221
31933,9445,33375
32008,9417,33057
32053,9386,33175
32008,9433,33148
32032,9454,33316
31896,9465,33284
31849,9506,33348
31808,9509,33316
31840,9495,33260
31884,9463,33416
32025,9441,33381
32124,9420,33505
32120,9403,33380
32100,9402,33543
32064,9475,33397
31960,9493,33349
31876,9499,33407
31852,9559,33448
31914,9521,33567
32044,9479,33447
32164,9530,33521
32250,9444,33209
32206,9413,33420
32218,9422,33404
32160,9471,33477
32157,9471,33668
32056,9576,33403
32044,9531,33527
32100,9526,33493
32140,9547,33525
32228,9484,33612
32316,9458,33626
32376,9419,33719
32368,9474,33331
32300,9466,33517
32268,9486,33552
32252,9567,33524
32240,9551,33595
32264,9525,33553
32356,9545,33381
32477,9497,33600
32512,9451,33612
32497,9455,33652
32472,9454,33468
32404,9470,33738
32340,9554,33684
32316,9557,33816
32288,9555,33700
32360,9585,33820
32440,9531,33664
32528,9498,33791
32616,9502,33676
32672,9484,33671
32672,9460,33500
32624,9521,33543
32620,9534,33612
32552,9636,33663
32556,9575,33780
32624,9556,33342
32732,9565,33617
32808,9538,33316
32884,9479,33580
32900,9507,33300
32856,9499,33701
32765,9528,33560
32685,9528,33505
32598,9640,33563
32580,9588,33618
32644,9572,33591
32712,9550,33687
32879,9563,33263
32996,9518,33423
33060,9477,33437
33000,9528,33532
32908,9530,33580
32944,9542,33406
32885,9604,33447
32885,9592,33554
32936,9637,33205
33016,9587,33420
33096,9551,33370
33144,9500,33405
33160,9508,33492
33153,9508,33445
33076,9520,33563
32984,9589,33391
32910,9602,33531
32881,9625,33414
32932,9593,33439
33044,9605,33367
33128,9560,33476
33192,9527,33373
33180,9558,33472
33105,9521,33081
32972,9530,33235
32817,9562,33005
32720,9642,33425
32648,9620,33300
32628,9623,33332
32700,9577,33253
32737,9605,33319
32792,9543,33234
32798,9535,33172
32773,9524,33086
32676,9540,33177
32597,9618,33157
32556,9630,33092
32536,9618,33167
32553,9620,33105
32620,9591,33055
32708,9565,33020
32808,9573,32807
32840,9526,33103
32788,9524,33061
32684,9642,33180
32544,9592,33071
32437,9637,33159
32400,9627,33021
32444,9621,32740
32480,9657,33127
32556,9604,32984
32652,9547,32895
32676,9528,32994
32685,9534,32961
32620,9564,32863
32492,9639,32941
32452,9664,32932
32436,9676,32772
32500,9639,32943
32580,9609,32628
32672,9584,32903
32765,9588,32866
32808,9553,33009
32744,9565,32873
32672,9583,32898
32616,9604,32820
