ECG,EDA,RR
32636,22850,29892
32600,22919,30091
32572,22954,29940
32556,22985,30072
32530,22982,29910
32564,22956,30087
32630,22917,29959
32648,22867,30087
32720,22840,29917
32788,22844,30113
32844,22884,30029
32864,22916,29953
32812,22941,30084
32781,22975,30064
32756,22972,30108
32797,22935,29956
32801,22888,30132
32816,22857,30011
32781,22832,30105
32764,22821,30128
32744,22853,29979
32737,22895,30114
32724,22943,30060
32716,22967,30137
32764,22957,29976
32752,22929,30100
32756,22917,30146
32704,22873,30122
32708,22799,30064
32680,22818,30070
32684,22847,30180
32701,22885,30191
32728,22934,30196
32756,22960,30034
32740,22965,30060
32716,22927,30222
32740,22884,30149
32769,22841,30052
32744,22838,30137
32742,22831,30116
32736,22860,30229
32764,22886,30073
32792,22929,30252
32784,22956,30143
32793,22956,30237
32776,22948,30244
32784,22908,30068
32772,22868,30070
32788,22824,30270
32764,22823,30228
32752,22858,30244
32776,22892,30092
32812,22930,30277
32832,22962,30135
32816,22953,30261
32792,22950,30084
32764,22894,30231
32764,22860,30244
32788,22820,30085
32729,22816,30196
32648,22864,30232
32644,22901,30084
32672,22929,30268
32628,22957,30260
32672,22957,30086
32808,22920,30285
32908,22882,30136
32868,22876,30262
32804,22836,30092
32848,22820,30192
32856,22852,30227
32812,22876,30086
32770,22924,30204
32796,22952,30135
32888,22951,30248
32928,22948,30151
32924,22901,30172
32912,22850,30256
32904,22821,30092
32904,22820,30277
32912,22837,30246
32880,22914,30068
32880,22945,30281
32893,22957,30245
32892,22956,30100
32848,22949,30196
32769,22900,30188
32696,22857,30069
32804,22826,30262
32912,22825,30129
32936,22845,30071
32940,22885,30137
32932,22912,30110
32952,22974,30050
32960,22956,30192
32969,22933,30215
32948,22884,30059
32933,22838,30193
32857,22799,30183
32852,22826,30052
32868,22855,30122
32834,22884,30162
32856,22945,30097
32912,22969,30109
32896,22964,30068
32928,22924,30212
32908,22881,30128
32839,22834,30182
32804,22800,30079
32796,22832,30212
32836,22864,30129
32832,22902,30229
32848,22932,30049
32864,22954,30196
32860,22959,30252
32820,22927,30113
32824,22876,30233
32760,22834,30078
32696,22806,30221
32664,22832,30116
32732,22852,30088
32848,22892,30239
32825,22919,30119
32768,22976,30062
32828,22957,30140
32980,22918,30163
33040,22883,30233
33024,22832,30129
32997,22833,30237
33040,22829,30174
33056,22849,30231
33072,22877,30077
33032,22916,30277
33052,22948,30221
33060,22976,30091
33076,22939,30188
33068,22898,30100
33020,22834,30215
33016,22806,30239
33049,22829,30087
33084,22855,30208
33084,22880,30244
33056,22915,30196
33060,22980,30236
33080,22957,30236
33104,22929,30245
33056,22880,30178
32968,22860,30207
32926,22821,30097
32852,22804,30236
32756,22839,30204
32730,22893,30230
32725,22930,30174
32796,22948,30237
32864,22969,30160
32936,22923,30221
32936,22877,30084
32904,22835,30268
32856,22832,30240
32844,22830,30192
32756,22847,30241
32644,22887,30138
32672,22925,30194
32840,22943,30074
32996,22977,30156
33020,22935,30076
33044,22884,30263
33004,22840,30244
32952,22809,30068
32920,22800,30140
32876,22836,30052
32896,22903,30256
32900,22923,30229
32876,22953,30240
32900,22946,30161
32960,22944,30052
32956,22900,30244
32932,22848,30212
32840,22808,30080
32760,22808,30083
32848,22860,30037
32960,22884,30128
32956,22924,30192
32925,22953,30065
32940,22972,30067
32940,22928,30014
32944,22890,30192
32952,22840,30127
32917,22830,29990
32904,22828,30138
32884,22848,30044
32852,22887,30128
