ECG,EDA,RR
32520,27704,29959
31660,27738,29825
32248,27780,29866
33248,27783,29709
33984,27774,29703
33900,27748,29712
33088,27706,29528
31584,27668,29615
31340,27655,29407
32836,27670,29460
34244,27694,29356
34292,27740,29390
32908,27780,29313
31349,27783,29332
31000,27776,29212
30688,27751,29272
30977,27708,29225
32416,27664,29276
33956,27644,29285
34780,27672,29168
35024,27709,29200
34437,27744,29084
33440,27775,29191
33086,27794,29201
33008,27769,29161
32473,27749,29166
31862,27711,29029
31784,27671,29116
31120,27663,29121
30537,27674,29152
30072,27714,29185
28816,27748,29108
27113,27788,29217
26389,27775,29264
27638,27768,29213
28944,27735,29250
30688,27709,29145
31144,27662,29284
30345,27655,29209
28200,27680,29372
25884,27726,29385
24164,27756,29300
25017,27798,29337
26750,27776,29489
26408,27780,29493
24748,27745,29424
24768,27721,29519
25908,27680,29552
27236,27639,29489
29018,27660,29636
30860,27695,29672
32358,27738,29560
33280,27772,29691
33836,27791,29649
34008,27781,29799
34732,27751,29892
35576,27717,29804
36664,27668,29950
37488,27658,29892
37080,27684,30062
35088,27711,30140
32684,27748,30085
30512,27791,30168
28708,27815,30205
27880,27769,30375
26772,27742,30431
26044,27722,30397
26520,27673,30449
27168,27664,30598
26712,27681,30580
26768,27717,30716
26401,27744,30628
26284,27770,30636
27380,27788,30849
27068,27780,30893
26881,27751,30808
27472,27697,30876
27684,27677,30911
25544,27665,31033
23806,27655,30968
22372,27693,31024
22700,27741,30934
21509,27756,31055
20337,27809,31040
23960,27796,30957
26124,27745,31093
30185,27689,31098
33188,27655,30962
34208,27649,31014
34140,27664,30993
33556,27700,30926
32748,27737,31054
31981,27772,31034
31624,27793,30929
30774,27767,30980
30505,27738,30820
31100,27708,30893
31344,27668,30939
32080,27650,30780
31924,27654,30897
31724,27697,30876
31860,27728,30735
32249,27780,30856
32184,27794,30863
31876,27780,30700
31108,27757,30806
30456,27701,30684
29841,27662,30812
29824,27655,30837
31340,27672,30816
32612,27709,30813
32650,27745,30680
31236,27784,30848
29760,27788,30844
29488,27765,30692
29996,27751,30844
29176,27716,30814
28828,27662,30880
30460,27655,30869
32262,27674,30780
33632,27709,30836
34632,27748,30772
35300,27782,30914
37452,27788,30804
36532,27791,30868
33968,27754,30844
32488,27717,30792
32088,27679,30909
32872,27660,30832
34008,27676,30956
34949,27712,30887
34754,27745,31016
34534,27783,30885
34480,27797,31005
34588,27777,30988
34696,27757,31098
34472,27720,31118
34080,27679,31028
33508,27655,31141
32748,27676,31164
32261,27715,31292
31476,27748,31226
31204,27783,31368
33964,27788,31424
35453,27782,31413
35504,27742,31508
35288,27716,31445
33000,27679,31644
30516,27655,31725
29744,27668,31644
30764,27692,31740
33796,27733,31742
35000,27766,31886
34848,27783,31848
35041,27766,32055
34940,27729,32084
34784,27695,32183
35168,27655,32117
34824,27644,32228
34552,27663,32228
35248,27697,32388
35800,27732,32501
35744,27769,32415
35436,27779,32576
35108,27764,32536
34981,27732,32637
34376,27704,32557
32640,27665,32648
29536,27652,32624
27278,27668,32826
27076,27684,32673
29816,27724,32876
35360,27752,32880
37832,27782,32903
37632,27777,32929
37825,27735,32920
35192,27700,32957
32521,27655,32880
30964,27645,32960
27256,27672,32880
27220,27692,32952
32624,27724,32906
37900,27768,33070
41548,27789,32968
40824,27780,33090
39381,27734,33004
39196,27701,33096
36741,27661,33076
33760,27654,33301
30880,27663,33157
31708,27700,33260
32784,27733,33253
34696,27772,33368
37484,27782,33407
38508,27776,33565
37768,27743,33644
37176,27716,33524
36781,27669,33644
36244,27655,33612
35444,27668,33831
34152,27705,33929
33840,27732,33893
33460,27768,33968
33800,27788,34022
34140,27768,34183
33704,27740,34200
33376,27706,34168
33125,27673,34368
32340,27653,34361
31822,27670,34505
30452,27708,34460
29984,27738,34697
31196,27780,34732
32541,27788,34688
31068,27782,34902
29236,27749,34868
30860,27711,35066
33312,27660,35060
34928,27653,35223
35020,27668,35276
32412,27701,35365
30040,27730,35321
30041,27770,35433
30564,27780,35422
32408,27776,35652
34432,27744,35591
34460,27716,35844
33760,27679,35766
32724,27662,36080
31764,27672,36140
30520,27701,36284
31032,27743,36324
32772,27772,36406
33673,27781,36394
33548,27783,36592
32952,27749,36662
32665,27712,36836
33432,27676,37004
33904,27652,36823
33668,27662,37122
33096,27702,37108
33068,27738,37304
33048,27776,37534
32564,27782,37716
31684,27778,37785
31240,27741,37943
29776,27708,37765
29196,27663,38073
29772,27651,38164
29212,27671,38320
30068,27700,38396
30748,27740,38521
30332,27775,38476
30032,27796,38856
30528,27782,38709
31233,27745,39034
32078,27700,38948
32609,27671,39240
32356,27654,39105
33436,27671,39344
34552,27698,39469
35038,27734,39609
34196,27775,39533
33110,27791,39888
32620,27777,39576
32896,27749,39948
32884,27700,39830
32582,27663,40095
30104,27660,40093
25592,27674,40240
24168,27692,40244
26964,27734,40368
30952,27770,40380
35220,27788,40524
37152,27774,40583
36140,27744,40585
35040,27708,40661
34680,27676,40836
33112,27655,40900
30656,27668,41004
28205,27700,41104
27798,27731,41090
29705,27782,41121
31397,27796,41254
31504,27783,41254
30632,27752,41381
30244,27716,41204
32726,27668,41657
35088,27647,41724
34512,27671,41696
33912,27708,41808
34264,27732,42021
34368,27780,42000
33756,27789,42064
33720,27782,42028
32932,27747,42474
32052,27712,42525
31108,27676,42645
29345,27664,42654
25092,27684,42605
21066,27728,42828
23552,27753,42736
29176,27770,43116
35388,27782,43228
37316,27769,43177
37024,27737,43284
35800,27703,43489
34036,27666,43592
31174,27652,43647
28652,27664,43557
25781,27687,43712
25508,27718,43612
28044,27766,43872
33728,27780,44072
36428,27773,44032
35520,27748,44196
34788,27698,44167
32300,27663,44308
29708,27640,44208
28168,27663,44342
28528,27689,44220
31456,27720,44372
33200,27766,44544
34372,27775,44580
34084,27768,44654
32288,27733,44593
30488,27695,44678
30052,27649,44452
32086,27633,44635
33448,27639,44484
33541,27663,44764
33456,27701,44520
33624,27737,44833
32852,27744,44805
31817,27736,44572
30969,27709,44840
29672,27671,44908
28548,27619,44636
26225,27612,44883
24008,27605,44865
24656,27644,44600
26204,27665,44887
30724,27713,44828
33516,27740,44580
35700,27737,44816
36713,27705,44708
36808,27668,44845
36892,27637,44520
35672,27623,44716
34120,27634,44647
32164,27668,44761
29656,27697,44516
26448,27758,44672
23316,27748,44637
20715,27725,44419
22746,27704,44572
30116,27676,44616
35192,27649,44420
36680,27634,44460
37757,27645,44292
37728,27689,44368
37616,27718,44490
38064,27762,44320
37076,27783,44313
35904,27759,44436
34068,27728,44295
31866,27701,44244
30516,27666,44365
30248,27647,44342
30916,27655,44311
31920,27689,44173
32672,27722,44161
33368,27765,43996
31968,27785,44108
32417,27783,44072
32320,27746,44212
30088,27716,44084
29292,27680,44140
30013,27655,43985
29452,27673,44039
29616,27682,43873
29441,27727,43940
33036,27764,43813
35552,27788,43783
34984,27783,43687
34626,27754,43750
34528,27711,43513
34156,27679,43677
33676,27663,43572
33120,27680,43561
31592,27707,43492
29192,27721,43540
23888,27766,43396
20070,27791,43612
20569,27773,43653
24233,27738,43628
30224,27712,43477
33696,27677,43620
39168,27681,43648
40120,27697,43668
39984,27730,43495
38624,27764,43580
36712,27788,43464
35484,27800,43809
35856,27789,43849
35132,27764,43764
32520,27728,43844
30472,27686,44076
30236,27668,43982
31888,27678,44184
33264,27711,44316
33964,27746,44165
33160,27788,44422
33720,27807,44528
34012,27800,44368
32040,27758,44748
31604,27732,44776
28476,27692,44969
23968,27680,44944
19916,27689,45136
19049,27718,45159
24573,27736,45336
33576,27784,45388
40400,27812,45440
41068,27821,45629
39984,27796,45599
38772,27750,45733
37744,27716,45671
36216,27705,45989
35060,27711,46096
34867,27744,46036
34628,27776,46290
32689,27813,46342
25972,27813,46528
20234,27813,46544
21436,27780,46644
25756,27725,46872
35480,27700,46984
39592,27704,47112
41100,27708,47213
41380,27732,47348
40708,27770,47281
38484,27820,47604
37108,27829,47671
37336,27829,47852
35992,27789,47943
35832,27772,48088
35356,27737,48301
34512,27720,48276
34024,27728,48584
36948,27757,48653
39560,27800,48763
37240,27838,48960
35844,27844,48849
35040,27837,49372
31224,27812,49512
26964,27788,49692
26836,27728,49784
30060,27704,50055
36460,27724,50172
40740,27760,50407
41853,27802,50533
41448,27841,50653
40600,27847,50879
39276,27837,51092
39096,27805,51237
38732,27768,51207
38432,27736,51650
37832,27709,51847
37244,27724,51716
35604,27752,52192
30468,27791,52292
26300,27812,52552
29055,27828,52604
33048,27821,52908
38196,27784,53088
42736,27757,53196
46240,27700,53352
45932,27692,53428
45852,27712,53716
46972,27748,53852
47184,27784,53988
46888,27815,54120
46536,27823,54008
48160,27801,54500
49120,27783,54628
47384,27748,54670
44604,27757,54852
40140,27724,54916
38008,27720,55220
38828,27744,55276
39892,27776,55424
43728,27798,55224
45700,27814,55768
43864,27806,55892
42416,27783,55588
41076,27748,56101
40112,27704,56208
39592,27684,56380
38532,27709,56364
38149,27744,56649
37932,27773,56676
38760,27811,56839
39716,27833,56916
40028,27826,57081
39676,27791,57188
39536,27759,57220
39401,27720,57369
38296,27706,57488
38096,27717,57660
37792,27740,57668
38201,27780,57855
38164,27818,57972
38076,27838,57942
36872,27820,58173
36350,27789,58262
35024,27748,58204
34337,27718,58470
35328,27697,58432
36320,27710,58615
38472,27732,58608
39384,27770,58800
37008,27812,58860
36212,27844,58700
36052,27832,58944
35776,27801,58960
34789,27764,59111
34624,27724,59048
34820,27717,59108
33641,27732,59159
32308,27757,59292
32536,27793,59264
34264,27834,59352
35741,27858,59344
36180,27850,59376
35732,27816,59089
35852,27774,59600
35577,27742,59588
34630,27718,59360
34696,27733,59744
33440,27753,59740
32360,27789,59783
31780,27816,59873
31660,27844,59810
31884,27839,59902
31668,27809,60028
31953,27773,60026
33112,27724,60060
33340,27711,60116
33396,27722,60308
32960,27751,60340
32020,27783,60148
31692,27812,60468
31800,27839,60496
32148,27820,60484
32520,27802,60620
31972,27765,60606
31560,27721,60213
31244,27708,60744
31092,27709,60756
31204,27736,60679
30576,27780,60764
29718,27816,60788
29112,27844,60884
30728,27829,60916
30864,27804,60848
28932,27764,60856
28732,27720,60780
29344,27716,60885
30158,27725,60596
30768,27751,60852
32384,27792,60517
32208,27825,60920
31176,27849,60856
30652,27846,60800
29860,27815,60868
29068,27780,60828
28636,27744,60708
28468,27711,60656
28786,27721,60702
28560,27753,60609
28668,27799,60536
27900,27841,60552
27525,27857,60492
28068,27845,60484
27316,27821,60448
28856,27792,60272
29772,27750,60389
30854,27740,60233
31176,27749,60295
31072,27783,60116
30388,27817,60248
29614,27861,60108
31021,27872,60060
32160,27856,60100
33157,27828,59996
33868,27781,60076
34092,27744,59897
33509,27735,59991
