ECG,EDA,RR
31744,16848,33914
31748,16826,33600
31713,16836,33757
31740,16808,33826
31784,16816,33806
31765,16878,33606
31744,16939,33733
31756,16936,33692
31748,16970,33616
31756,16911,33590
31796,16849,33533
31864,16821,33557
31896,16836,33559
31936,16806,33571
31996,16873,33272
32060,16866,33332
32084,16940,33376
32096,16927,33417
32132,16948,33495
32168,16893,33437
32157,16860,33364
32116,16828,33348
32100,16789,33066
32104,16809,33135
32140,16819,33204
32214,16882,33207
32224,16909,33335
32260,16951,33269
32272,16921,33224
32264,16913,33208
32336,16911,33197
32328,16813,33120
32332,16828,32916
32316,16798,32820
32356,16857,32964
32384,16865,33022
32413,16928,33118
32432,16999,33060
32497,16933,32969
32504,16934,32890
32500,16865,32957
32497,16845,32730
32456,16855,32860
32448,16826,32805
32496,16860,32810
32532,16870,32765
32552,16926,32636
32628,16933,32737
32692,16949,32709
32746,16894,32679
32752,16868,32388
32732,16872,32537
32738,16802,32502
32712,16866,32632
32732,16832,32415
32752,16886,32519
32776,16975,32471
32864,16932,32370
32908,16950,32378
32912,16924,32398
32912,16915,32215
32948,16818,32338
32992,16824,32404
33000,16807,32260
33053,16845,32244
33104,16876,31989
33164,16938,32086
33225,17013,32189
33280,16958,32164
33306,16932,32061
33300,16935,31820
33336,16846,31922
33328,16858,32031
33352,16809,31965
33368,16866,31803
33448,16951,31909
33509,16945,31628
33592,17015,31725
33628,16939,31900
33696,16926,31724
33744,16863,31711
33732,16845,31698
33740,16845,31468
33822,16811,31596
33904,16866,31690
33922,16916,31449
33976,17009,31528
34005,16959,31372
34044,16950,31549
34072,16963,31301
34068,16869,31356
34068,16848,31120
34052,16868,31201
34037,16818,31319
34088,16874,31175
34140,16935,31177
34197,16925,31016
34193,16964,31140
34188,16999,31092
34160,16905,30972
34084,16878,31012
34032,16858,30770
33984,16812,30848
33900,16831,30959
33816,16901,30839
33713,16889,30788
33621,16950,30583
33502,16970,30727
33380,16977,30650
33208,16978,30692
33014,16866,30442
32812,16847,30572
32644,16873,30696
32464,16819,30436
32320,16876,30552
32240,16921,30396
32190,16993,30437
32160,16961,30408
32060,16964,30436
31952,16975,30173
31932,16880,30260
31792,16885,30230
31696,16833,30185
31656,16822,30090
31588,16876,30061
31581,16899,30134
31585,16960,30215
31584,16961,30233
31576,16959,30254
31544,16916,30237
31472,16887,29993
31432,16869,30069
31408,16818,30076
31400,16857,30053
31434,16861,29826
31440,16938,29788
31452,16948,29782
31456,16997,29833
31452,16944,29989
31468,16937,29980
31476,16873,29990
31456,16852,29859
31440,16817,29720
31488,16850,29833
31532,16927,29796
31542,16926,29572
31592,16991,29605
31625,16965,29807
31680,16974,29748
31696,16944,29685
31680,16947,29692
31652,16845,29455
31616,16867,29436
31568,16840,29420
31572,16891,29488
31588,16908,29524
31596,16960,29612
31649,17028,29636
31696,16974,29598
31740,16969,29436
31716,16883,29471
31718,16866,29476
31712,16826,29464
31752,16870,29458
31800,16879,29396
31832,16941,29216
31852,17031,29282
31896,16975,29418
31873,16980,29441
31904,16918,29248
31884,16895,29276
31872,16924,29336
31870,16831,29333
31936,16856,29105
32012,16958,29172
32088,16926,29232
32150,16990,29357
32152,16980,29180
32160,16982,29252
32137,16993,29252
32101,16895,29235
32072,16886,29023
32088,16823,29248
32144,16854,29280
32148,16877,29128
32164,16933,29113
32178,17018,29166
32208,16993,29156
32206,17036,29124
32244,16941,29134
32260,16889,29124
32236,16864,28932
32200,16834,28953
32240,16871,28962
32292,16943,29049
32316,16940,29132
32388,17025,28986
32384,16987,29013
32364,17002,29052
32344,16996,28852
32320,16887,29016
32336,16864,29092
32372,16892,28924
32336,16868,28988
32364,16933,28993
32432,16921,28793
32440,16986,28883
32448,17034,29031
32460,16968,28924
32476,16953,28824
32448,16950,28945
32444,16861,28732
32452,16882,28794
32465,16850,28946
32456,16927,28873
32496,16937,28864
32500,16996,28911
32472,16982,28972
32484,16980,28871
32448,16937,28791
32480,16911,28900
32452,16900,28890
32464,16861,28673
32464,16889,28815
32484,16895,28854
32510,16956,28839
32560,17023,28857
32588,16991,28699
32536,16989,28732
32500,16994,28855
32509,16898,28866
32528,16871,28729
32512,16900,28869
32524,16862,28655
32508,16921,28724
32528,16943,28889
32549,16985,28844
32548,17022,28869
32576,16972,28741
32584,16959,28911
32552,16929,28746
32504,16856,28862
32442,16860,28701
32413,16901,28948
32440,16902,28753
32448,16957,28881
32524,16983,28710
32540,17013,28748
32548,17059,28951
32548,16956,28781
32540,16944,28912
32512,16856,28719
32504,16861,28769
32508,16935,28773
32548,16921,28911
32572,16983,29005
32592,16984,28815
32632,17004,28949
32616,17009,28951
32600,17025,28828
32552,16903,29044
32520,16892,28846
32545,16897,28999
32584,16878,28967
32604,16932,28828
32612,17007,29063
32647,16991,29007
32680,17014,28930
32680,17031,28911
32688,16951,29013
32688,16929,29028
32652,16933,29065
32636,16869,28876
32648,16924,28959
32660,16911,29176
32672,16976,29070
32752,17061,29124
32784,17012,28935
32745,17025,28989
32717,16948,29108
32700,16924,29221
32672,16930,29119
32660,16865,29208
32676,16902,29024
32718,16983,29105
32724,16976,29308
32732,17040,29172
32736,17005,29248
32724,17004,29099
32716,17029,29143
32708,16925,29182
32701,16932,29304
32720,16868,29372
32708,16905,29308
32712,16918,29197
32724,16986,29320
32792,17055,29356
32828,17017,29359
32813,17013,29182
32800,17022,29305
32788,16966,29364
32740,16880,29397
32720,16895,29217
32708,16915,29464
32718,16988,29287
32712,16967,29421
32736,17017,29300
32752,17041,29476
32804,17052,29403
32800,16961,29445
32816,16942,29244
32793,16917,29433
32784,16944,29492
32784,16901,29421
32804,16961,29494
32817,17061,29304
32840,17015,29508
32845,17034,29572
32828,17028,29480
32782,17012,29297
32768,16923,29444
32756,16892,29586
32752,16919,29388
32764,16898,29525
32784,16956,29517
32799,17036,29308
32828,17017,29430
