ECG,EDA,RR
33160,20748,30391
33156,20700,30296
33096,20663,30452
33068,20716,30527
33112,20738,30575
33116,20746,30436
33160,20816,30743
33172,20844,30783
33184,20832,30804
33116,20786,30718
33060,20743,30853
33068,20704,30869
33066,20662,30996
33060,20671,31065
33052,20693,31095
33076,20730,30941
33117,20819,31064
33192,20839,31253
33232,20823,31320
33206,20790,31327
33124,20740,31313
33048,20737,31396
33012,20678,31293
32984,20673,31341
32948,20701,31576
32992,20767,31521
33076,20789,31630
33109,20809,31482
33084,20836,31599
33052,20788,31793
33012,20742,31716
32992,20692,31799
32984,20709,31881
33004,20689,31719
33008,20703,31860
33044,20742,32023
33032,20827,32020
32960,20823,32052
32976,20806,32084
32972,20820,31990
32972,20763,32126
32960,20713,32268
32972,20673,32216
33028,20717,32258
33040,20745,32310
32992,20768,32361
33021,20793,32388
33028,20823,32217
32940,20809,32460
32889,20816,32375
32844,20760,32513
32857,20701,32356
32893,20708,32641
32896,20691,32526
32956,20709,32683
33036,20753,32727
33056,20795,32750
33008,20822,32581
32964,20851,32716
32972,20798,32770
32981,20758,32935
32952,20704,33020
32882,20673,33036
32896,20724,32903
33005,20734,33036
33004,20757,33095
32974,20796,32888
32968,20820,33004
32932,20855,33166
32944,20803,33316
32980,20757,33159
33005,20700,33287
32992,20697,33092
32900,20692,33276
32876,20709,33456
32912,20792,33429
32980,20808,33445
33016,20830,33500
33065,20867,33495
33064,20804,33466
33037,20749,33613
33009,20748,33648
32952,20689,33604
32940,20680,33708
32868,20751,33714
32836,20764,33657
32808,20799,33812
32801,20836,33825
32904,20810,33829
32887,20799,33830
32948,20751,33808
32940,20718,34020
32896,20675,33977
32804,20708,33973
32680,20716,33920
32592,20787,34063
32565,20808,34018
32636,20860,34025
32688,20834,33966
32716,20793,34277
32712,20781,34064
32736,20718,34230
32761,20689,34260
32816,20710,34244
32848,20735,34311
32878,20809,34372
32884,20813,34265
32964,20839,34397
33036,20866,34324
32940,20802,34541
32812,20759,34469
32761,20733,34405
32856,20686,34543
32956,20726,34553
32920,20741,34324
33008,20760,34510
33076,20835,34716
33141,20837,34652
33136,20853,34639
33076,20797,34676
33012,20775,34680
32940,20717,34645
32916,20724,34749
32952,20706,34814
33008,20725,34766
33044,20783,34648
32988,20809,34896
32888,20871,34865
32764,20844,34792
32700,20836,34774
32688,20769,34941
32614,20713,34890
32648,20717,35056
32676,20713,34863
32616,20727,35032
32600,20773,34963
32612,20810,34919
32616,20850,35093
32604,20825,35014
32560,20830,35077
32540,20771,35148
32493,20760,35165
32516,20697,35102
32556,20696,35236
32518,20744,35256
32528,20773,35236
32592,20843,35036
32652,20844,35389
32721,20883,35196
32764,20814,35087
32700,20757,35420
32696,20745,35303
32748,20692,35324
32708,20717,35405
32613,20733,35480
32597,20807,35549
32608,20835,35492
32676,20845,35432
32700,20871,35503
32676,20805,35281
32610,20790,35680
32528,20722,35591
32457,20722,35516
32440,20708,35361
32448,20779,35741
32544,20792,35642
32620,20861,35590
32672,20857,35588
32720,20838,35733
32684,20799,35532
32680,20781,35685
32608,20724,35769
32556,20717,35824
32560,20738,35799
32620,20753,35841
32558,20817,35812
32469,20826,35856
32392,20887,35797
32352,20847,35800
32220,20834,35805
32108,20773,35836
32024,20761,35877
31916,20713,35968
31940,20710,35985
32108,20766,35974
32472,20786,35956
32980,20847,35957
33596,20850,36059
34460,20855,36103
35416,20861,36094
36468,20788,36031
37336,20778,35988
38128,20704,35880
39056,20778,36277
40112,20762,36197
40944,20789,36193
41704,20865,36088
41944,20926,36013
41320,20862,36196
39592,20872,36004
37308,20810,36388
35528,20805,36216
34460,20731,36368
34097,20724,36292
34010,20768,36265
34029,20793,36404
33920,20852,36405
33604,20892,36166
33272,20863,36548
32964,20861,36454
32752,20793,36428
32584,20789,36524
32398,20725,36581
32260,20770,36601
32164,20758,36576
32048,20829,36420
32004,20842,36764
31928,20892,36700
31900,20862,36725
31896,20853,36632
31784,20786,36676
31652,20753,36722
31636,20761,36509
31708,20735,36749
31768,20786,36840
31792,20806,36846
31820,20832,36740
31872,20877,36628
31828,20858,36988
31740,20835,36820
31708,20784,36967
31744,20756,37029
31792,20716,36924
31772,20756,36999
31724,20771,37061
31752,20831,36999
31840,20847,37005
31924,20882,37019
31924,20861,37013
31884,20840,36925
31900,20831,36900
31932,20765,37151
31972,20719,37053
32040,20751,37144
32112,20802,37040
32188,20813,36969
32184,20846,37153
32164,20887,37072
32176,20861,37053
32208,20852,37173
32216,20796,37038
32180,20784,36936
32148,20737,37164
32120,20733,36942
32101,20781,36796
32056,20802,37200
32040,20882,36952
32068,20885,37105
32148,20870,37088
32206,20852,37005
32178,20791,37029
32184,20769,37007
32233,20764,36805
32236,20744,37204
32312,20768,37127
32420,20828,37128
32566,20855,37020
32696,20906,37133
32660,20871,37200
32512,20863,37114
32480,20805,37133
32420,20773,37076
32404,20733,36932
32376,20767,37124
32464,20774,37071
32584,20841,37149
32628,20865,37049
32601,20907,36988
32588,20873,36920
32664,20877,36797
32708,20815,37076
32676,20796,36985
32652,20729,36959
32668,20772,36967
32710,20780,36853
32756,20846,36846
32832,20869,36684
32788,20917,36996
32768,20882,36752
