ECG,EDA,RR
32384,23976,30908
32468,24039,30767
32564,24028,30790
32564,24024,30895
32580,23973,30825
32552,23950,30766
32529,23901,30832
32524,23884,30880
32560,23919,30713
32592,23941,30871
32544,23980,30764
32460,24020,30848
32425,24036,30877
32412,24024,30721
32508,23977,30718
32648,23932,30898
32704,23909,30841
32692,23892,30892
32656,23904,30700
32640,23957,30740
32636,23989,30908
32592,24021,30846
32548,24029,30732
32557,24028,30876
32592,23972,30861
32604,23954,30710
32473,23901,30889
32336,23880,30845
32420,23921,30717
32580,23943,30916
32732,23992,30855
32804,24020,30720
32776,24027,30887
32724,24014,30884
32676,23972,30724
32672,23950,30925
32746,23908,30800
32808,23883,30900
32788,23921,30718
32764,23956,30794
32744,23983,30840
32720,24020,30888
32708,24037,30903
32664,24010,30820
32660,23972,30788
32672,23948,30917
32692,23903,30752
32692,23882,30878
32680,23908,30924
32668,23943,30767
32647,23972,30957
32556,24028,30936
32445,24026,30773
32376,24008,30954
32456,23975,30820
32654,23936,30941
32788,23914,30780
32841,23889,30911
32836,23904,30883
32792,23959,30793
32768,23980,30996
32832,24017,30956
32908,24042,30804
32828,24016,31012
32756,23972,30873
32764,23955,30992
32764,23907,30847
32744,23885,31028
32708,23905,30894
32592,23949,31014
32572,23981,30884
32624,24035,30921
32800,24042,31039
32884,24004,30862
32836,23983,31026
32792,23940,30926
32796,23893,31045
32756,23895,31013
32724,23908,30964
32704,23949,31070
32692,23984,30894
32696,24021,31045
32752,24044,31111
32733,24014,30965
32684,23977,31056
32704,23932,31088
32788,23892,31077
32880,23903,31108
32976,23908,30940
33036,23941,30958
33032,23998,31138
32984,24031,31012
32968,24035,31125
33032,24007,30953
33144,23992,30964
33192,23952,31015
33128,23907,31152
33013,23879,31033
32976,23932,31129
33036,23948,30961
32988,23980,31172
32960,24052,31012
32984,24042,31133
32988,24019,31136
32964,23985,30990
32796,23940,30973
32608,23888,30975
32616,23909,31173
32740,23920,31039
32845,23959,31128
32920,23991,31137
33033,24022,30988
33020,24046,31140
32952,24013,31138
32892,23977,31154
32921,23940,31005
32880,23896,30993
32832,23911,31102
32868,23916,31034
32908,23940,31116
32972,23996,30980
32992,24049,30989
32948,24044,31128
32932,24015,31017
32940,23968,31147
32887,23949,30992
32880,23904,30988
32732,23901,31180
32684,23908,31140
32732,23973,31100
32768,23995,30989
32772,24021,31165
32812,24055,31040
32844,24028,31124
32670,23983,31154
32540,23927,31004
32496,23913,31103
32664,23899,31111
32728,23911,31132
32854,23959,30989
32980,23985,31184
