ECG,EDA,RR
32792,27968,28638
32900,27970,28622
32968,27949,28612
32940,27919,28609
32940,27881,28458
32852,27850,28389
32776,27847,28356
32786,27871,28382
33000,27900,28412
33232,27944,28401
33472,27975,28392
33572,27980,28360
33592,27953,28340
33613,27924,28228
33632,27893,28164
33636,27855,28090
33600,27848,28066
33592,27876,28033
33660,27908,28007
33704,27944,27984
33694,27983,27961
33652,27986,27991
33624,27957,27960
33558,27926,27924
33392,27890,27927
33248,27864,27808
33284,27853,27853
33480,27877,27829
33612,27908,27806
33597,27949,27841
33356,27983,27809
33000,27991,27785
32756,27969,27752
32733,27932,27717
32868,27895,27690
33004,27862,27674
33012,27868,27647
32964,27880,27628
32872,27919,27601
32754,27950,27586
32644,27977,27492
32465,27988,27407
32288,27964,27364
32124,27932,27357
31984,27898,27348
31840,27865,27399
31672,27868,27412
31756,27884,27357
31788,27924,27326
31760,27959,27320
31680,27990,27319
31592,27999,27236
31524,27971,27164
31492,27945,27232
31572,27895,27218
31844,27876,27180
31989,27873,27161
31980,27886,27143
31872,27932,27130
31814,27956,27133
31812,27996,27128
31817,27997,27110
31880,27973,27028
31964,27943,27013
31960,27904,26938
31924,27876,27021
31808,27872,26988
31712,27902,26980
31640,27924,26923
31712,27964,26885
31885,27996,26824
31900,28005,26812
31768,27980,26898
31620,27944,26893
31612,27916,26880
31752,27879,26855
31836,27876,26828
31892,27893,26807
31828,27940,26816
31720,27967,26805
31776,28001,26721
31936,28012,26665
32008,27983,26645
32000,27952,26696
31952,27918,26743
31972,27879,26721
31968,27880,26691
32033,27897,26708
32068,27943,26629
32008,27981,26568
32004,28006,26589
32048,28012,26615
31960,27982,26653
31848,27956,26628
31784,27917,26599
31736,27887,26584
31968,27884,26578
32212,27908,26568
32328,27945,26551
32308,27977,26548
32168,28019,26549
31912,28009,26542
31552,27990,26548
31576,27953,26486
32120,27926,26416
32601,27887,26456
32752,27884,26503
32660,27914,26468
32472,27945,26457
32300,27984,26465
32256,28023,26464
32244,28022,26452
32184,27993,26444
32116,27961,26378
32192,27920,26327
32284,27893,26393
32380,27892,26376
32540,27916,26384
32724,27948,26397
32828,27984,26276
32852,28017,26276
32792,28021,26340
32756,28000,26356
32680,27964,26338
32636,27926,26362
32612,27901,26280
32556,27893,26237
32524,27917,26289
32512,27952,26311
32512,27989,26319
32584,28024,26324
32624,28023,26215
32642,28004,26283
32648,27965,26284
32628,27940,26273
32496,27906,26254
32280,27906,26210
32132,27929,26257
32008,27966,26258
31924,27991,26262
32068,28033,26229
32412,28024,26156
32696,28009,26224
32804,27975,26260
32756,27941,26228
32725,27903,26228
32821,27911,26243
32953,27936,26164
33032,27968,26225
32948,28007,26212
32844,28029,26225
32704,28029,26239
32612,28007,26190
32633,27972,26144
32752,27945,26125
32772,27913,26200
32656,27912,26216
32588,27935,26213
32572,27975,26228
32484,28007,26148
32424,28039,26191
32356,28036,26240
32480,28018,26235
32908,27982,26205
33236,27950,26204
33332,27910,26230
33192,27911,26255
33052,27940,26156
32918,27981,26161
32828,28012,26246
32788,28040,26236
32848,28045,26268
33020,28016,26231
33076,27985,26188
33009,27944,26191
32984,27921,26218
32912,27918,26281
32856,27946,26271
32812,27976,26296
32781,28014,26308
32744,28046,26212
32732,28045,26316
32788,28022,26305
32844,27983,26284
32876,27937,26265
32878,27920,26324
32800,27924,26340
32796,27952,26364
32864,27984,26372
32868,28013,26385
32832,28047,26317
32797,28050,26300
32808,28022,26301
32716,27993,26327
32577,27962,26409
32421,27924,26417
32480,27936,26413
32668,27954,26462
32772,27982,26402
32780,28024,26388
32804,28052,26498
32832,28061,26482
32848,28030,26519
32865,28002,26539
32956,27938,26452
33152,27937,26520
33324,27937,26556
33352,27951,26570
33344,28000,26606
33300,28032,26524
33280,28062,26585
33272,28060,26604
33120,28039,26598
33045,27997,26672
32936,27960,26701
32744,27948,26682
32648,27938,26700
32696,27967,26740
32664,28002,26684
32488,28037,26724
32380,28063,26792
32540,28061,26800
33124,28039,26830
33564,28004,26740
33674,27974,26842
33592,27941,26837
33452,27940,26781
33308,27968,26884
33202,28004,26901
33144,28037,26961
33141,28068,26873
33109,28068,26981
33132,28039,26982
33100,28007,27028
33056,27972,26918
33036,27942,27045
33037,27940,27033
33008,27947,27095
