ECG,EDA,RR
34228,4074,26865
32824,4067,26981
31436,4156,26919
31052,4063,27074
32058,4081,26720
33128,4171,26870
33568,4051,27014
33892,4063,26995
33360,4142,26873
32132,4044,26957
31460,4070,27045
31324,4079,26975
31260,4153,27143
31352,4041,27101
31500,4056,26988
32264,4076,27194
33348,4128,26940
34573,4208,27119
35200,4030,27319
35114,4055,27095
34300,4076,27224
32752,4083,27130
31096,4109,27380
30292,4154,27237
30785,4051,27022
32028,4060,27287
33440,4067,27199
34888,4105,27424
35572,4153,27348
34740,4042,27101
33568,4074,27298
32832,4069,27452
32020,4084,27405
31596,4153,27231
31734,4059,27384
32622,4069,27492
33716,4096,27287
34792,4144,27356
35404,4036,27364
35428,4075,27486
34752,4072,27148
33680,4157,27396
32440,4179,27349
31660,4046,27321
31284,4056,27466
31553,4042,27458
32484,4047,27264
33512,4068,27146
34060,4080,27084
34168,4093,27308
33396,4172,27301
32348,4052,27444
31373,4068,27278
31481,4116,27251
32364,4237,27245
33401,4045,27202
34370,4054,27249
35344,4075,27078
35436,4083,26903
34472,4147,27119
33416,4041,26952
33452,4081,27195
33016,4081,26935
32400,4134,27004
32804,4055,26908
33704,4051,27060
34616,4079,26815
35164,4133,26895
34884,4036,26845
34700,4072,26715
33976,4143,26777
32628,4053,26581
30816,4089,26777
30544,4153,26522
31508,4193,26625
32334,4055,26454
33064,4069,26433
34356,4136,26484
35192,4055,26359
35060,4054,26487
34068,4086,26380
33541,4108,26066
33229,4194,26228
32608,4067,26308
32580,4089,26056
32640,4081,26095
33052,4164,25944
34020,4040,26028
34934,4079,25961
34592,4102,26032
33247,4179,25713
32404,4056,25817
31941,4080,25607
32032,4106,25759
32852,4148,25444
34098,4040,25621
34848,4065,25519
35208,4081,25452
35417,4096,25546
35276,4239,25168
34648,4043,25352
33608,4090,25244
32628,4078,25305
32324,4147,25231
32442,4218,24956
32820,4048,25090
33396,4071,24976
34309,4085,24900
34988,4088,25041
34884,4120,24800
34510,4169,24675
33628,4060,24735
32492,4075,24592
31840,4093,24615
32016,4080,24677
32576,4097,24529
33556,4132,24365
34744,4143,24256
35496,4173,24141
35212,4175,24064
34080,4058,24153
32628,4093,23950
31256,4083,24136
31156,4079,24013
32432,4080,23805
33040,4142,23793
33722,4181,23726
34226,4053,23645
34364,4085,23536
34008,4088,23506
33712,4151,23404
33424,4046,23488
32928,4084,23085
32140,4173,23168
32312,4054,23254
33012,4070,22948
33768,4071,22992
34604,4125,22886
35424,4151,22935
35456,4183,22631
34368,4061,22660
33292,4096,22604
32397,4117,22588
31948,4183,22308
32328,4065,22193
33440,4062,22211
34232,4092,22311
34956,4122,21956
35569,4185,21992
35408,4227,21784
34248,4067,21832
32988,4077,21564
32064,4101,21408
31792,4095,21493
32400,4145,21492
33381,4065,21156
34173,4088,21133
35024,4128,20940
35856,4062,20952
35718,4061,20806
34752,4093,20596
33048,4098,20418
31108,4101,20500
30304,4084,20290
30960,4143,20133
32320,4182,19970
33909,4056,20029
35464,4060,19810
36240,4095,19780
36148,4093,19522
35648,4125,19577
34972,4189,19428
33970,4069,19213
33172,4103,19253
33080,4128,19216
33737,4207,18914
34137,4057,18989
34772,4073,18783
35376,4090,18908
35520,4084,18598
35000,4118,18685
33780,4195,18701
32892,4068,18378
32685,4103,18465
33032,4122,18481
33916,4155,18180
35000,4178,18140
35832,4070,18226
36092,4051,18244
35456,4086,17968
34020,4079,18072
32656,4098,18011
31660,4120,18053
31404,4173,17742
32584,4076,17759
33868,4058,17805
34920,4072,17765
36208,4087,17540
36544,4128,17671
35712,4243,17661
34940,4060,17389
33966,4074,17468
33056,4101,17325
33280,4102,17408
34233,4134,17194
34816,4185,17026
34992,4186,16974
34858,4188,16947
34804,4265,16947
34941,4063,16801
34457,4088,16835
34080,4101,16514
34336,4165,16581
34822,4205,16469
36068,4272,16270
37088,4070,16324
38120,4071,16018
38992,4088,15981
39296,4095,15961
38816,4175,15918
38194,4074,15605
36600,4106,15653
35164,4203,15480
34236,4247,15411
34624,4079,15128
35676,4113,15102
36616,4124,14972
37508,4195,14898
38124,4088,14789
38022,4109,14652
35916,4112,14684
34116,4155,14344
33768,4272,14396
33852,4089,14186
35508,4121,14003
37132,4129,13844
38328,4127,13731
39180,4149,13724
39488,4232,13481
39216,4068,13422
37892,4097,13345
35952,4128,12971
35026,4160,12897
33825,4193,12840
32870,4228,12670
32620,4109,12452
34588,4086,12433
36332,4127,12053
36776,4130,11917
37008,4132,11823
36376,4150,11760
35056,4234,11541
33320,4116,11360
31668,4111,11161
31800,4126,11096
32568,4132,11016
34252,4155,10887
34928,4210,10640
34944,4108,10556
34444,4133,10439
33948,4143,10372
33538,4227,10135
33200,4131,10077
33200,4157,9992
34973,4195,9718
36912,4130,9681
38624,4155,9534
39788,4149,9489
40628,4201,9241
40540,4332,9197
40696,4148,9067
39200,4156,8996
37320,4159,8784
36904,4207,8740
36780,4114,8631
37676,4159,8468
38256,4161,8377
39396,4164,8308
39328,4209,8188
37100,4114,8046
35200,4157,7986
34292,4190,7890
32432,4132,7750
30752,4154,7682
30812,4169,7589
31965,4219,7460
32892,4147,7396
33424,4165,7285
34044,4200,7205
33544,4143,7108
33581,4175,7020
32192,4215,6947
28704,4306,6850
24516,4166,6755
19516,4172,6680
14096,4223,6588
16161,4170,6507
16069,4184,6434
21248,4247,6344
26372,4156,6264
27708,4170,6193
29156,4258,6116
28697,4317,6031
33540,4170,5950
35412,4221,5878
35309,4274,5811
31724,4165,5735
31288,4185,5668
30592,4269,5591
29848,4169,5525
31449,4198,5457
34740,4266,5374
34936,4176,5304
36828,4162,5250
38918,4178,5200
39488,4205,5103
40652,4272,5055
42524,4173,4996
39600,4186,4941
40108,4196,4852
40640,4291,4801
40068,4159,4749
36716,4220,4706
33760,4263,4639
31532,4184,4612
31320,4211,4586
34260,4221,4540
37472,4311,4495
35368,4212,4511
35192,4293,4468
34488,4176,4536
36860,4217,4516
35616,4197,4544
34596,4211,4519
37568,4183,4591
35820,4224,4579
34164,4192,4657
33088,4221,4739
34736,4241,4779
31476,4309,4804
28932,4197,4817
29824,4220,4863
29200,4350,4888
28592,4216,4973
28646,4236,4976
30440,4289,4990
33344,4190,5050
36504,4224,5030
30612,4313,5052
25160,4210,5071
25724,4232,5088
31036,4327,5113
33256,4218,5159
35076,4233,5158
32206,4294,5155
32748,4348,5217
33580,4218,5219
34980,4238,5256
36536,4248,5261
35160,4314,5321
33841,4218,5374
29836,4221,5390
31856,4225,5433
33236,4259,5471
30956,4261,5537
28692,4397,5570
31916,4231,5622
38056,4237,5682
39080,4320,5729
32269,4402,5774
28785,4242,5826
29448,4256,5898
29412,4322,5946
29676,4243,6004
30942,4237,6066
39324,4265,6117
41524,4297,6183
42884,4223,6233
43908,4269,6299
39648,4281,6368
35508,4408,6439
32232,4255,6512
32796,4274,6592
30440,4353,6683
28370,4249,6743
30148,4283,6839
29056,4307,6917
29568,4430,7001
29884,4255,7085
29192,4272,7152
28136,4329,7252
31336,4292,7355
34981,4313,7412
35600,4257,7500
35364,4298,7583
35768,4326,7707
32000,4377,7801
26394,4270,7869
25026,4293,8012
26652,4321,8143
30188,4323,8224
30984,4372,8289
32532,4272,8433
34776,4301,8563
35400,4309,8670
38508,4313,8752
36032,4377,8917
33145,4284,9070
29710,4274,9085
28792,4306,9229
28348,4308,9391
29204,4367,9576
31362,4411,9576
32988,4463,9821
32480,4297,9951
32952,4305,10165
32776,4316,10234
32320,4315,10392
30532,4307,10643
30432,4375,10866
30437,4296,11109
30408,4308,11271
29160,4333,11609
28780,4325,11787
29128,4359,12092
30288,4481,12261
31096,4306,12660
32432,4338,12866
33064,4349,13264
32125,4452,13421
32600,4302,13876
29352,4333,14206
27016,4382,14608
26236,4451,14732
25244,4332,15260
25252,4339,15694
25614,4416,15892
27248,4328,16324
29184,4348,16596
29868,4324,17186
30356,4348,17542
29684,4366,17921
28976,4379,18459
28040,4447,18668
28138,4337,19220
27789,4360,19585
27953,4373,20153
29008,4465,20286
29200,4344,20868
29860,4362,21162
29456,4375,21806
28652,4413,21981
27532,4449,22376
27040,4369,22916
27962,4384,23183
29000,4428,23790
30344,4366,24120
31508,4374,24514
32344,4383,24928
32144,4525,25252
30872,4387,25784
29336,4399,26198
27893,4504,26524
26896,4397,27007
26672,4426,27488
27396,4494,27709
28031,4378,28312
28100,4404,28926
27616,4449,28956
27512,4383,29556
27657,4421,30039
27108,4400,30549
25669,4418,31052
24156,4483,31478
23972,4529,31858
24008,4410,32445
25018,4430,32711
27004,4425,33196
28708,4494,33612
29488,4411,34213
29053,4427,34374
27808,4475,34866
26425,4605,35420
25652,4424,35736
26059,4448,36156
27246,4447,36462
27360,4505,37095
28584,4591,37292
29714,4433,37712
30012,4453,38014
29424,4452,38629
28629,4528,38535
27728,4437,39220
