ECG,EDA,RR
32952,16352,29052
33044,16362,29044
33172,16337,29031
33332,16329,29018
33295,16331,29014
33032,16404,28859
32752,16379,28788
32544,16355,28828
32432,16346,28843
32417,16343,28792
32508,16340,28776
32716,16340,28761
32948,16331,28702
33124,16332,28857
33242,16415,28851
33221,16392,28831
33016,16350,28647
32792,16353,28616
32476,16421,28647
32236,16371,28846
32248,16361,28728
32448,16346,28648
32637,16407,28704
32868,16372,28679
32984,16354,28525
32968,16339,28544
32821,16402,28628
32664,16356,28679
32453,16351,28580
32164,16438,28468
32004,16402,28508
32044,16373,28485
32200,16356,28495
32530,16342,28470
32976,16340,28289
32972,16405,28288
32727,16360,28480
32652,16356,28308
32522,16348,28359
32388,16423,28367
32576,16404,28340
32780,16368,28145
32952,16352,28167
33264,16419,28343
33464,16391,28311
33428,16385,28298
33376,16356,28286
33236,16345,28113
33036,16428,28188
32948,16365,27986
33008,16350,28092
33120,16352,28140
33152,16406,28028
33364,16353,28101
33432,16347,27920
33320,16341,27954
33092,16344,28096
32884,16390,28029
32600,16372,27940
32390,16356,28011
32524,16417,27973
32724,16366,27816
32993,16347,27950
33124,16424,28030
33160,16404,28012
33152,16364,27876
33101,16355,27865
32872,16348,27901
32644,16367,27748
32544,16355,27884
32640,16421,27886
32820,16360,27728
33008,16348,27809
33176,16417,27792
33336,16365,27630
33296,16348,27741
33033,16350,27785
32764,16398,27647
32608,16365,27652
32460,16361,27581
32492,16372,27636
32688,16357,27654
32896,16425,27480
33028,16378,27534
33060,16372,27630
32872,16343,27623
32744,16415,27452
32572,16362,27517
32465,16357,27521
32524,16358,27341
32716,16402,27325
32944,16361,27338
33108,16354,27494
33196,16354,27380
33188,16347,27429
33100,16420,27369
32916,16394,27346
32772,16375,27292
32613,16355,27292
32528,16356,27125
32472,16431,27108
32373,16417,27086
32408,16385,27072
32728,16372,27093
33176,16361,27156
33244,16371,27130
33235,16372,27130
33184,16375,27036
33168,16366,26993
33140,16360,26934
33345,16352,26887
33624,16353,26868
33777,16414,26884
33936,16429,26868
33960,16372,26965
33728,16359,26924
33448,16355,26928
33232,16426,26921
33000,16389,26776
32736,16364,26751
32553,16356,26934
32597,16394,26830
32792,16377,26783
33184,16353,26847
33376,16414,26838
33380,16367,26822
33208,16369,26820
33108,16357,26646
32937,16426,26640
32856,16372,26706
32888,16359,26796
32948,16356,26760
32917,16421,26780
32832,16367,26781
32596,16359,26587
32448,16350,26652
32245,16391,26637
32048,16374,26468
32070,16356,26446
32300,16434,26420
32588,16370,26478
32752,16359,26524
32852,16437,26522
32961,16405,26345
33184,16365,26399
33430,16358,26383
33532,16346,26198
33497,16422,26207
33440,16367,26340
33444,16354,26156
33460,16422,26221
33572,16367,26022
33653,16350,26127
33740,16385,26024
33790,16365,26065
33653,16445,25876
33412,16364,26050
33164,16351,25860
32905,16418,25922
32800,16368,25797
32856,16363,25715
32944,16351,25681
33064,16419,25681
33250,16365,25788
33372,16351,25692
33288,16423,25696
33068,16372,25700
32848,16349,25517
32673,16448,25486
32620,16379,25581
32656,16356,25503
32852,16413,25569
33076,16375,25452
33222,16347,25375
33260,16420,25452
33180,16364,25404
33132,16367,25454
33016,16349,25444
32876,16388,25297
32732,16363,25452
32636,16351,25316
32728,16417,25388
32848,16388,25373
32964,16369,25212
33057,16348,25191
33124,16346,25199
33148,16404,25342
33048,16391,25359
32932,16373,25212
32828,16351,25312
32756,16381,25159
32792,16368,25116
33052,16348,25322
33324,16407,25233
33473,16367,25185
33472,16343,25132
33308,16405,25329
33088,16362,25214
32893,16366,25293
32753,16355,25121
32692,16409,25307
32808,16359,25270
32972,16363,25202
33196,16416,25173
33324,16368,25285
33292,16354,25221
33192,16348,25332
32973,16389,25181
32752,16374,25228
32624,16351,25380
32676,16416,25332
32780,16367,25241
32984,16346,25202
33216,16404,25347
33352,16370,25350
33248,16356,25394
32936,16350,25266
32524,16350,25254
32228,16394,25310
32006,16357,25325
32104,16348,25440
32332,16396,25308
32388,16359,25331
32532,16361,25519
32672,16343,25383
32768,16383,25503
32645,16344,25375
32604,16404,25575
32676,16361,25516
32996,16340,25573
33624,16377,25426
34620,16359,25656
36076,16336,25581
37696,16329,25555
38816,16421,25644
39344,16355,25692
39212,16349,25583
38608,16327,25545
37932,16370,25780
37208,16349,25684
36740,16333,25765
36440,16369,25797
36129,16352,25668
35584,16317,25687
34777,16398,25760
33868,16333,25930
33164,16333,25808
32727,16327,25893
32321,16382,25943
32188,16353,25792
32352,16326,25831
32664,16397,26025
32844,16388,25965
32948,16369,25975
32960,16334,26068
32900,16334,25958
32636,16326,25967
32240,16398,26073
31884,16357,26176
31678,16349,26077
31680,16334,26212
31956,16327,26241
32340,16327,26261
32684,16423,26119
32804,16393,26148
32760,16336,26301
32540,16326,26244
32184,16388,26375
31904,16336,26233
31852,16330,26271
32008,16382,26490
32286,16346,26423
32440,16327,26417
32552,16399,26499
32532,16356,26538
32432,16332,26414
32404,16404,26437
32285,16363,26564
32104,16347,26676
32056,16324,26653
32220,16385,26617
32509,16341,26631
32604,16329,26763
32562,16396,26806
32536,16347,26697
32432,16325,26752
32404,16418,26897
32431,16385,27018
32401,16356,26908
32356,16340,26951
32438,16342,26984
32636,16325,27124
32960,16433,27172
33076,16375,27086
33173,16332,27067
33216,16324,27132
33136,16323,27188
32932,16380,27415
32679,16353,27406
32400,16337,27382
32281,16325,27432
32260,16365,27318
32360,16329,27417
32540,16327,27561
32828,16322,27429
32920,16386,27534
32840,16341,27577
32660,16335,27460
32457,16416,27488
32284,16381,27612
32204,16338,27676
32194,16324,27647
32304,16385,27700
32428,16340,27727
32540,16339,27736
32564,16412,27609
32485,16345,27752
32438,16330,27811
32433,16323,27748
32394,16365,27850
32348,16347,27711
32464,16319,27893
32684,16421,27968
32884,16359,27891
32992,16325,27951
32888,16385,27832
32752,16341,27921
32468,16333,28081
32272,16321,27949
32238,16404,27980
32336,16385,28080
32456,16332,28092
32524,16317,27980
32576,16386,28099
32708,16323,28066
32924,16318,28182
32764,16399,28068
32512,16336,28277
32352,16324,28223
32300,16403,28271
32228,16337,28151
32380,16322,28389
32596,16366,28241
32905,16329,28359
33133,16316,28381
33164,16381,28289
33036,16338,28388
32752,16316,28460
32540,16415,28494
32412,16358,28359
32388,16325,28444
32360,16400,28668
32384,16361,28509
32516,16335,28648
32728,16309,28692
32848,16375,28541
32772,16332,28641
32689,16318,28745
32624,16399,28911
32580,16332,28782
32592,16324,28925
32716,16311,28829
32872,16386,28900
33096,16349,28997
33188,16316,29028
33108,16333,29029
33000,16322,29065
32824,16311,29101
32596,16407,29252
32348,16375,29260
32252,16339,29237
32252,16332,29379
32280,16316,29455
32504,16304,29597
32773,16375,29615
32748,16322,29639
32541,16314,29580
32208,16311,29620
32084,16367,29736
32152,16356,29800
32317,16327,29865
32400,16322,29922
32628,16324,29981
33017,16391,29904
33378,16343,30093
33406,16315,30211
33272,16308,30080
33060,16391,30205
32872,16325,30276
32752,16308,30172
32780,16304,30345
32868,16352,30500
32992,16318,30336
33140,16319,30472
33308,16297,30524
33248,16359,30382
33013,16318,30503
32796,16315,30544
32652,16311,30607
32584,16348,30685
32704,16323,30772
32968,16296,30802
33208,16391,30640
33356,16339,30748
33436,16312,30727
33376,16317,30786
33152,16300,30869
32908,16297,30864
32580,16393,30952
32372,16370,30932
32412,16367,30940
32592,16336,30977
32873,16338,31189
33100,16308,31028
33232,16296,31175
33168,16290,31296
32900,16358,31316
32616,16316,31429
32516,16300,31383
32592,16289,31351
32764,16340,31456
32848,16302,31286
33014,16292,31421
33156,16348,31601
33176,16309,31685
33014,16292,31604
32752,16285,31647
32516,16335,31605
32287,16313,31660
32084,16296,31793
32044,16288,31679
32096,16342,31813
32220,16298,31833
32576,16282,31911
32864,16282,31949
32976,16334,31878
33108,16295,32031
33065,16283,32016
32940,16339,32100
32852,16308,32006
32921,16279,32280
33016,16300,32190
33084,16289,32236
33200,16279,32135
33312,16341,32261
33132,16306,32385
32780,16294,32432
32469,16281,32535
32236,16281,32398
32244,16345,32432
32432,16292,32527
32696,16297,32556
32952,16281,32449
33268,16271,32509
33452,16329,32710
33316,16285,32681
32912,16281,32709
32520,16274,32737
32321,16276,32820
32256,16275,32672
32464,16338,32743
32784,16291,32836
33076,16293,32852
33244,16276,32892
33376,16269,32924
33241,16268,32954
32948,16332,32737
32652,16287,32901
32480,16276,33109
32492,16274,33169
32672,16331,33147
32880,16287,33000
33129,16284,33133
33308,16263,33174
33444,16264,33183
33344,16338,33105
33132,16281,33194
32797,16285,33205
32597,16277,33194
32512,16271,33189
32512,16262,33287
32752,16330,33367
33000,16279,33396
33160,16283,33412
33256,16261,33445
33148,16261,33240
32964,16333,33257
32816,16300,33284
32660,16267,33526
32568,16263,33612
32620,16331,33588
32724,16309,33537
32940,16289,33526
33162,16276,33549
33348,16278,33559
33328,16261,33608
33281,16257,33600
33124,16261,33492
32830,16363,33567
32644,16326,33621
32700,16331,33829
32932,16332,33840
33096,16326,33738
33244,16306,33793
33358,16279,33996
33312,16265,34015
33028,16263,33905
32524,16262,33799
32156,16265,34007
31952,16253,34036
32092,16255,34055
32476,16305,34075
32865,16270,33862
