ECG,EDA,RR
32917,16539,33396
32702,16564,33385
32536,16567,33415
32420,16559,33398
32357,16553,33283
32260,16529,33557
32245,16512,33488
32088,16519,33473
31804,16543,33453
31460,16631,33476
31221,16622,33481
31040,16657,33479
30956,16671,33675
30992,16658,33559
31124,16634,33382
31212,16614,33695
31372,16599,33604
31412,16601,33565
31272,16688,33581
31212,16704,33543
31101,16710,33564
30924,16743,33573
30920,16737,33596
31028,16729,33640
31196,16783,33593
31344,16725,33620
31516,16709,33340
31568,16702,33533
31481,16712,33511
31396,16749,33561
31288,16778,33524
31210,16797,33581
31216,16806,33599
31388,16801,33621
31541,16861,33735
31684,16835,33645
31796,16807,33716
31796,16813,33637
31704,16823,33629
31524,16822,33687
31284,16850,33794
31156,16874,33700
31204,16882,33833
31332,16880,33738
31548,16864,33853
31726,16934,33762
31900,16860,33879
31900,16852,33517
31792,16851,33733
31632,16955,33737
31505,16965,33787
31381,16972,33840
31390,16976,33832
31489,16953,33944
31576,17001,33588
31712,16948,33749
31784,16900,33735
31740,16919,33911
31672,16933,33769
31568,16952,33848
31424,17049,33972
31292,17032,33774
31169,17047,33880
31252,17025,33964
31360,17076,33888
31484,17049,33980
31633,17014,33874
31696,16996,33728
31600,17007,33839
31488,17047,33747
31377,17071,34051
31312,17094,33941
31296,17108,33906
31388,17165,33837
31512,17145,33761
31690,17098,33981
31808,17060,33985
31824,17046,34102
31724,17068,34002
31580,17140,34051
31436,17137,34020
31308,17169,34080
31316,17257,33990
31344,17212,34109
31448,17172,33920
31584,17132,33940
31708,17189,33924
31661,17140,34004
31588,17145,34079
31460,17161,34006
31352,17189,34064
31236,17284,34013
31244,17268,34037
31288,17241,33959
31436,17220,33916
31572,17223,33727
31720,17191,33922
31764,17179,33861
31744,17250,33953
31692,17239,34057
31616,17263,33927
31557,17284,33951
31600,17357,33764
31720,17343,33833
31820,17287,33824
31957,17263,33901
32124,17237,33997
32216,17288,33884
32192,17279,33945
32076,17295,33665
31936,17317,34005
31808,17355,33869
31848,17368,33970
31952,17357,33853
32128,17335,33922
32288,17362,33873
32413,17309,33733
32508,17359,33868
32416,17334,33617
