ECG,EDA,RR
31360,7934,32795
31520,7819,32840
31544,7870,32849
31580,7769,32785
31676,7783,32653
31660,7789,32727
31592,7778,32768
31560,7791,32772
31565,7822,32493
31578,7975,32668
31664,7816,32791
31848,7821,32953
31972,7820,32703
32042,7877,32836
32052,7747,32836
31952,7790,32775
31833,7820,32798
31648,7790,32889
31552,7824,32996
31552,7831,32736
31648,7905,32878
31724,7802,32567
31780,7817,32751
31829,7766,32799
31868,7780,32789
31896,7807,32789
31756,7887,32775
31652,7778,32885
31564,7814,32964
31524,7873,32895
31512,7988,32718
31573,7797,32833
31592,7789,32820
31592,7875,32868
31568,7861,32809
31520,7746,32960
31380,7780,32921
31284,7803,32876
31296,7880,32768
31372,7807,32785
31452,7830,32791
31600,7863,32817
31728,7769,32828
31822,7772,32826
31829,7857,32853
31833,7755,32975
31752,7771,32996
31600,7793,32992
31532,7900,32758
31544,7807,32895
31578,7816,32889
31649,7903,32960
31789,7801,32856
31893,7845,32978
31992,7741,33031
31966,7764,32984
31796,7882,33005
31668,7804,33032
31584,7883,33223
31460,7793,33054
31446,7809,32948
31512,7908,32962
31664,7772,33105
31876,7791,33124
31990,7736,33127
31884,7758,33116
31832,7915,33127
31776,7803,33139
31640,7852,33120
31460,7800,32840
31432,7804,32997
31536,7807,33054
31764,7897,33087
31952,7774,33120
32032,7809,33119
32092,7740,33220
32208,7783,33236
32214,7872,33164
32068,7800,33093
31980,7820,33078
32080,7790,33071
32300,7802,33120
32541,7839,33151
32740,7744,33180
32877,7765,33230
32892,7828,33279
32872,7750,33228
32824,7793,33092
32708,7793,33212
32632,7823,33037
32608,7868,33160
32614,7889,33088
32694,7748,33303
32836,7774,33181
32896,7834,33141
32912,7756,33201
32916,7827,33213
32900,7762,33188
32848,7815,33092
32877,7878,33142
33055,7790,33159
33184,7812,33185
33264,7749,33192
33288,7760,33181
33325,7887,33218
33232,7765,33233
33156,7845,33255
33084,7756,33237
33080,7793,32944
33076,7880,33118
33016,7783,33196
33000,7794,33194
33152,7865,33250
32994,7767,33207
32880,7745,33221
32876,7743,33434
32704,7769,33422
32644,7882,33271
32588,7799,33195
32644,7841,33287
32874,7778,33332
33096,7765,33112
33168,7773,33468
33313,7754,33236
33476,7808,33381
33458,7857,33169
33320,7754,33188
33176,7860,33300
33056,7782,33404
32960,7807,33490
32928,7886,33386
32928,7753,33319
32860,7769,33336
32844,7841,33381
32953,7723,33383
33236,7756,33312
33381,7779,33420
33274,7863,33508
33196,7773,33296
33158,7787,33401
33132,7788,33082
33132,7854,33311
33192,7743,33472
33332,7756,33375
33460,7737,33414
33400,7805,33334
33260,7725,33548
33152,7770,33444
32973,7874,33336
32791,7785,33424
32796,7841,33447
32792,7751,33444
32879,7754,33268
32929,7819,33497
33053,7716,33390
33056,7748,33447
33029,7772,33194
33064,7859,33485
33152,7758,33472
32996,7797,33480
33020,7827,33503
33048,7754,33258
33158,7768,33513
33260,7775,33365
33336,7811,33508
33432,7714,33472
33380,7733,33573
33205,7768,33502
33060,7866,33559
33020,7770,33572
33090,7780,33570
33216,7898,33277
33308,7760,33286
33428,7789,33531
33476,7717,33735
33364,7746,33596
33257,7772,33628
33172,7870,33652
33044,7764,33631
32960,7792,33823
33024,7836,33636
33112,7752,33671
33216,7764,33721
33372,7780,33737
33452,7827,33436
33400,7710,33809
33184,7740,33669
33012,7762,33799
32816,7779,33512
32656,7813,33770
32720,7831,33944
32940,7856,33809
33085,7736,33873
33242,7719,33613
33320,7739,33816
33220,7752,34049
33152,7816,33860
32920,7741,33936
32628,7756,33746
32450,7789,33999
32616,7783,34022
32800,7831,33927
32932,7731,33981
33026,7750,34001
33172,7816,33671
33180,7730,33878
33096,7750,34055
33028,7848,34086
32936,7756,34005
32796,7793,34062
32697,7780,34005
32748,7841,34005
32736,7731,34090
32804,7703,33920
33024,7732,34053
33104,7798,34180
33148,7726,34151
33180,7759,34073
33196,7777,34148
33196,7842,33984
33232,7879,34254
33260,7746,34192
33296,7756,34032
33240,7714,34144
33184,7726,34215
33144,7736,33936
33092,7790,34213
33157,7877,34345
33188,7767,34370
33182,7798,34321
33220,7886,34141
33263,7775,34183
33316,7761,34304
33392,7711,34031
33372,7704,34239
33222,7727,34358
33052,7845,34460
32871,7739,34264
32692,7770,34308
32532,7872,34351
32504,7772,34151
32545,7809,34078
32574,7728,34222
32648,7726,34552
32672,7735,34326
32697,7703,34393
32712,7734,34453
32713,7832,34350
32676,7753,34553
32624,7789,34473
32767,7875,34420
32932,7749,34499
33040,7807,34205
32944,7717,34492
32796,7732,34612
32764,7730,34503
32900,7827,34494
33092,7741,34332
33188,7776,34640
33224,7838,34439
33384,7755,34572
33516,7751,34540
33492,7751,34713
33356,7797,34460
33196,7697,34565
33024,7705,34535
32852,7741,34737
32692,7770,34564
32612,7781,34629
32644,7859,34564
32774,7942,34671
32972,7747,34634
33080,7751,34308
33180,7758,34719
33212,7699,34796
33220,7735,34549
33175,7761,34665
33074,7869,34347
32928,7757,34662
32829,7780,34836
32696,7839,34711
32704,7735,34592
32848,7753,34716
32992,7797,34716
33140,7701,34655
