ECG,EDA,RR
30300,26644,32106
30365,26639,32101
30356,26628,32026
30333,26597,32178
30336,26580,32114
30320,26574,32200
30304,26575,32028
30300,26596,32000
30288,26610,32150
30277,26631,32031
30276,26641,32113
30297,26631,31956
30332,26628,32079
30440,26614,32012
30552,26596,32065
30544,26587,31901
30522,26583,31888
30392,26596,32020
30272,26615,31980
30268,26642,31905
30336,26655,31964
30416,26661,31916
30496,26638,31811
30536,26622,31950
30572,26604,31882
30584,26578,31940
30548,26588,31823
30505,26606,31926
30492,26631,31874
30516,26652,31924
30476,26663,31748
30473,26651,31772
30520,26644,31905
30568,26631,31828
30620,26612,31807
30628,26596,31746
30628,26603,31889
30648,26615,31785
30608,26612,31717
30560,26655,31825
30484,26647,31868
30368,26660,31684
30445,26650,31686
30564,26636,31807
30657,26612,31769
30756,26598,31749
30756,26602,31794
30778,26613,31703
30776,26631,31607
30720,26652,31741
30680,26663,31775
30733,26667,31600
30756,26661,31684
30780,26633,31740
30856,26617,31549
30945,26607,31700
30912,26609,31604
30868,26620,31593
30820,26631,31524
30813,26660,31586
30824,26666,31646
30840,26677,31461
30888,26661,31607
30956,26645,31508
31064,26620,31604
31176,26612,31431
31133,26612,31408
31044,26624,31423
30976,26645,31528
30948,26668,31431
30958,26668,31535
31012,26665,31399
31120,26655,31364
31308,26646,31472
31418,26624,31420
31478,26610,31383
31464,26616,31302
31364,26631,31437
31276,26647,31412
31296,26673,31340
31328,26680,31276
31380,26675,31408
31412,26661,31396
31432,26645,31335
31412,26631,31421
31412,26619,31252
31376,26609,31260
31364,26629,31401
31354,26647,31386
31384,26665,31336
31432,26676,31354
31540,26680,31412
31544,26669,31252
31572,26657,31402
31628,26627,31362
31708,26616,31412
31744,26618,31328
31768,26638,31264
31765,26653,31406
31624,26668,31406
31460,26686,31268
31508,26687,31412
31592,26673,31332
31700,26653,31441
31848,26631,31272
31949,26621,31290
31976,26622,31401
32032,26639,31396
32064,26661,31440
32100,26680,31297
32016,26694,31455
32000,26686,31428
32078,26673,31420
32193,26662,31324
32312,26636,31316
32352,26631,31461
32308,26631,31425
32269,26650,31490
32192,26659,31316
32092,26677,31357
32024,26689,31439
32025,26689,31396
32060,26683,31429
32078,26661,31317
32140,26645,31448
32232,26631,31461
32284,26631,31322
32252,26649,31381
32140,26660,31374
32060,26688,31335
32064,26706,31448
32012,26704,31505
32036,26688,31337
32149,26671,31386
32208,26651,31408
32256,26638,31504
32260,26644,31352
32192,26661,31474
32100,26672,31520
32032,26696,31358
32025,26714,31389
32072,26715,31524
32148,26697,31500
32165,26679,31508
32128,26640,31397
32085,26644,31563
32104,26652,31541
32168,26663,31502
32232,26685,31521
32260,26705,31444
32200,26719,31508
32196,26717,31604
32296,26701,31525
32352,26690,31469
32312,26669,31513
32280,26661,31600
32284,26660,31640
32240,26673,31541
32192,26688,31523
32156,26709,31670
32108,26729,31589
32056,26725,31704
32076,26710,31718
32200,26695,31580
32352,26672,31614
32477,26663,31751
32528,26668,31748
32484,26679,31651
32485,26701,31660
32560,26724,31796
32600,26740,31732
32712,26732,31714
32776,26727,31711
32869,26716,31849
32917,26687,31789
32968,26669,31839
32940,26680,31884
32812,26692,31772
32712,26716,31936
32636,26729,31879
32616,26747,31956
32668,26748,31855
32842,26732,31840
32941,26719,31996
32992,26701,31926
32900,26681,32043
32804,26691,31893
32748,26701,32052
32652,26717,32019
32596,26749,32079
32556,26759,32036
32568,26758,31941
32596,26741,32095
32625,26724,32029
32620,26695,32142
32596,26693,31973
32576,26702,32135
32656,26721,32054
32784,26732,32167
32884,26750,32172
32968,26772,32175
33113,26765,32161
33184,26758,32151
33265,26740,32041
33277,26717,32205
33232,26712,32116
33166,26703,32222
33061,26733,32239
33006,26750,32085
32976,26760,32084
32976,26775,32109
33048,26779,32111
33048,26765,32144
33088,26749,32285
33093,26734,32276
33068,26724,32221
33001,26734,32351
32892,26745,32230
32876,26757,32180
32809,26788,32187
32768,26796,32359
32864,26794,32349
32996,26781,32295
33140,26764,32390
33308,26744,32317
33428,26735,32245
33488,26741,32423
33440,26765,32392
33412,26770,32339
33532,26796,32452
33616,26815,32405
33692,26812,32336
33736,26799,32327
33802,26784,32488
33856,26766,32428
33868,26753,32501
33804,26758,32366
33628,26772,32519
33506,26790,32525
33532,26820,32489
33569,26828,32399
33708,26827,32558
33780,26808,32503
33861,26801,32480
33912,26769,32590
33925,26765,32436
33832,26767,32468
33752,26782,32605
33760,26807,32580
33776,26824,32471
33728,26840,32516
33664,26843,32623
33648,26820,32597
33780,26811,32600
33956,26793,32679
34044,26789,32556
34040,26780,32507
34096,26801,32524
34137,26823,32677
34088,26844,32676
33984,26863,32588
33952,26859,32700
33900,26840,32647
33820,26820,32556
33729,26814,32556
33737,26796,32549
33732,26799,32712
33751,26818,32685
33688,26837,32624
33788,26859,32639
33848,26871,32645
33976,26875,32565
34116,26861,32724
34242,26841,32717
34268,26825,32663
34232,26820,32671
34156,26821,32700
33952,26838,32572
33688,26857,32717
33396,26876,32647
33216,26887,32732
33148,26895,32756
33100,26880,32599
33104,26856,32584
33082,26855,32588
33156,26837,32737
33164,26837,32709
33272,26854,32668
33492,26873,32758
33892,26897,32660
34552,26905,32598
35484,26907,32759
36576,26887,32712
37982,26862,32703
39388,26885,32612
40364,26856,32766
41140,26853,32676
41380,26855,32769
41060,26880,32599
40616,26887,32689
40208,26901,32740
39848,26893,32775
39456,26887,32632
38972,26912,32612
38252,26874,32744
37328,26853,32660
36336,26861,32714
35540,26865,32780
35008,26899,32628
34668,26920,32748
34492,26934,32677
34436,26929,32772
34329,26919,32696
34208,26896,32590
34008,26885,32717
33814,26871,32641
33600,26879,32751
33432,26898,32610
33276,26917,32609
33053,26945,32732
32968,26960,32637
32964,26963,32703
33022,26946,32580
33096,26937,32725
33112,26919,32649
33092,26911,32736
33061,26916,32581
33072,26937,32713
33068,26948,32692
33151,26977,32613
33172,26983,32730
33224,26987,32569
33228,26980,32540
33240,26964,32711
33316,26946,32667
33340,26945,32711
33348,26951,32540
33344,26941,32699
33320,26983,32692
33349,27012,32588
33292,27027,32692
33248,27023,32701
33145,27015,32562
33076,26997,32548
33008,26975,32709
32992,26966,32708
33054,26981,32665
33084,26991,32589
33098,27015,32638
33144,27044,32742
33216,27058,32688
33292,27046,32741
33308,27044,32617
33340,27036,32604
33384,27010,32607
33360,27005,32775
33344,27012,32675
33156,27031,32690
33080,27048,32754
33216,27076,32629
33324,27100,32588
33481,27092,32596
33644,27081,32750
33588,27069,32684
33638,27047,32680
33696,27045,32570
33664,27045,32548
33504,27067,32680
33332,27092,32598
33162,27117,32697
33117,27129,32589
33172,27130,32503
33216,27119,32653
33264,27105,32606
33240,27091,32609
33252,27077,32560
33218,27087,32636
33142,27106,32541
33124,27130,32511
33156,27156,32639
33188,27164,32560
33244,27167,32526
33321,27156,32500
33324,27143,32584
33320,27121,32660
33310,27119,32471
33249,27117,32581
33164,27136,32654
33092,27172,32460
33080,27196,32615
33117,27203,32533
33200,27207,32453
33260,27186,32596
33280,27180,32613
33256,27162,32429
33324,27156,32548
33336,27159,32581
33238,27180,32404
33060,27205,32547
32972,27229,32479
32952,27247,32464
33024,27249,32516
33172,27236,32461
33252,27223,32437
33300,27205,32496
33372,27204,32461
33312,27205,32461
33181,27229,32366
33144,27247,32468
33188,27277,32369
33128,27295,32429
33136,27297,32272
33208,27285,32425
33308,27271,32384
33320,27249,32420
33296,27243,32229
33205,27252,32388
33060,27270,32391
32988,27292,32205
32972,27319,32348
32924,27335,32303
32981,27333,32191
33060,27329,32324
33116,27316,32344
33172,27303,32156
33312,27295,32276
33344,27301,32304
33320,27319,32148
33348,27340,32203
33388,27364,32167
33342,27383,32292
33469,27381,32205
33568,27377,32308
33632,27361,32132
33718,27345,32292
33824,27337,32237
33864,27345,32206
33849,27364,32141
33812,27383,32301
33780,27417,32296
33724,27432,32284
33716,27437,32244
33732,27428,32181
33772,27413,32334
33748,27397,32332
33679,27388,32300
33620,27396,32366
33544,27418,32200
33464,27442,32364
33456,27466,32353
33392,27489,32345
33452,27482,32288
33644,27478,32240
33772,27468,32401
33732,27453,32365
33632,27444,32424
33576,27448,32391
33540,27469,32281
33564,27495,32447
33616,27516,32423
33676,27540,32361
33856,27535,32405
33988,27529,32485
34088,27527,32376
34148,27500,32330
34105,27500,32340
33976,27508,32517
33729,27527,32503
33632,27550,32446
33588,27580,32543
33532,27600,32373
33644,27597,32396
33736,27591,32547
33829,27574,32532
34058,27564,32468
34113,27561,32589
34050,27564,32492
33984,27586,32432
33892,27617,32588
33765,27639,32530
33728,27655,32599
33767,27655,32473
33828,27649,32626
33872,27640,32556
33904,27623,32508
33896,27615,32676
33816,27621,32701
33772,27652,32548
33704,27683,32718
33700,27706,32676
33700,27710,32767
33732,27718,32639
33828,27710,32640
33813,27697,32796
33772,27683,32775
33788,27679,32837
33722,27692,32788
33620,27710,32727
33508,27735,32892
33532,27754,32829
33584,27772,32929
33622,27783,32798
33644,27776,32852
33724,27761,32974
33772,27748,32964
33824,27741,33018
33880,27738,32908
33904,27772,32925
33902,27793,33096
33924,27823,33057
33752,27841,33057
33716,27838,32996
33812,27831,33152
33924,27820,33100
34004,27797,33229
34012,27797,33088
33944,27808,33254
33872,27834,33262
33720,27853,33212
33612,27872,33328
33484,27898,33191
33532,27901,33189
33620,27886,33383
33640,27880,33357
33692,27864,33439
33720,27857,33277
33712,27872,33430
33700,27902,33364
33610,27925,33491
33460,27951,33340
33288,27963,33508
33304,27962,33525
33452,27959,33518
33604,27942,33471
33700,27928,33594
33860,27932,33458
33976,27928,33461
34073,27960,33605
34108,27991,33645
33973,28012,33508
33860,28031,33668
33904,28028,33629
33952,28020,33668
33983,28004,33665
33972,27996,33571
33912,27993,33594
33844,28007,33756
33772,28026,33676
33660,28055,33756
33596,28069,33642
33524,28084,33821
33632,28095,33799
33768,28093,33746
33860,28073,33875
33848,28060,33711
33844,28053,33892
33745,28064,33878
33540,28094,33857
33401,28112,33924
33386,28137,33885
33344,28153,33781
33372,28167,33957
33428,28149,33864
33484,28135,33977
33576,28132,33844
33588,28115,34008
33612,28129,33949
33536,28148,34015
33464,28181,33894
33398,28200,34063
33372,28229,34032
33488,28229,34105
33588,28216,33929
33648,28201,34095
33636,28188,34081
33612,28185,34055
33569,28196,34153
33472,28213,34028
33444,28230,34153
33477,28266,34098
33540,28285,34205
33604,28287,34052
33700,28277,34113
33660,28269,34164
33580,28251,34252
33540,28242,34084
33384,28256,34247
33304,28273,34180
33260,28305,34295
33308,28333,34137
33300,28351,34292
33268,28321,34199
33216,28340,34333
33201,28328,34328
33256,28324,34229
33348,28308,34188
33400,28325,34188
33408,28343,34183
33412,28367,34361
33328,28396,34273
33220,28409,34295
33301,28416,34367
33364,28399,34234
33415,28391,34225
33404,28375,34373
33393,28376,34324
33349,28388,34423
33232,28414,34242
33116,28436,34241
33060,28453,34420
33072,28477,34384
33202,28483,34328
33328,28471,34460
33372,28457,34284
33400,28438,34439
33315,28436,34437
33260,28452,34341
33276,28466,34466
33432,28484,34423
33592,28519,34340
33660,28548,34318
33824,28533,34303
33948,28527,34457
33976,28518,34452
33888,28505,34432
33794,28501,34352
33712,28505,34493
33628,28528,34332
33564,28550,34456
33532,28575,34385
33516,28593,34470
33616,28596,34320
33748,28575,34296
33856,28569,34471
33780,28559,34399
33640,28548,34505
33500,28556,34332
33348,28573,34480
33156,28596,34392
33000,28635,34471
32968,28645,34495
33112,28635,34428
33288,28634,34335
33445,28621,34311
33580,28607,34476
33552,28596,34453
33416,28615,34447
33320,28631,34373
33286,28649,34502
33344,28679,34508
33389,28708,34430
33428,28693,34380
33516,28687,34298
33588,28668,34478
33636,28663,34468
33656,28658,34412
33600,28675,34374
33388,28679,34473
33152,28714,34501
32925,28741,34405
32708,28761,34334
32600,28751,34309
32600,28756,34479
32560,28732,34481
32480,28724,34456
32352,28724,34400
32324,28731,34451
32456,28747,34500
32652,28767,34516
32848,28798,34362
33145,28810,34333
33620,28812,34333
34208,28792,34341
34885,28789,34469
35776,28773,34512
36900,28773,34325
38184,28773,34478
39276,28794,34452
40140,28807,34372
40604,28853,34479
40408,28871,34352
39908,28860,34272
39505,28839,34431
39008,28834,34342
38460,28812,34450
37796,28796,34259
36888,28782,34237
35848,28839,34381
34840,28860,34376
33960,28879,34335
33520,28900,34393
33352,28899,34236
33344,28893,34349
33336,28872,34300
33316,28847,34328
33356,28839,34207
33244,28860,34156
32976,28884,34322
32760,28911,34240
32716,28935,34217
32608,28949,34311
32544,28943,34166
32416,28935,34268
32272,28919,34196
32169,28901,34231
32144,28905,34080
32168,28910,34183
32236,28943,34230
32260,28968,34055
32257,28998,34183
32252,29009,34106
32277,29021,34225
32328,29006,34038
32325,28993,34161
32376,28964,34125
32472,28975,34124
32504,28975,33974
32484,28999,34092
32488,29031,34127
32513,29052,33948
32540,29075,34084
32600,29063,34023
32648,29061,33984
32705,29057,33956
32732,29031,34029
32706,29018,34037
32608,29038,33952
32486,29063,34033
32412,29092,33943
32352,29115,34044
32256,29122,33880
32168,29119,34023
32213,29111,33988
32276,29101,33909
32396,29084,33919
32560,29072,34007
32652,29085,34023
32584,29115,33844
32472,29136,33980
32396,29157,33884
32238,29181,33936
32304,29180,33794
32504,29172,33934
32720,29157,33885
32868,29134,33841
32933,29130,33865
