ECG,EDA,RR
31725,17354,34269
31744,17434,34021
31864,17425,34180
31948,17382,34276
32120,17356,34229
32245,17421,34250
32277,17379,34183
32148,17345,34395
31852,17364,34164
31524,17370,34272
31364,17460,34183
31413,17439,34184
31657,17424,34261
32040,17398,34183
32416,17387,34365
32552,17429,34220
32597,17373,34234
32584,17457,34274
32440,17425,34282
32317,17415,34164
32160,17441,34276
32048,17452,34289
32136,17437,34262
32310,17477,34205
32352,17443,34380
32288,17421,34264
32234,17469,34159
32152,17453,34325
32144,17433,34173
32136,17458,34311
32040,17462,34248
31972,17528,34212
31952,17503,34055
31968,17475,34398
32172,17503,34306
32336,17474,34082
32460,17447,34252
32512,17508,34301
32449,17472,34362
32360,17486,34266
32288,17499,34468
32236,17559,34371
32260,17546,34266
32268,17521,34489
32302,17567,34380
32268,17514,34333
32228,17561,34323
32194,17521,34122
32132,17519,34420
31996,17591,34376
31852,17569,34191
31750,17575,34526
31772,17571,34377
31924,17623,34286
32080,17582,34519
32164,17564,34368
32216,17538,34237
32256,17542,34524
32204,17621,34354
32144,17625,34409
32084,17634,34246
32020,17637,34429
32044,17638,34508
32180,17627,34389
32256,17604,34157
32352,17677,34431
32480,17641,34348
32456,17633,34375
32340,17610,34152
32285,17632,34372
32261,17645,34300
32252,17699,34287
32368,17687,34450
32496,17684,34382
32640,17652,34436
32772,17711,34343
32812,17652,34537
32741,17651,34375
32560,17730,34175
32352,17709,34468
32120,17708,34311
31872,17729,34433
31800,17721,34228
31820,17714,34373
32024,17761,34553
32236,17711,34341
32420,17703,34432
32548,17694,34453
32638,17708,34244
32696,17795,34481
32704,17777,34396
32600,17777,34452
32564,17789,34367
32544,17781,34551
32520,17764,34436
32556,17836,34364
32584,17786,34412
32580,17759,34453
32524,17772,34468
32525,17781,34335
32524,17864,34464
32452,17867,34369
32402,17860,34533
32382,17848,34422
32480,17820,34183
32620,17863,34551
32858,17810,34380
32877,17817,34444
32745,17825,34439
32608,17903,34408
32516,17907,34438
32448,17907,34360
32385,17892,34420
32374,17956,34444
32336,17921,34358
32252,17881,34527
32156,17888,34435
31925,17870,34433
31622,17889,34222
31329,17964,34452
31164,17948,34328
31100,17967,34401
31124,17956,34396
31276,18012,34452
31552,17969,34415
31936,17943,34509
32524,17989,34421
33232,17946,34411
34184,17948,34311
35612,17963,34398
37388,18042,34444
38764,18029,34348
39836,18018,34167
40364,18006,34345
40448,18102,34271
40308,18052,34393
39992,17993,34356
39492,17997,34292
38976,17997,34381
38404,18133,34282
37584,18065,34262
36452,18071,34378
35340,18087,34167
34512,18076,34396
33996,18054,34271
33620,18114,34109
33384,18069,34453
33220,18063,34342
32968,18060,34260
32688,18133,34221
32452,18132,34092
32237,18137,34390
32072,18209,34328
32000,18164,34222
31936,18151,34361
31832,18131,34344
31797,18122,34276
31765,18180,34207
31672,18159,34058
31580,18170,34391
31556,18188,34209
31520,18264,34087
31465,18245,34361
31388,18223,34295
31360,18278,34183
31416,18268,34368
31492,18228,34272
31510,18221,34172
31404,18232,34173
31304,18296,34268
31276,18280,34253
31308,18303,34230
31392,18308,34247
31492,18303,34117
31540,18332,34221
31536,18311,34249
31540,18292,34244
31520,18346,34249
31508,18334,34232
31425,18338,34240
31328,18356,34311
31269,18421,34258
31364,18404,34250
31540,18445,34278
31768,18402,34191
31932,18375,34255
32000,18385,34374
31984,18378,34296
