ECG,EDA,RR
32760,11447,37113
32832,11486,37271
32901,11450,37276
32946,11495,37199
33036,11532,36921
33148,11470,37127
33212,11458,37108
33184,11466,37141
33183,11458,37080
33121,11411,37088
32968,11413,37279
32892,11463,37265
32804,11475,37076
32776,11550,37017
32776,11476,37027
32762,11485,37103
32774,11475,37032
32760,11510,37177
32772,11416,37296
32752,11440,37242
32816,11475,37180
32852,11442,36900
32832,11489,37196
32920,11524,36845
33014,11565,36956
32988,11490,36867
32848,11524,37231
32788,11454,37142
32748,11412,37316
32682,11462,37189
32617,11438,37289
32617,11424,37225
32580,11442,37298
32652,11503,37253
32756,11473,37157
32868,11491,37423
33036,11445,37255
33196,11456,37294
33272,11462,37328
33284,11421,37344
33296,11454,37328
33284,11424,37337
33356,11463,37231
33348,11497,37237
33296,11473,37332
33152,11488,37426
33032,11507,37396
32904,11424,37143
32928,11431,37245
32872,11419,36985
32749,11402,37348
32668,11433,37326
32698,11437,37196
32752,11477,37492
32828,11579,37382
32860,11468,37321
33012,11499,37188
33124,11421,37338
33136,11428,37343
33052,11444,37312
33012,11395,37255
33020,11415,37241
32984,11441,37332
32958,11498,37412
32960,11461,37500
32855,11481,37472
32761,11437,37383
32748,11433,37016
32688,11395,37379
32652,11416,37375
32596,11465,37328
32632,11406,37383
32732,11452,37326
32764,11565,37369
32772,11464,37500
32805,11460,37457
32828,11482,37476
32777,11476,37526
32736,11392,37295
32704,11407,37328
32706,11389,37200
32720,11418,37389
32728,11505,37399
32720,11471,37272
32696,11508,37260
32752,11457,37503
32812,11469,37455
32781,11434,37301
32716,11488,37221
32724,11381,37196
32744,11397,37188
32744,11433,37258
32765,11520,37252
32776,11447,37159
32762,11462,37156
32712,11507,37301
32692,11425,37383
32712,11425,37344
32724,11438,37295
32768,11374,37221
32724,11398,37159
32720,11453,37175
32748,11501,37260
32757,11486,37169
32760,11440,37165
32665,11460,37081
32520,11484,37032
32472,11405,36969
32476,11408,37037
32432,11417,37039
32380,11382,36935
32394,11439,36943
32572,11406,37116
32680,11477,37100
32760,11461,36944
32774,11522,36995
32808,11439,36945
32696,11399,36983
32504,11380,36808
32501,11390,37047
32596,11374,36951
32680,11421,36671
32720,11459,36893
32748,11430,36849
32708,11459,36786
32620,11484,36962
32466,11418,36785
32364,11430,36448
32356,11464,36807
32412,11363,36788
32476,11384,36766
32572,11404,36685
32656,11477,36656
32676,11428,36823
32704,11469,36765
32688,11429,36628
32644,11430,36421
32584,11413,36585
32572,11409,36540
32652,11420,36575
32720,11371,36613
32864,11385,36649
32920,11416,36615
32976,11439,36607
32910,11479,36547
32821,11426,36557
32704,11418,36546
32704,11405,36560
32660,11412,36504
32728,11421,36543
32748,11364,36437
32829,11400,36508
32848,11449,36391
32816,11417,36380
32748,11435,36372
32620,11433,36362
32528,11435,36319
32457,11387,36397
32466,11363,36388
32464,11365,36060
32480,11379,36340
32528,11436,35987
32620,11388,36035
32664,11413,36308
32660,11423,36389
32604,11428,36359
32560,11461,36252
32496,11387,36318
32452,11360,36356
32436,11346,36196
32394,11372,36130
32430,11383,36225
32456,11421,36205
32480,11399,36175
32552,11413,35940
32630,11434,35820
32678,11442,35825
32696,11429,36012
32704,11340,36052
32652,11360,36000
32620,11375,35974
32644,11352,36015
32660,11366,36018
32656,11419,36004
32596,11443,35980
32508,11460,36045
32496,11372,36069
32495,11372,36032
32456,11365,35932
32412,11451,35912
32540,11327,35932
32692,11359,35888
32788,11429,35876
32820,11381,35863
32780,11412,35589
32776,11451,35603
32797,11369,35560
32716,11351,35561
32668,11360,35679
32637,11356,35678
32644,11435,35688
32608,11345,35553
32560,11391,35687
32493,11376,35648
32612,11400,35788
32620,11488,35468
32596,11365,35776
32556,11361,35764
32496,11344,35764
32444,11386,35772
32472,11326,35576
32532,11341,35687
32622,11373,35660
32708,11476,35671
32805,11407,35661
32904,11402,35749
32870,11440,35794
32812,11357,35684
32752,11344,35684
32574,11343,35800
32485,11342,35641
32524,11343,35602
32593,11382,35838
32648,11388,35715
32692,11419,35665
32669,11383,35463
32552,11393,35352
32464,11356,35687
32416,11351,35665
32335,11363,35654
32404,11398,35317
32420,11463,35581
32408,11363,35689
32535,11389,35753
32640,11413,35758
32676,11463,35745
32760,11377,35735
32808,11363,35492
32705,11356,35557
32644,11364,35591
32576,11367,35609
32596,11415,35604
32672,11475,35277
32797,11397,35577
32914,11421,35559
32876,11428,35467
32812,11387,35479
32684,11378,35463
32620,11388,35369
32616,11409,35448
32653,11341,35410
32740,11382,35505
32789,11417,35522
32792,11399,35502
32764,11405,35494
32712,11431,35503
32676,11447,35463
32656,11384,35362
32668,11389,35477
32640,11412,35335
32574,11353,35372
32576,11374,35300
32604,11433,35283
32696,11403,35407
32752,11432,35303
32734,11478,35324
32716,11394,35357
32749,11424,35247
32798,11402,35308
32789,11340,35268
32729,11375,35297
32706,11387,35324
32676,11495,35316
32712,11431,35264
32748,11467,35246
32742,11407,35168
32812,11408,35332
32748,11443,35407
32720,11348,35375
32800,11346,35389
32940,11380,35320
33045,11382,35107
33054,11420,35079
33036,11458,35150
32900,11466,35132
32660,11417,35047
32512,11429,35047
32480,11433,35077
32497,11364,35129
32536,11362,35257
32572,11387,35161
32656,11374,35020
32700,11415,35063
32764,11429,34763
32776,11559,35007
32728,11445,35149
32692,11479,35068
32576,11398,35124
32432,11370,35108
32360,11382,34993
32324,11383,34936
32336,11424,34801
32433,11407,34817
32462,11428,34877
32500,11464,34799
32564,11492,34789
32628,11419,34859
32752,11420,34903
32876,11440,34884
32984,11369,34943
32964,11382,34916
32900,11422,34837
32796,11487,34779
32692,11433,34708
32664,11466,34716
32594,11506,34599
32524,11429,34748
32414,11449,34735
32376,11453,34618
32352,11381,34695
32420,11385,34832
32525,11418,34755
32504,11489,34695
32549,11440,34587
32669,11476,34682
32708,11483,34709
32713,11502,34652
32732,11428,34815
32676,11428,34818
32592,11439,34770
32632,11396,34695
32716,11413,34545
32788,11446,34364
32805,11503,34679
32789,11542,34682
32805,11458,34629
32880,11460,34519
32925,11454,34588
32928,11483,34653
32884,11404,34708
32900,11442,34740
32828,11423,34583
32716,11437,34662
32692,11479,34581
32768,11543,34447
32845,11474,34415
32774,11472,34652
32676,11496,34684
32652,11424,34695
32645,11432,34699
32744,11474,34679
32932,11431,34687
33216,11469,34847
33412,11541,34771
33504,11509,34495
33560,11505,34463
33360,11534,34799
33121,11461,34732
32873,11465,34786
32592,11489,34953
32109,11439,34766
31540,11471,34541
30984,11480,34874
30508,11532,34736
30044,11629,35022
29728,11541,34937
29800,11548,34825
29985,11488,34832
30212,11477,34652
30348,11508,34932
30580,11467,34854
31018,11464,35064
31540,11516,35012
31892,11511,34865
32224,11556,34950
32496,11650,34964
32676,11535,34975
32821,11563,34852
32926,11491,35087
32929,11511,35072
32932,11468,35092
32988,11505,34981
33100,11500,34884
33268,11537,34780
33348,11555,34951
33348,11532,34932
33268,11549,34908
33208,11502,34784
33136,11504,34909
33124,11527,34852
33152,11610,34737
33166,11500,34992
33152,11529,35001
33108,11589,34909
33156,11676,34988
33124,11552,34959
32993,11560,34984
32858,11562,34928
32808,11545,34959
32836,11487,34926
32904,11527,34788
33018,11577,34765
33116,11550,34572
33234,11548,34780
33360,11575,34952
33472,11618,34973
33404,11546,34959
33152,11548,34975
32948,11503,34885
32754,11521,34860
32632,11567,34823
32636,11522,34985
32692,11589,34941
32780,11562,34848
32884,11620,34823
32960,11654,34957
33064,11557,34903
33128,11555,34908
33150,11576,34887
33120,11507,34844
33113,11522,34812
33068,11590,34751
33050,11546,34581
32992,11588,34492
33004,11616,34791
32908,11653,34756
32917,11597,34765
32936,11595,34749
32952,11529,34663
32908,11524,34657
32976,11548,34589
33144,11615,34645
33292,11556,34703
33364,11600,34766
33424,11595,34713
33406,11615,34711
33265,11619,34701
33076,11582,34673
32876,11547,34647
32808,11537,34429
32772,11576,34540
32824,11556,34645
32933,11604,34445
32989,11690,34469
33088,11623,34439
33080,11685,34452
33017,11609,34560
32956,11630,34366
32972,11559,34284
32976,11563,34132
32964,11611,34431
32904,11578,34373
32932,11621,34330
32976,11654,34367
33056,11706,34404
33016,11620,34377
32976,11634,34239
32964,11719,34356
32948,11571,34380
33028,11587,34396
33065,11619,34345
32996,11574,34358
32924,11636,34382
32972,11616,34335
32960,11681,34265
32916,11623,34190
32876,11633,34051
32848,11658,34085
32868,11576,34055
32856,11615,34318
32841,11604,34404
32846,11652,34405
32840,11596,34289
32864,11633,34176
32876,11652,34240
32914,11688,34244
32885,11608,34257
32824,11613,34222
32880,11631,34237
32952,11559,34228
32952,11574,34047
33008,11610,33892
33060,11596,34207
33072,11655,34140
33028,11705,34119
32884,11631,34069
32672,11637,34050
32480,11671,34005
32384,11576,34013
32380,11585,34045
32334,11633,34012
32404,11588,34078
32524,11621,33958
32656,11758,34020
32652,11660,34136
32660,11664,33967
32716,11716,33892
32748,11613,33989
32832,11619,33962
32848,11704,33965
32812,11581,34000
32808,11611,33980
32744,11671,33785
32708,11637,33902
32848,11671,33893
33004,11703,33864
33049,11629,33859
32945,11629,33836
32813,11653,33888
32720,11596,33619
32680,11653,33852
32620,11618,33679
32648,11620,33892
32685,11663,33897
32708,11659,33885
32684,11671,33885
32657,11644,33813
32685,11671,33733
32684,11633,33884
32677,11702,33972
32648,11608,33927
32641,11613,33760
32692,11655,33618
32752,11655,33826
32844,11712,33761
32840,11661,33785
32832,11659,33732
32797,11685,33837
32764,11603,33828
32927,11598,33767
32992,11631,33808
32960,11615,33718
32924,11628,33642
32893,11648,33445
32876,11675,33700
32849,11694,33556
32780,11647,33389
32756,11631,33393
32740,11623,33380
32752,11686,33409
32764,11600,33654
32772,11631,33644
32732,11671,33429
32688,11718,33557
32704,11757,33650
32660,11667,33674
32648,11674,33613
32596,11692,33524
32574,11616,33287
