ECG,EDA,RR
33324,5525,31727
33148,5512,31847
32820,5527,31637
32760,5549,31709
32804,5578,31857
32296,5589,31655
31350,5592,31741
30305,5578,31605
29492,5656,31844
28808,5580,31653
28340,5536,31735
28372,5531,31597
28613,5621,31644
28904,5573,31831
29308,5573,31647
30024,5692,31447
30840,5630,31740
31468,5597,31597
31717,5565,31781
31992,5625,31551
32263,5561,31682
32352,5523,31628
32584,5529,31795
32796,5751,31692
32984,5675,31638
33084,5641,31831
33076,5612,31615
33012,5575,31679
33008,5671,31548
33100,5731,31623
33124,5637,31670
32972,5634,31649
33152,5583,31638
33552,5569,31647
33700,5577,31587
33772,5592,31617
34036,5673,31534
34084,5629,31617
33821,5591,31689
33685,5571,31525
33484,5519,31591
33324,5703,31465
33276,5607,31524
33392,5600,31576
33348,5599,31505
33312,5616,31572
33232,5586,31372
33124,5675,31557
33088,5654,31486
33269,5634,31489
33524,5607,31575
33680,5599,31440
33756,5706,31486
33600,5666,31572
33364,5576,31688
33452,5688,31511
33500,5636,31556
33440,5621,31541
33320,5609,31732
33288,5593,31284
33280,5580,31444
33232,5590,31612
33029,5607,31588
32977,5553,31725
33110,5605,31592
33408,5603,31508
33400,5595,31681
33420,5732,31495
33232,5609,31305
32948,5567,31573
32800,5556,31492
32736,5535,31665
32648,5536,31490
32560,5554,31581
32709,5576,31456
32764,5601,31495
32900,5598,31441
33164,5585,31570
33432,5567,31541
33541,5549,31462
33293,5534,31495
33052,5525,31535
32988,5538,31726
32985,5557,31366
33004,5737,31556
33192,5676,31687
33624,5661,31540
33840,5654,31573
33504,5608,31660
33113,5578,31548
32824,5545,31609
32608,5539,31729
32452,5537,31604
32420,5552,31628
32480,5702,31517
32484,5687,31751
32364,5760,31349
32244,5582,31687
32320,5564,31494
32820,5545,31517
33172,5634,31709
33236,5573,31498
33356,5564,31668
33376,5561,31591
33437,5577,31797
33384,5686,31639
33385,5631,31353
33396,5592,31684
33293,5569,31527
33116,5636,31787
33016,5573,31591
32972,5542,31679
32848,5561,31736
32668,5572,31588
32516,5577,31553
32549,5722,31647
32564,5687,31759
32692,5659,31648
32857,5590,31633
32936,5567,31678
32952,5535,31548
32861,5529,31643
32644,5590,31618
32484,5592,31592
32480,5594,31552
32576,5599,31629
32709,5597,31685
32881,5783,31517
32925,5657,31598
32932,5624,31677
32900,5564,31517
32708,5545,31589
32586,5566,31647
32564,5559,31377
32584,5586,31538
32684,5732,31591
32904,5684,31517
33310,5643,31399
33584,5602,31540
33568,5571,31502
33326,5542,31447
33116,5538,31583
32920,5540,31188
32960,5560,31334
32960,5667,31556
32700,5654,31172
32349,5626,31366
32165,5599,31591
32120,5570,31352
32084,5554,31430
32216,5532,31575
32505,5528,31225
32736,5629,31453
32893,5619,31380
32912,5609,31484
33084,5614,31426
33241,5603,31348
33312,5679,31447
33416,5642,31405
33568,5616,31435
33560,5583,31296
33248,5572,31428
33004,5569,31423
32888,5581,31344
32940,5601,31364
32856,5626,31447
32566,5640,31447
32341,5626,31332
32258,5599,31292
32268,5578,31357
32252,5570,31423
32168,5567,31591
32192,5569,31279
32284,5593,31358
32412,5615,31458
32680,5650,31465
33000,5666,31545
33208,5653,31487
33017,5623,31567
32828,5596,31424
32612,5567,31489
32528,5559,31412
32520,5571,31525
32636,5585,31503
32728,5603,31599
32540,5642,31333
32552,5644,31460
32796,5623,31527
32869,5593,31201
32749,5554,31493
32756,5546,31569
32892,5645,31509
32954,5626,31615
32852,5628,31285
32796,5607,31530
32824,5616,31461
32832,5609,31481
32768,5694,31532
32705,5625,31377
32596,5598,31585
32456,5550,31219
32396,5540,31511
32444,5559,31661
32608,5571,31471
32690,5589,31682
32916,5613,31287
32993,5621,31405
32943,5608,31578
33008,5594,31509
32884,5586,31380
32935,5545,31635
32902,5540,31448
32808,5559,31526
32960,5694,31574
33200,5668,31468
33324,5657,31533
33264,5646,31431
33024,5632,31588
32728,5611,31517
32528,5583,31545
32517,5564,31332
32469,5541,31524
32589,5563,31579
32985,5668,31640
33356,5646,31440
33516,5647,31527
33528,5646,31404
33272,5626,31476
32944,5596,31511
32548,5571,31481
32160,5551,31468
32057,5635,31407
32208,5599,31199
32452,5601,31487
32712,5630,31556
32928,5656,31300
33076,5641,31441
33205,5611,31604
33276,5593,31409
33173,5575,31501
33052,5550,31488
33124,5729,31440
32948,5572,31493
32712,5688,31357
32669,5689,31595
32772,5631,31500
32972,5725,31508
33113,5709,31359
33188,5668,31453
33198,5616,31631
33112,5583,31356
33184,5574,31494
33120,5603,31604
32993,5620,31421
32660,5629,31488
32474,5649,31380
32340,5659,31519
32200,5665,31516
32217,5656,31570
32268,5663,31516
32264,5621,31557
32341,5574,31562
32480,5598,31307
32496,5622,31399
32472,5634,31492
32664,5630,31244
32952,5636,31566
33164,5698,31460
33152,5635,31676
33164,5591,31537
33104,5555,31436
33060,5562,31588
33081,5635,31484
33152,5641,31570
33237,5651,31320
33078,5664,31582
32676,5664,31736
32576,5639,31546
32396,5649,31525
32196,5626,31644
32185,5588,31343
32316,5585,31604
32412,5604,31694
32560,5619,31647
