ECG,EDA,RR
32692,3325,31689
32698,3397,31484
32640,3383,31547
32610,3487,31710
32628,3414,31277
32676,3394,31424
32796,3340,31458
32904,3315,31511
32844,3401,31272
32784,3354,31433
32668,3334,31513
32644,3344,31545
32756,3463,31669
32804,3440,31554
32808,3400,31668
32804,3358,31524
32797,3509,31471
32804,3368,31444
32798,3328,31548
32768,3305,31665
32828,3327,31542
32864,3406,31700
32800,3395,31260
32873,3390,31495
32892,3513,31476
32790,3431,31565
32705,3360,31550
32600,3307,31573
32472,3388,31568
32480,3337,31466
32740,3342,31484
32954,3351,31565
33045,3403,31527
33017,3388,31639
32897,3431,31259
32784,3382,31508
32672,3342,31692
32544,3371,31550
32480,3330,31495
32548,3306,31688
32680,3356,31495
32732,3350,31555
32804,3380,31696
33008,3423,31313
33200,3377,31501
33341,3444,31684
33240,3374,31469
32864,3423,31576
32532,3327,31647
32520,3303,31539
32528,3374,31277
32536,3343,31580
32624,3405,31606
32664,3387,31617
32673,3407,31596
32712,3362,31582
32836,3364,31760
32840,3303,31549
32816,3319,31295
32757,3311,31596
32764,3365,31688
32828,3458,31747
32876,3402,31385
32833,3383,31493
32752,3470,31584
32578,3386,31623
32573,3349,31717
32600,3407,31607
32612,3317,31532
32671,3313,31681
32724,3352,31322
32736,3340,31546
32690,3449,31789
32752,3419,31323
32824,3401,31524
32916,3361,31767
32920,3387,31381
32828,3309,31614
32654,3299,31663
32452,3351,31669
32444,3351,31822
32556,3345,31682
32720,3490,31812
32804,3407,31679
32788,3383,31743
32780,3563,31383
32740,3392,31578
32824,3346,31607
32944,3301,31676
32929,3373,31849
33016,3316,31775
33100,3393,31597
33040,3375,31687
32916,3445,31857
32798,3409,31703
32804,3359,31582
32745,3381,31634
32700,3319,31668
32470,3393,31848
32321,3336,31460
32364,3326,31652
32444,3367,31798
32577,3373,31399
32712,3457,31567
32780,3410,31630
32836,3363,31704
32932,3409,31850
32904,3334,31629
32808,3299,31606
32669,3360,31741
32540,3344,31725
32508,3439,31695
32544,3407,31700
32645,3476,31663
32701,3408,31701
32700,3360,31889
32632,3367,31693
32664,3446,31751
32788,3340,31608
32824,3337,31714
32840,3315,31751
32785,3403,31790
32776,3400,31684
32864,3388,31654
32812,3383,31697
32776,3435,31765
32720,3366,31924
32728,3312,31483
32760,3390,31790
32792,3322,31791
32940,3324,31565
32984,3445,31716
33047,3391,31944
33020,3377,31576
32880,3461,31751
32748,3393,31911
32632,3339,31500
32452,3354,31783
32366,3318,31944
32364,3312,31521
32632,3321,31711
32828,3429,31775
32888,3390,31806
32808,3388,31969
32749,3607,31532
32638,3420,31738
32493,3349,31962
32420,3409,31644
32456,3324,31823
32408,3304,32025
32540,3412,31552
32716,3376,31833
32800,3372,31950
32865,3461,31892
32936,3401,31998
32960,3380,31569
32960,3459,31796
32889,3349,31952
32584,3310,31567
32365,3427,31822
32276,3363,31851
32326,3346,31903
32493,3513,32031
32708,3428,31900
32857,3401,31813
32940,3571,31867
32805,3366,31903
32624,3309,31807
32576,3352,31924
32613,3317,31893
32789,3321,31845
32888,3406,31876
32988,3391,31893
32984,3386,31772
32788,3460,31876
32670,3395,31906
32784,3335,31804
32876,3351,31968
32940,3324,31572
32944,3305,31781
32720,3396,31935
32613,3364,31581
32756,3452,31909
32845,3406,31884
32817,3380,31828
32724,3437,31890
32686,3366,32036
32669,3344,31914
32556,3295,32005
32548,3399,31727
32560,3403,31924
32680,3383,31661
32856,3410,31925
33028,3392,31687
33076,3379,31804
33028,3451,31924
32869,3429,31809
32636,3405,31885
32530,3332,31949
32464,3311,31824
32472,3322,31972
32516,3420,31964
32516,3407,32081
32576,3396,31748
32628,3381,31839
32636,3397,31942
32708,3364,31988
32788,3305,32055
32788,3438,31765
32744,3348,31954
32792,3348,32135
32812,3493,31937
32840,3394,32013
32992,3379,32167
33076,3463,31700
33064,3397,32124
32956,3345,31714
32856,3460,31927
32884,3342,31981
32932,3309,32038
32896,3417,32173
32876,3359,31990
32880,3510,32041
32896,3415,32133
33000,3384,32076
33028,3508,32196
32849,3367,31860
32588,3313,32018
32568,3382,31863
32656,3339,32123
32729,3354,31842
32836,3349,32212
33004,3367,32098
33144,3463,32087
33100,3401,32013
32936,3368,31996
32848,3340,32065
32732,3352,32094
32548,3333,32185
32380,3301,32161
32352,3396,32287
32412,3377,32145
32549,3374,32295
32768,3517,32180
32900,3422,32169
32852,3377,32124
32732,3337,32100
32662,3313,32166
32704,3382,31935
32800,3333,32068
32860,3322,32164
32908,3417,32204
33016,3390,32167
33084,3409,32072
33076,3385,31909
33069,3356,32212
32964,3409,32069
32877,3341,32140
32760,3298,32211
32672,3412,32216
32653,3406,32253
32632,3408,32217
32812,3402,32223
33040,3398,32238
33068,3367,32316
33177,3454,32249
33180,3358,32359
32940,3320,32129
32669,3474,32198
32532,3383,32135
32500,3427,32328
32568,3399,31972
32673,3403,32235
32748,3373,32398
32804,3432,32007
32770,3379,32164
32781,3336,32329
32940,3307,32279
32944,3391,32336
32944,3335,32300
32832,3353,32398
32860,3335,32221
32956,3452,32292
33032,3437,32437
32896,3397,31976
32746,3381,32393
32614,3343,32175
32452,3312,32244
32464,3386,32296
32600,3340,32312
32748,3347,32441
32886,3343,32086
32932,3445,32216
32876,3459,32152
32788,3403,32276
32644,3395,32429
32556,3337,32300
32597,3313,32201
32662,3349,32386
32776,3334,32316
33040,3319,32324
33254,3398,32252
33276,3402,32319
33184,3380,32471
33040,3375,32288
32901,3427,32286
32728,3365,32297
32452,3307,32316
32324,3364,32209
32388,3350,32167
32568,3346,32257
32708,3347,32327
32837,3371,32285
32960,3380,32220
33004,3465,32300
32914,3384,32191
32804,3338,32364
32804,3389,32305
32788,3338,32396
32692,3317,32285
32754,3319,32225
32928,3339,32084
33173,3442,32165
33412,3409,32217
33660,3407,32196
33740,3353,32217
33823,3442,32196
33671,3351,32232
33396,3329,32255
33061,3338,32287
32668,3352,32189
32388,3342,32228
31781,3374,32231
31148,3386,32256
30492,3385,32210
29876,3444,32260
29380,3419,32233
29088,3388,32256
29233,3370,32239
29436,3346,32277
29672,3373,32321
29992,3367,32431
30444,3388,32373
31084,3406,32508
31585,3366,32132
31796,3363,32252
32080,3419,32302
32372,3342,32320
32592,3317,32454
32744,3300,32390
32840,3324,32452
32940,3343,32407
33092,3372,32521
33356,3385,32409
33460,3467,32436
33388,3412,32404
33296,3366,32424
33240,3330,32413
33296,3293,32405
33300,3405,32400
33372,3377,32505
33536,3396,32415
33688,3417,32468
33701,3428,32357
33578,3395,32331
33444,3373,32357
33156,3338,32529
33001,3405,32420
33028,3383,32420
33292,3363,32375
33420,3356,32359
33496,3369,32408
33600,3406,32270
33716,3405,32548
33604,3393,32420
33364,3380,32444
33173,3349,32420
33016,3313,32400
32860,3297,32501
32908,3302,32489
33024,3348,32408
33212,3343,32391
33476,3363,32437
33705,3481,32493
33672,3481,32596
33516,3435,32513
33344,3418,32676
33172,3369,32528
