ECG,EDA,RR
33092,33269,34347
33104,33286,34337
33104,33278,34324
32992,33280,34301
32912,33296,34344
32864,33303,34389
32846,33297,34412
32832,33304,34439
32855,33287,34300
32896,33276,34348
32925,33247,34461
32960,33254,34460
32940,33262,34484
32940,33271,34384
32908,33274,34425
32936,33286,34545
32968,33285,34470
32952,33284,34536
32912,33273,34444
32910,33262,34439
32908,33247,34550
32896,33228,34577
32900,33228,34584
32889,33244,34500
32872,33255,34495
32880,33274,34661
32868,33268,34638
32864,33240,34661
32876,33252,34712
32908,33239,34576
32944,33215,34585
32956,33223,34636
32964,33203,34764
32956,33224,34692
32908,33236,34777
32888,33250,34644
32820,33241,34660
32801,33235,34669
32856,33222,34836
32896,33221,34784
32936,33204,34816
32964,33196,34854
32992,33200,34871
32968,33206,34881
32896,33217,34780
32780,33235,34766
32600,33234,34864
32420,33230,34865
32268,33218,34932
32152,33188,34801
32004,33192,34980
31848,33189,34964
31648,33180,34842
31432,33207,34900
31160,33221,35005
30941,33220,34948
30796,33223,35024
30740,33201,35040
30656,33216,34921
30500,33199,34908
30652,33180,34918
31216,33183,34920
32240,33172,35068
33384,33183,35111
34288,33188,35052
35048,33189,35072
35540,33183,35117
35656,33164,35016
35632,33159,35005
35588,33144,35117
35432,33136,35172
35172,33121,35052
34744,33136,35172
34300,33156,35228
33916,33165,35204
33588,33171,35249
33396,33172,35145
33216,33173,35289
33092,33156,35204
33004,33140,35289
32964,33128,35316
32900,33124,35248
32840,33125,35225
32812,33132,35320
32728,33155,35360
32656,33156,35396
32609,33152,35258
32624,33152,35428
32629,33136,35381
32668,33126,35365
32652,33119,35293
32688,33112,35469
32716,33109,35468
32712,33125,35365
32744,33136,35492
32640,33141,35457
32572,33146,35501
32544,33128,35356
32480,33103,35535
32448,33113,35474
32446,33094,35541
32448,33088,35410
32440,33098,35503
32430,33101,35546
32428,33117,35400
32400,33112,35575
32372,33124,35512
32404,33116,35580
32480,33099,35455
32568,33093,35436
32584,33070,35520
32562,33066,35590
32544,33078,35584
32488,33087,35484
32384,33089,35629
32368,33096,35609
32352,33106,35526
32344,33092,35628
32328,33084,35591
32320,33068,35706
32341,33054,35564
32356,33049,35724
32404,33060,35653
32464,33064,35736
32432,33085,35751
32392,33080,35624
32392,33084,35716
32336,33076,35796
32304,33065,35781
32312,33054,35705
32300,33047,35748
32300,33031,35725
32288,33042,35768
32272,33048,35793
32252,33039,35788
32252,33064,35804
32236,33065,35824
32220,33048,35822
32216,33055,35677
32240,33031,35675
32292,33025,35685
32268,33026,35839
32280,33020,35821
32286,33037,35756
32284,33043,35754
32276,33047,35792
32264,33044,35828
32260,33052,35696
32232,33031,35680
32236,33014,35685
32240,33009,35684
32188,33004,35694
32156,32990,35687
32120,33015,35693
32128,33031,35740
32132,33029,35828
32120,33020,35780
32128,33029,35745
32120,33020,35758
32116,33001,35751
32160,32997,35760
32160,32990,35780
32196,32992,35719
32180,33005,35716
32144,32993,35724
32088,33016,35774
32060,33020,35756
32088,33016,35756
32096,33009,35785
32108,32986,35702
32096,32976,35756
32112,32974,35689
32072,32961,35704
31992,32983,35724
31905,32976,35680
31848,33005,35749
31844,33005,35775
31880,33004,35624
31872,32988,35622
31904,32965,35764
31948,32962,35705
31924,32956,35768
31892,32969,35623
31896,32967,35655
31872,32989,35782
31872,32985,35685
31872,32996,35776
31932,32976,35725
31964,32978,35724
31992,32962,35748
32013,32951,35628
32016,32944,35793
32072,32941,35740
32088,32936,35784
32108,32975,35636
32128,32972,35768
32164,32976,35704
32240,32973,35774
32320,32957,35628
32401,32940,35693
32493,32932,35792
32556,32932,35716
32617,32933,35706
32644,32941,35796
32652,32953,35655
32644,32961,35805
32696,32963,35748
32736,32940,35812
32692,32940,35660
32720,32924,35705
32776,32910,35842
32852,32903,35750
32952,32924,35824
33024,32932,35856
33064,32929,35856
33188,32936,35821
33240,32948,35888
33232,32946,35806
33157,32927,35888
33132,32908,35751
33180,32898,35908
33264,32901,35910
33324,32903,35921
33356,32913,35868
33388,32924,35968
33456,32928,35845
33540,32932,36006
33508,32921,35952
33568,32913,36022
33676,32900,35876
33748,32885,36045
33742,32893,36047
33704,32888,35985
33612,32906,36016
33520,32916,36084
33444,32906,36118
33440,32924,35996
33455,32921,36040
33504,32903,36095
33540,32893,36190
33552,32878,36192
33572,32871,36236
33552,32876,36103
33524,32895,36120
33496,32903,36300
33536,32908,36264
33564,32916,36292
33592,32908,36342
33597,32889,36212
33594,32876,36248
33536,32877,36421
33568,32870,36358
33672,32872,36426
33680,32870,36485
33624,32903,36342
33460,32911,36460
33376,32903,36560
33384,32903,36528
33508,32892,36564
33660,32879,36562
33781,32864,36574
33816,32854,36686
33880,32861,36559
33856,32880,36759
33720,32887,36776
33629,32893,36694
33564,32897,36784
33562,32889,36869
33580,32879,36736
33572,32873,36959
33588,32855,36900
33617,32852,36828
33588,32864,36916
33520,32870,36964
33496,32879,37058
33480,32889,36940
33500,32888,37127
33524,32884,37052
33560,32873,37168
33636,32856,37056
33680,32833,37216
33696,32853,37200
33652,32850,37288
33608,32864,37137
33576,32877,37255
33512,32879,37383
33460,32893,37320
33464,32876,37271
33444,32855,37312
33344,32860,37444
33208,32844,37448
33108,32836,37592
33200,32856,37492
33380,32860,37639
33508,32876,37685
33484,32876,37649
33476,32882,37728
33480,32878,37807
33460,32859,37839
33388,32852,37895
33365,32850,37940
33312,32844,37784
33248,32854,37815
33232,32854,37871
33232,32869,37953
33285,32872,38081
33388,32881,38196
33416,32876,38232
33484,32864,38252
33524,32858,38208
33552,32833,38308
33588,32828,38369
33589,32844,38406
33524,32863,38297
33472,32867,38472
33398,32868,38444
33344,32872,38566
33280,32880,38407
33266,32856,38512
33264,32856,38594
33260,32833,38749
33211,32837,38789
33116,32839,38702
33105,32837,38837
33156,32871,38685
33204,32872,38740
33184,32881,38821
33172,32871,38988
33244,32851,39080
33216,32849,39092
33152,32828,39072
33148,32839,39136
33084,32821,38996
33084,32850,39056
33124,32849,39265
33181,32873,39252
33216,32880,39196
33288,32863,39315
33288,32857,39165
33212,32847,39420
33112,32836,39336
32916,32825,39452
32856,32823,39281
32832,32852,39468
32872,32847,39604
32976,32868,39588
33096,32850,39597
33172,32870,39656
33180,32844,39525
33128,32840,39676
