ECG,EDA,RR
32824,37373,34576
32806,37378,34608
32748,37383,34606
32700,37383,34604
32704,37383,34592
32696,37373,34581
32720,37356,34596
32792,37374,34557
32880,37359,34606
32876,37364,34585
32820,37371,34552
32744,37361,34536
32636,37379,34530
32556,37380,34532
32524,37381,34522
32592,37383,34569
32708,37381,34638
32772,37370,34637
32832,37356,34644
32844,37348,34642
32808,37361,34644
32708,37356,34641
32676,37362,34663
32644,37374,34655
32612,37372,34660
32640,37368,34657
32688,37367,34638
32744,37351,34663
32828,37351,34592
32884,37347,34576
32864,37343,34561
32724,37328,34567
32452,37353,34562
32176,37367,34552
31968,37375,34548
31792,37364,34561
31684,37356,34577
31720,37345,34540
31662,37349,34535
31572,37303,34533
31428,37339,34559
31328,37336,34580
31220,37344,34542
31108,37365,34564
31056,37356,34545
30972,37359,34544
30940,37345,34557
31136,37343,34552
31788,37335,34541
32772,37327,34544
33832,37322,34560
34567,37305,34588
35152,37329,34669
35412,37332,34638
35368,37328,34644
35316,37338,34676
35300,37330,34681
35152,37301,34668
34872,37308,34657
34504,37311,34607
34144,37304,34620
33720,37319,34588
33300,37324,34597
33008,37327,34626
32792,37326,34653
32704,37325,34636
32668,37325,34592
32640,37311,34681
32640,37286,34684
32624,37279,34688
32612,37300,34644
32580,37316,34592
32500,37317,34612
32420,37316,34621
32380,37317,34656
32405,37314,34732
32464,37301,34720
32500,37292,34710
32516,37287,34710
32388,37289,34716
32304,37257,34716
32312,37301,34724
32334,37298,34732
32356,37309,34724
32428,37311,34727
32584,37300,34740
32644,37260,34733
32612,37292,34692
32560,37277,34700
32516,37268,34688
32484,37279,34684
32448,37286,34628
32448,37288,34620
32388,37287,34627
32372,37300,34601
32372,37289,34597
32384,37253,34600
32436,37279,34606
32512,37270,34608
32532,37237,34737
32512,37268,34735
32464,37268,34702
32372,37281,34713
32320,37248,34724
32320,37281,34757
32348,37285,34693
32380,37240,34665
32424,37264,34657
32466,37248,34685
32480,37247,34680
32400,37247,34687
32357,37228,34704
32300,37257,34725
32272,37270,34804
32268,37271,34788
32296,37239,34788
32381,37264,34792
32480,37252,34804
32552,37249,34781
32524,37216,34780
32432,37245,34782
32388,37244,34772
32336,37253,34772
32324,37255,34784
32364,37233,34787
32420,37257,34773
32472,37255,34758
32464,37244,34756
32388,37244,34753
32316,37236,34742
32288,37210,34749
32272,37240,34748
32240,37252,34753
32304,37253,34760
32449,37247,34741
32528,37247,34732
32540,37244,34750
32544,37236,34757
32485,37231,34676
32472,37225,34656
32501,37231,34640
32448,37231,34612
32364,37236,34604
32324,37239,34636
32296,37214,34703
32284,37237,34672
32336,37231,34668
32352,37228,34649
32428,37213,34649
32476,37216,34687
32504,37215,34660
32464,37220,34650
32420,37233,34644
32324,37229,34604
32288,37208,34573
32272,37235,34492
32344,37228,34522
32340,37191,34502
32400,37213,34492
32408,37204,34554
32376,37167,34532
32316,37212,34527
32220,37220,34484
32176,37221,34418
32136,37225,34396
32180,37228,34390
32297,37201,34381
32352,37175,34373
32388,37197,34400
32357,37197,34375
32316,37204,34366
32268,37207,34310
32212,37212,34292
32132,37212,34286
32154,37185,34285
32212,37220,34268
32272,37202,34245
32384,37191,34242
32448,37188,34260
32420,37152,34325
32342,37188,34300
32296,37173,34276
32292,37198,34264
32340,37169,34225
32420,37213,34156
32584,37176,34165
32728,37196,34176
32860,37180,34236
32948,37172,34223
32984,37173,34198
32944,37177,34215
32908,37182,34196
32844,37190,34188
32788,37185,34116
32832,37188,34077
32956,37190,34114
33020,37177,34110
33136,37172,34180
33228,37172,34156
33264,37164,34153
33256,37169,34160
33204,37172,34144
33164,37180,34127
33136,37179,34129
33128,37181,34036
33193,37176,34085
33276,37172,34129
33388,37164,34108
33448,37159,34124
33436,37156,34058
33408,37165,34016
33408,37169,34061
33340,37165,34134
33320,37164,34100
33308,37164,34099
33312,37148,34104
33316,37164,34116
33344,37148,34076
33344,37148,34031
33356,37127,34004
33396,37149,34025
33348,37153,34119
33320,37152,34104
33236,37158,34104
33200,37171,34100
33148,37150,34091
33168,37151,34077
33137,37112,34098
33164,37134,34010
33221,37125,34044
33240,37145,34104
33232,37108,34084
