ECG,EDA,RR
33032,33229,35364
33140,33220,35237
33260,33230,35365
33264,33233,35372
33200,33250,35345
33200,33251,35436
33208,33254,35316
33184,33270,35404
33216,33263,35486
33316,33247,35470
33428,33245,35540
33472,33217,35428
33460,33239,35429
33440,33249,35592
33452,33247,35548
33464,33252,35624
33480,33268,35668
33496,33276,35532
33480,33270,35712
33504,33262,35696
33536,33255,35745
33504,33253,35671
33464,33255,35700
33420,33255,35748
33380,33262,35807
33248,33281,35685
33180,33281,35748
33192,33285,35868
33244,33287,35802
33356,33276,35913
33440,33269,35780
33524,33268,35817
33508,33252,35924
33480,33271,35894
33424,33287,35975
33368,33300,36029
33360,33287,35876
33388,33303,35972
33440,33305,36068
33428,33308,36058
33468,33287,36096
33468,33284,36152
33456,33279,36169
33413,33268,36018
33268,33287,36040
33164,33308,36148
33180,33320,36153
33244,33329,36218
33360,33328,36276
33421,33318,36300
33401,33315,36164
33408,33311,36220
33364,33310,36376
33312,33313,36312
33304,33324,36404
33192,33338,36280
33100,33343,36457
33060,33345,36412
33100,33343,36465
33192,33336,36529
33296,33327,36400
33328,33334,36410
33344,33336,36430
33332,33333,36469
33301,33351,36486
33260,33364,36630
33173,33364,36681
33044,33364,36648
33028,33353,36743
33140,33350,36596
33197,33370,36648
33220,33367,36721
33200,33367,36863
33166,33371,36855
33168,33382,36807
33156,33389,36868
33129,33394,36956
33096,33392,36987
33076,33396,36856
33168,33390,37060
33264,33388,37032
33376,33391,36935
33416,33384,37073
33376,33396,37146
33301,33397,37148
33200,33417,37223
33100,33429,37061
33032,33428,37232
32972,33406,37205
32968,33423,37156
33004,33417,37253
33072,33412,37377
33164,33413,37380
33208,33423,37254
33172,33436,37321
33088,33439,37448
33096,33433,37447
33188,33461,37536
33272,33460,37400
33302,33454,37576
33360,33439,37572
33388,33444,37564
33415,33444,37632
33388,33445,37668
33240,33467,37548
33132,33474,37740
33076,33482,37644
33184,33488,37722
33232,33484,37767
33164,33476,37604
33108,33461,37651
33153,33485,37712
33200,33484,37784
33192,33490,37863
33056,33497,37895
32968,33505,37936
33060,33508,37895
33044,33516,37862
33040,33515,37884
33084,33504,37895
33072,33511,37980
33092,33509,38014
33101,33509,38020
33136,33513,38060
33072,33525,37892
32980,33538,37916
32932,33542,38052
32924,33552,38160
32942,33541,38133
32982,33538,38052
33045,33536,38136
33068,33534,38190
33020,33531,38236
32952,33541,38048
32892,33557,38112
32824,33572,38261
32872,33577,38324
32912,33586,38248
32912,33583,38244
32958,33577,38332
33080,33573,38365
33180,33577,38192
33236,33577,38213
33248,33584,38232
33220,33585,38267
33156,33615,38268
33084,33609,38481
33088,33607,38500
33056,33616,38500
33028,33606,38495
32992,33600,38535
32964,33605,38561
33032,33604,38377
33136,33612,38439
33152,33633,38629
33136,33632,38623
33100,33652,38604
33050,33652,38651
33008,33653,38460
33036,33647,38636
33104,33637,38676
33092,33644,38716
33092,33644,38553
33056,33651,38766
33008,33661,38728
32940,33662,38610
32885,33676,38824
32936,33680,38809
32972,33684,38653
33028,33663,38820
33124,33662,38892
33200,33671,38788
33304,33671,38663
33296,33684,38837
33232,33676,38836
33100,33693,38905
32921,33706,38720
32848,33722,38798
32828,33716,38992
32889,33716,38857
32940,33701,38980
32972,33700,38837
33012,33708,38848
33032,33708,38889
32952,33718,39064
32850,33735,38909
32792,33740,39009
32820,33745,39020
32880,33738,39069
33030,33744,38866
33140,33734,38948
33204,33741,39133
33256,33736,39073
33144,33741,38956
33012,33757,39128
32944,33758,39098
32886,33775,39142
32945,33772,38967
33128,33780,39029
33076,33764,39200
32956,33775,39128
32848,33764,39165
32769,33777,38965
32804,33775,39071
32836,33772,39221
32860,33796,39175
32860,33812,39210
32852,33813,39012
32852,33809,39144
32800,33799,39286
32808,33799,39228
32836,33786,39218
32896,33780,39260
32944,33794,39052
32996,33799,39124
33000,33817,39280
32906,33832,39332
32880,33843,39193
32880,33837,39280
32924,33836,39331
32873,33837,39124
32824,33825,39382
32824,33831,39236
32836,33833,39348
32888,33845,39382
32900,33855,39175
32904,33867,39295
32940,33874,39444
32812,33876,39431
32708,33848,39336
32720,33861,39405
32596,33860,39456
32480,33868,39265
32452,33869,39333
32464,33861,39500
32596,33889,39512
32704,33899,39504
32704,33895,39508
32780,33890,39468
32834,33896,39468
32856,33892,39520
32896,33888,39592
32944,33884,39579
32964,33880,39498
32948,33901,39576
32932,33912,39593
32889,33914,39652
32844,33927,39664
32824,33927,39662
32820,33905,39668
32864,33919,39573
32888,33908,39696
32960,33913,39542
33052,33913,39724
33064,33927,39732
32996,33929,39661
32932,33948,39708
32880,33953,39776
32832,33948,39636
32856,33943,39820
32940,33940,39720
33080,33916,39788
33108,33927,39839
33072,33932,39642
33000,33940,39733
32964,33958,39908
32997,33964,39788
32920,33964,39884
33016,33972,39918
33128,33960,39782
33128,33952,39980
33096,33956,39880
33080,33956,39885
33000,33964,39943
32944,33972,39756
32880,33984,39848
32848,33988,39918
32876,33996,40060
32928,33994,40048
32968,33991,40056
32984,33985,40068
32976,33983,39924
32964,33967,40037
32916,33972,40052
32864,33974,40046
32796,34005,40064
32812,33999,40070
32818,34016,40076
32904,34020,40077
32972,34012,40084
33044,34012,40068
33072,33976,40071
33048,33981,40056
32984,34001,40036
32936,34016,40033
32970,34025,40039
32958,34039,40084
32896,34042,40081
32800,34038,40070
32724,34032,40041
32664,34028,40068
32632,34028,40063
32498,34027,39821
32360,34030,39852
32108,34032,39857
31841,34044,39892
31524,34063,39917
31189,34069,40045
30872,34075,40040
30632,34072,39876
30412,34061,39940
30357,34036,39966
30272,34032,39740
30124,34052,39784
30144,34071,39872
30488,34086,39943
31352,34093,39943
32508,34084,39863
33644,34085,39796
34580,34072,39758
35352,34055,39737
35724,34053,39694
35753,34054,39697
35652,34055,39756
35568,34063,39756
35308,34069,39512
34892,34091,39517
34488,34085,39470
34184,34092,39431
33960,34089,39404
33768,34084,39461
33600,34075,39452
33372,34084,39396
33236,34080,39356
33084,34085,39340
33012,34094,39476
32976,34090,39477
32854,34104,39364
32852,34118,39310
32820,34096,39292
32820,34085,39283
32768,34094,39264
32796,34093,39028
32745,34106,39036
32724,34088,39144
32660,34118,39048
32612,34124,39028
32588,34126,39016
32592,34124,38756
32576,34124,38798
32632,34117,38916
32708,34111,38724
32724,34109,38782
32680,34116,38584
32616,34106,38720
32556,34129,38592
32500,34140,38597
32420,34150,38343
32412,34142,38304
32428,34113,38252
32480,34121,38244
32540,34125,38201
32608,34120,38122
32576,34126,38068
32604,34132,38212
32532,34145,38176
32408,34153,38129
32320,34157,38080
32324,34157,38044
32376,34143,38008
32468,34125,37940
32456,34116,37828
32468,34122,37872
32444,34137,37808
32400,34140,37700
32364,34156,37692
32356,34162,37628
32560,34167,37581
32756,34169,37630
32780,34156,37505
32712,34132,37540
32560,34143,37532
32420,34144,37349
32368,34151,37364
32249,34166,37354
32108,34144,37345
32097,34172,37281
32112,34180,37302
32236,34180,37108
32344,34169,37215
32292,34157,37073
32280,34161,37124
32272,34135,36928
32236,34152,36996
32196,34166,36981
32154,34175,36937
32128,34183,36753
32144,34183,36716
32152,34183,36819
32208,34175,36742
32260,34161,36672
32320,34159,36686
32341,34157,36511
32341,34160,36568
32300,34164,36473
32192,34177,36481
32140,34191,36440
32076,34183,36240
32108,34167,36231
32152,34165,36308
32240,34183,36252
32216,34165,36157
32244,34173,36106
32196,34180,36112
32152,34183,35910
32160,34186,36024
32064,34201,35900
32036,34206,35872
32068,34194,35879
32076,34194,35736
32132,34191,35780
32144,34176,35668
32101,34173,35604
32012,34175,35594
31912,34183,35577
31804,34186,35556
31772,34205,35396
31776,34204,35332
31836,34205,35335
31905,34184,35335
31964,34188,35329
31952,34183,35252
31944,34181,35152
31888,34183,35221
31842,34191,35119
31741,34204,35124
31668,34205,34984
31668,34204,34916
31696,34206,34924
31760,34199,34996
31998,34189,34876
32108,34172,34912
32000,34174,34742
31928,34183,34823
31901,34197,34720
31777,34199,34736
31756,34198,34724
31805,34212,34553
31864,34210,34496
31945,34203,34604
32064,34167,34512
32156,34180,34502
32285,34177,34504
32272,34179,34340
32296,34189,34334
32304,34192,34392
32452,34201,34332
32404,34207,34199
32428,34205,34204
32572,34197,34241
32609,34185,34160
32760,34174,34172
32880,34175,33992
32876,34181,33976
32904,34180,34021
32872,34192,33983
32888,34192,33849
32920,34201,33775
32972,34197,33807
33128,34191,33832
33220,34186,33767
33256,34183,33744
33308,34183,33612
33313,34156,33557
33269,34183,33596
33224,34200,33604
33192,34204,33456
33213,34196,33479
33264,34204,33494
33306,34188,33436
33372,34182,33326
33384,34172,33300
33388,34172,33292
33308,34172,33314
33244,34180,33254
33216,34190,33207
33216,34198,33121
33168,34211,33016
33236,34199,33084
33304,34189,33028
33432,34180,32965
33476,34180,32898
33464,34172,32917
33452,34164,32912
33400,34173,32721
33348,34180,32809
33412,34180,32732
33452,34194,32706
33440,34190,32544
33408,34196,32561
33368,34182,32560
33364,34172,32480
33360,34167,32464
33272,34173,32300
33204,34180,32236
33160,34193,32275
33132,34168,32252
33070,34182,32078
33108,34184,32150
33140,34177,32092
33184,34173,31977
33176,34167,31950
33220,34164,31958
33156,34172,31896
33036,34158,31839
32912,34173,31800
32856,34165,31774
32844,34172,31668
32940,34183,31593
33064,34177,31526
33180,34173,31544
33272,34165,31541
33296,34159,31495
33344,34149,31378
33276,34160,31364
33153,34156,31340
33012,34173,31348
32962,34177,31268
32992,34149,31208
32997,34156,31113
33004,34136,31168
33100,34128,31108
33088,34150,31087
32964,34151,31007
32848,34156,30919
32754,34172,30972
32688,34180,30916
32688,34177,30896
32709,34172,30764
32740,34152,30805
32760,34154,30786
32858,34140,30664
32896,34136,30641
32944,34121,30664
32937,34148,30650
33012,34164,30609
32976,34161,30612
32884,34167,30489
32808,34151,30543
32856,34148,30500
32896,34146,30496
32940,34136,30484
32992,34114,30365
33056,34126,30378
33052,34140,30368
33028,34144,30376
33012,34148,30373
33008,34157,30336
33060,34159,30325
33060,34130,30302
33040,34136,30297
32984,34125,30280
32932,34121,30262
32908,34132,30234
32836,34132,30224
32776,34141,30212
32760,34157,30152
32736,34151,30127
32704,34148,30092
32720,34143,30140
32808,34124,30116
32876,34116,30119
32968,34125,30042
33004,34109,30058
32896,34124,30088
32836,34137,30055
32800,34132,30052
32800,34124,30057
32848,34134,30000
32868,34137,29968
32852,34125,29968
32876,34117,29965
32900,34111,29985
32908,34111,30028
32840,34117,30012
32756,34114,30008
32732,34129,30022
32720,34135,29960
32744,34129,29988
32796,34123,29953
32820,34112,29950
32852,34108,29967
32908,34089,29993
32852,34080,30008
32800,34100,30026
32724,34119,30013
32628,34117,30026
32577,34125,30044
32640,34125,29972
32696,34118,29972
32756,34106,29980
32800,34097,30024
32792,34087,30057
32736,34101,30044
32736,34106,30042
32736,34117,30047
32764,34112,30058
32736,34118,30069
32708,34117,30072
32735,34108,30062
32808,34096,30066
32896,34089,29989
32953,34064,30023
32880,34056,30055
32824,34084,30058
32720,34105,30041
32652,34101,30040
32640,34115,30052
32676,34108,29959
32796,34098,30007
32920,34084,30016
33032,34079,30021
33068,34077,29988
33052,34076,29941
32972,34084,29956
32948,34092,29941
32864,34096,29981
32792,34097,30012
32780,34077,29997
32772,34092,29992
32816,34087,29996
32832,34077,30010
32832,34068,30018
32736,34073,29985
32660,34084,29955
32680,34094,29950
32704,34096,29974
32724,34095,30036
32789,34080,30029
32864,34087,30024
32961,34070,30045
33048,34062,30060
33132,34055,30060
33125,34060,30049
32948,34076,30037
32776,34087,30032
32696,34087,30065
32712,34092,30082
32760,34087,30091
32816,34076,30095
32868,34068,30087
32932,34064,30116
32960,34055,30136
32924,34064,30142
32876,34065,30120
32808,34081,30148
32708,34076,30132
32676,34060,30128
32684,34066,30118
32689,34055,30112
32752,34071,30133
32832,34055,30128
32852,34046,30156
32836,34061,30148
32808,34064,30162
32720,34082,30180
32664,34071,30169
32652,34091,30164
32732,34084,30215
32820,34068,30254
32812,34065,30245
32752,34050,30267
32704,34054,30279
32652,34068,30281
32624,34071,30272
32584,34078,30284
32564,34093,30284
32568,34089,30307
32576,34092,30305
32608,34081,30324
32644,34065,30342
32644,34055,30340
32636,34048,30344
32608,34040,30364
32557,34050,30388
32508,34068,30353
32432,34084,30332
32352,34097,30328
32357,34100,30396
32396,34080,30436
32412,34072,30431
32440,34068,30430
32448,34068,30458
32468,34071,30465
32480,34073,30430
32540,34082,30393
32604,34088,30405
32628,34095,30460
32644,34084,30466
32684,34084,30511
32728,34079,30492
32732,34073,30513
32772,34073,30528
32824,34069,30448
32810,34076,30455
32780,34082,30492
32704,34095,30532
32644,34088,30552
32654,34082,30556
32716,34068,30572
32872,34082,30532
32964,34081,30500
32924,34075,30517
32829,34069,30592
32724,34086,30596
32612,34096,30612
32532,34104,30552
32504,34115,30600
32548,34106,30633
32636,34077,30617
32698,34082,30573
32772,34078,30652
32864,34077,30671
32856,34055,30679
32828,34068,30704
32752,34085,30660
32688,34118,30636
32697,34116,30690
32728,34118,30759
32836,34100,30756
32852,34098,30757
32848,34089,30727
32804,34076,30701
32772,34084,30720
32760,34092,30722
32668,34117,30744
32684,34126,30836
32752,34128,30833
32820,34124,30828
32840,34118,30863
32896,34108,30833
32896,34105,30792
32925,34103,30831
32864,34105,30878
32776,34109,30879
32736,34129,30902
32696,34140,30916
32708,34148,30892
32704,34135,30877
32708,34126,30868
32761,34127,30872
32828,34110,30907
32828,34101,30974
32784,34109,30990
32654,34122,30982
32528,34125,30997
32348,34135,31012
32160,34141,30983
31960,34138,30949
31764,34134,30998
31575,34133,31071
31376,34145,31059
31172,34142,31080
30996,34159,31012
30832,34164,31020
30646,34173,31091
30445,34184,31128
30164,34200,31025
30269,34196,31041
30850,34189,31060
31920,34180,31097
33124,34158,31164
34096,34148,31143
34876,34149,31168
35412,34149,31186
35548,34161,31132
35440,34175,31103
35309,34182,31141
35328,34173,31209
35200,34182,31189
34856,34176,31213
34480,34183,31237
34092,34178,31132
33688,34183,31221
33340,34188,31225
33046,34201,31238
32892,34214,31262
32857,34217,31188
32808,34220,31173
32788,34219,31180
32824,34209,31237
32820,34202,31266
32812,34204,31278
32754,34208,31267
32616,34220,31260
32604,34226,31273
32565,34242,31268
32544,34246,31268
32520,34248,31212
32528,34240,31178
32532,34237,31148
32544,34228,31205
32544,34234,31220
32544,34240,31232
32513,34246,31173
32396,34258,31121
32340,34268,31226
32348,34279,31201
32376,34272,31197
32448,34271,31200
32528,34273,31156
32588,34265,31124
32570,34258,31108
32560,34260,31180
32560,34272,31184
32573,34280,31165
32664,34292,31168
32672,34296,31160
32656,34308,31175
32616,34277,31181
32616,34292,31186
32660,34285,31204
32648,34293,31117
32588,34301,31098
32484,34304,31103
32376,34306,31111
32396,34311,31213
32492,34337,31196
32468,34335,31216
32420,34324,31236
32432,34330,31185
32440,34311,31236
32488,34311,31239
32476,34328,31239
32436,34335,31239
32432,34343,31239
32368,34351,31142
32284,34348,31140
32232,34375,31164
32304,34370,31175
32392,34366,31216
32440,34352,31215
32484,34354,31214
32488,34352,31206
32476,34364,31202
32373,34384,31200
32320,34382,31204
32321,34376,31215
32276,34400,31213
32272,34400,31223
32344,34396,31216
32396,34396,31125
32432,34392,31140
32432,34393,31129
32381,34404,31209
32295,34419,31207
32284,34417,31209
32245,34428,31180
32196,34437,31202
32248,34436,31140
32336,34424,31115
32400,34421,31157
32380,34420,31176
32352,34432,31170
32264,34436,31161
32252,34449,31165
32248,34437,31143
32234,34468,31174
32216,34468,31076
32194,34468,31141
32160,34471,31136
32172,34461,31077
32180,34460,31073
32216,34471,31125
32172,34479,31129
32208,34493,31021
32220,34484,31111
32109,34502,31084
31988,34502,31045
31848,34503,31012
31781,34493,31087
31872,34499,31068
31920,34496,31056
31996,34501,31038
31956,34516,31000
31856,34526,31072
31776,34534,31040
31772,34540,31051
31776,34532,31050
31812,34540,30989
31900,34536,30948
31934,34534,30976
31981,34532,31023
32032,34530,31012
32040,34549,31020
32020,34556,30951
31965,34567,30920
31980,34580,30996
32024,34585,30968
32124,34580,30927
32212,34557,30904
32256,34567,30966
32260,34562,30941
32272,34572,30953
32396,34589,30868
32448,34583,30930
32380,34618,30943
32360,34619,30855
32352,34617,30933
32432,34612,30920
32512,34612,30848
32632,34599,30844
32688,34613,30896
32712,34617,30900
32746,34616,30847
32728,34620,30919
32688,34647,30921
32760,34655,30830
32824,34652,30906
32876,34644,30928
33028,34645,30850
33173,34640,30922
33268,34638,30916
33317,34645,30852
33340,34660,30925
33328,34669,30921
33348,34668,30878
33384,34684,30850
33412,34677,30924
33440,34684,30941
33440,34679,30944
33444,34684,30940
33444,34683,30954
33504,34665,30969
33465,34695,30876
33405,34702,30968
33344,34718,30956
33288,34724,30988
33372,34726,30936
33428,34720,30896
33552,34716,30988
33616,34711,30972
33624,34713,30993
33600,34717,30918
33552,34732,30957
33468,34746,31005
33380,34729,30981
33288,34761,31005
33236,34764,31008
33272,34756,31017
33392,34758,30933
33416,34748,31017
33412,34753,30996
33445,34753,30981
33404,34765,30994
33332,34783,31018
33336,34773,31006
33288,34790,31041
33265,34796,30952
33260,34802,30956
33352,34780,31018
33374,34783,31009
33328,34791,31049
33198,34791,30976
33210,34804,31055
33184,34790,31041
33116,34814,31024
33024,34823,31045
32944,34823,31047
32984,34823,30964
33056,34820,30959
33132,34820,30999
33240,34823,31068
33236,34838,31044
33174,34841,31042
33158,34846,31061
33156,34860,30997
33224,34861,31060
33288,34873,31080
33302,34860,31072
33276,34867,31080
33278,34863,31042
33264,34856,31045
33264,34860,31066
33280,34876,31103
33120,34885,31101
32952,34892,31101
32868,34883,31088
32869,34890,31054
32908,34900,31129
33040,34890,31123
33120,34884,31124
33160,34888,31136
33184,34893,31140
33072,34910,31164
32965,34915,31124
32924,34928,31128
32880,34940,31133
32896,34929,31164
32960,34927,31164
33024,34924,31148
33092,34918,31191
33096,34894,31239
33008,34933,31252
32941,34938,31199
32868,34956,31218
32808,34964,31220
32852,34973,31236
32937,34972,31289
33077,34948,31306
33156,34959,31288
33149,34964,31265
33132,34951,31362
33096,34972,31344
33076,34975,31374
33056,34972,31342
33048,34984,31345
33004,34997,31414
33040,34997,31429
33080,34999,31454
33088,35001,31384
33116,34962,31480
33088,34986,31502
33064,34993,31504
33064,35002,31536
33028,34988,31512
32964,35010,31495
32908,35006,31513
32958,35038,31535
33001,35013,31589
33058,35025,31630
33108,35016,31660
33168,35028,31692
33140,35022,31721
33064,35024,31721
32964,35047,31734
32912,35053,31772
32898,35054,31783
32944,35055,31801
33022,35050,31837
33056,35047,31865
33068,35044,31818
33100,35041,31813
33072,35047,31892
32989,35065,31932
32860,35073,31954
32796,35079,32004
32788,35092,31944
32768,35076,31956
32872,35076,32078
32958,35079,32068
33044,35077,32110
33036,35062,32088
32972,35079,32097
32900,35079,32196
32805,35097,32189
32780,35105,32253
32752,35118,32160
32764,35117,32246
32824,35110,32292
32896,35103,32356
32996,35103,32262
33028,35104,32380
32956,35109,32391
32896,35092,32431
32816,35108,32390
32776,35110,32380
32780,35120,32509
32804,35124,32517
32812,35142,32564
32936,35133,32544
33017,35098,32503
33032,35124,32616
33088,35120,32660
33016,35133,32687
32936,35125,32644
32908,35145,32671
32824,35172,32774
32736,35136,32799
32662,35158,32767
32668,35153,32734
32784,35138,32889
32912,35140,32903
32968,35150,32866
32996,35161,32848
32888,35177,32951
32804,35188,33012
32752,35185,33061
32740,35191,33061
32765,35190,33092
32856,35181,33161
32928,35173,33100
32944,35168,33119
32960,35173,33252
32932,35180,33241
32885,35191,33316
32856,35207,33277
32860,35204,33253
32820,35205,33370
32788,35201,33383
32752,35180,33452
32824,35194,33504
32821,35196,33551
32776,35192,33584
32768,35212,33606
32688,35214,33601
32648,35220,33651
32712,35233,33668
32804,35224,33693
32832,35235,33730
32868,35207,33781
32824,35207,33828
32732,35220,33864
32664,35228,33914
32636,35236,33853
32570,35207,33874
32412,35246,33885
32320,35252,33884
32268,35248,33940
32314,35253,34036
32440,35247,34085
32580,35245,34132
32672,35240,34169
32656,35243,34185
32680,35244,34136
32620,35256,34166
32592,35265,34133
32604,35276,34220
32660,35277,34264
32716,35272,34268
32696,35270,34311
32729,35238,34405
32768,35256,34385
32752,35259,34400
32752,35271,34450
32720,35272,34489
32680,35281,34508
32740,35276,34548
32828,35284,34473
32897,35279,34460
32962,35286,34500
33004,35273,34546
32934,35268,34621
32900,35260,34660
32932,35259,34718
32920,35266,34708
32900,35289,34725
32876,35300,34788
32892,35301,34712
32972,35301,34693
32980,35268,34763
32972,35285,34852
32948,35278,34823
32892,35281,34900
32828,35292,34976
32780,35301,34967
32728,35311,34965
32764,35320,35012
32812,35316,35053
32804,35311,35095
32868,35305,35143
32912,35301,35036
32948,35302,35069
32940,35296,35141
32884,35311,35164
32808,35311,35207
32776,35319,35236
32764,35330,35207
32744,35332,35228
32812,35324,35256
32868,35320,35437
32992,35316,35456
33076,35295,35353
33032,35316,35380
32904,35324,35541
32904,35335,35485
32776,35335,35536
32704,35344,35605
32712,35335,35495
32848,35335,35541
32884,35332,35703
32864,35324,35639
32772,35326,35688
32556,35325,35681
32680,35332,35712
32800,35335,35759
32660,35363,35808
32668,35362,35847
32840,35322,35847
32837,35334,35821
32792,35335,35856
32760,35345,35881
32556,35335,35916
32444,35348,35952
32184,35358,35862
32050,35361,36000
31826,35369,35888
31569,35376,35876
31424,35379,35880
31232,35380,35910
31128,35365,35917
31140,35367,35925
30912,35367,36071
30677,35368,36079
30532,35380,35957
30520,35391,36089
30776,35400,35959
