ECG,EDA,RR
32876,29241,34273
32900,29232,34188
32932,29237,34336
32884,29236,34300
32876,29254,34236
32862,29263,34401
32792,29272,34332
32792,29271,34284
32821,29261,34445
32820,29242,34493
32836,29232,34345
32832,29236,34517
32832,29234,34430
32832,29254,34439
32816,29258,34468
32804,29262,34549
32796,29264,34630
32824,29269,34477
32840,29255,34640
32892,29244,34557
32926,29233,34645
32904,29229,34528
32904,29228,34695
32884,29238,34757
32832,29252,34583
32800,29260,34676
32784,29271,34725
32804,29266,34637
32848,29252,34800
32840,29241,34797
32828,29239,34852
32818,29220,34749
32833,29226,34760
32856,29236,34889
32844,29248,34861
32856,29262,34766
32853,29266,34897
32912,29262,34981
32916,29256,34786
33000,29245,34873
33004,29230,34896
32960,29224,35015
32992,29227,35044
32976,29233,34888
32976,29251,35035
32992,29257,35068
32960,29260,34932
32941,29257,35042
33004,29247,34972
33012,29241,35048
33020,29226,35004
32992,29217,35148
32938,29225,35143
32908,29236,35197
32904,29252,35204
32893,29260,35077
32892,29261,35244
32900,29259,35288
32944,29255,35276
32988,29247,35234
32996,29229,35306
32984,29220,35305
32988,29220,35324
32984,29231,35193
32965,29246,35332
32948,29257,35402
32944,29265,35206
32956,29263,35348
32976,29247,35356
33008,29232,35429
33032,29228,35377
33044,29214,35284
33056,29228,35364
33028,29229,35309
32984,29247,35463
32956,29255,35497
32872,29257,35509
32892,29256,35502
32912,29252,35396
32948,29233,35559
32944,29229,35591
32984,29228,35392
33032,29217,35500
33000,29236,35448
32968,29240,35609
32936,29255,35665
32925,29260,35617
32944,29261,35642
32948,29248,35500
32960,29236,35625
32960,29231,35513
32944,29222,35660
32924,29224,35695
32900,29232,35735
32832,29249,35772
32782,29264,35625
32760,29264,35788
32780,29262,35716
32824,29254,35820
32820,29241,35612
32788,29236,35719
32800,29224,35736
32761,29234,35840
32720,29244,35839
32696,29257,35893
32692,29271,35684
32712,29264,35880
32712,29264,35951
32748,29256,35770
32796,29248,35760
32820,29231,35898
32840,29231,35985
32829,29230,35816
32772,29252,35777
32716,29263,35998
32677,29260,35894
32596,29273,36008
32525,29276,35941
32520,29267,36053
32556,29252,35975
32624,29237,36022
32688,29241,36076
32732,29244,35980
32720,29249,35969
32704,29264,36076
32688,29276,36164
32672,29277,35953
32692,29277,36085
32732,29266,36021
32764,29263,36196
32757,29252,36153
32773,29245,36132
32800,29252,36228
32812,29253,36251
32816,29264,36100
32808,29284,36224
32844,29286,36183
32905,29287,36276
32940,29279,36320
32964,29261,36321
32972,29257,36279
32960,29248,36191
32900,29256,36332
32864,29269,36382
32868,29276,36374
32832,29292,36384
32784,29290,36257
32736,29301,36380
32736,29284,36460
32764,29278,36500
32780,29264,36297
32760,29256,36428
32720,29272,36359
32732,29279,36492
32732,29303,36572
32692,29302,36385
32720,29310,36511
32724,29311,36501
32752,29296,36608
32792,29292,36604
32788,29280,36636
32780,29274,36628
32824,29284,36692
32828,29292,36764
32784,29305,36528
32736,29319,36692
32764,29328,36657
32780,29324,36789
32812,29318,36848
32840,29305,36820
32852,29295,36846
32812,29288,36737
32812,29300,36880
32780,29309,36959
32764,29324,36929
32820,29336,36917
32828,29348,36753
32800,29351,36945
32804,29334,36938
32840,29329,36925
32852,29313,36908
32844,29310,37030
32840,29314,37093
32876,29326,37116
32858,29337,37180
32864,29351,36927
32816,29362,37100
32828,29365,37047
32810,29362,37184
32832,29340,37253
32748,29343,37045
32640,29340,37308
32452,29342,37260
32288,29350,37308
32168,29367,37108
32052,29391,37271
31908,29393,37121
31744,29396,37244
31560,29390,37332
31349,29376,37402
31180,29375,37429
31038,29380,37206
30908,29381,37328
30772,29396,37332
30552,29398,37369
30552,29424,37284
30952,29432,37472
31864,29420,37533
33054,29408,37598
34096,29396,37334
34896,29385,37540
35437,29380,37396
35636,29388,37580
35624,29393,37507
35540,29412,37656
35409,29423,37720
35156,29433,37702
34748,29438,37692
34300,29428,37596
33908,29422,37740
33584,29416,37844
33285,29420,37807
33056,29421,37812
32876,29437,37716
32749,29447,37844
32680,29461,37780
32604,29470,37895
32552,29473,37921
32544,29468,37941
32576,29460,37841
32580,29447,37836
32572,29447,37988
32536,29452,37968
32436,29476,37876
32400,29486,38020
32380,29498,37912
32356,29508,38016
32332,29504,37830
32380,29496,38036
32388,29496,38120
32376,29489,37964
32388,29485,37888
32440,29484,38023
32432,29496,38171
32392,29520,37935
32328,29533,38024
32336,29542,38188
32348,29548,37910
32348,29543,38032
32344,29532,38144
32364,29527,37944
32368,29524,38196
32332,29537,38229
32272,29549,38079
32228,29561,38263
32268,29572,38016
32296,29581,38314
32284,29586,38128
32304,29574,38317
32352,29568,38407
32372,29561,38221
32424,29564,38385
32420,29561,38460
32416,29585,38260
32380,29602,38368
32376,29607,38364
32388,29616,38487
32384,29624,38572
32364,29610,38308
32360,29612,38514
32365,29606,38588
32376,29600,38583
32404,29612,38653
32384,29615,38400
32328,29644,38609
32296,29648,38678
32264,29664,38650
32252,29665,38551
32320,29667,38740
32376,29658,38495
32372,29645,38604
32356,29641,38620
32404,29654,38752
32424,29660,38804
32404,29679,38780
32344,29698,38680
32332,29703,38775
32352,29703,38825
32336,29692,38708
32368,29703,38892
32361,29689,38684
32368,29691,38864
32352,29694,38837
32308,29708,38928
32254,29736,38688
32208,29754,38876
32152,29762,38902
32092,29760,38668
32109,29752,38905
32192,29751,38990
32216,29733,38817
32216,29743,38919
32192,29748,38864
32152,29764,38839
32072,29776,38937
31988,29795,39020
31904,29807,38821
31844,29810,38966
31816,29804,39029
31808,29797,38768
31804,29777,38975
31808,29792,39036
31821,29788,38855
31828,29798,38996
31841,29820,38992
31844,29841,38908
31824,29853,39013
31780,29855,39071
31738,29855,39020
31781,29845,39031
31804,29836,39006
31856,29828,39033
31840,29844,39025
31868,29854,39076
31885,29874,38780
31864,29893,38949
31904,29893,39109
31944,29908,38932
32008,29896,38805
32052,29889,39056
32084,29884,38948
32114,29892,39087
32156,29890,38858
32208,29905,39064
32224,29927,39072
32232,29938,39094
32284,29943,38856
32328,29953,39088
32380,29944,39062
32464,29941,39165
32496,29932,38981
32556,29925,38988
32616,29932,39124
32704,29944,38868
32772,29964,39072
32762,29973,39175
32760,29991,39004
32808,29988,39132
32856,29982,39028
32960,29981,39204
33005,29968,39012
33032,29966,39148
33128,29978,39108
33176,29997,39197
33188,30006,39068
33188,30018,38919
33228,30037,38957
33276,30037,39160
33278,30041,39193
33289,30028,39166
33272,30018,39004
33280,30023,39224
33264,30033,39108
33288,30044,39296
33264,30063,39124
33264,30079,39268
33308,30087,39196
33344,30085,39211
33396,30085,39303
33448,30073,39036
33492,30064,39303
33489,30064,39375
33472,30064,39324
33396,30095,39395
33263,30111,39101
33216,30120,39308
33232,30138,39397
33256,30118,39376
33252,30129,39428
33304,30121,39212
33304,30118,39358
33324,30109,39357
33280,30125,39414
33224,30136,39415
33216,30151,39416
33205,30169,39325
33196,30181,39421
33172,30182,39384
33204,30169,39445
33240,30177,39413
33256,30164,39487
33225,30160,39518
33208,30173,39522
33148,30183,39504
33128,30189,39536
33116,30206,39606
33108,30215,39320
33149,30220,39588
33189,30220,39356
33216,30215,39472
33240,30215,39484
33224,30212,39616
33212,30214,39655
33244,30231,39396
33240,30242,39547
33184,30264,39624
33132,30260,39668
33102,30265,39719
33080,30260,39431
33092,30252,39632
33080,30244,39758
33088,30248,39500
33088,30249,39656
33076,30262,39725
33076,30272,39708
33100,30296,39653
33188,30308,39639
33180,30310,39721
33172,30311,39653
33148,30294,39700
33068,30281,39479
33060,30280,39732
33056,30287,39772
33052,30304,39767
33036,30327,39788
33056,30337,39512
33068,30344,39740
33036,30346,39664
33072,30342,39773
33081,30333,39812
33080,30324,39824
33124,30325,39716
33096,30325,39829
33032,30343,39844
32988,30357,39751
32953,30375,39833
32916,30385,39880
32948,30382,39909
32988,30377,39889
33024,30373,39932
33072,30352,39921
33068,30364,39950
33048,30366,39676
32968,30386,39964
32916,30400,39680
32860,30405,39943
32832,30419,39732
32784,30414,39975
32808,30419,39836
32884,30405,39957
32952,30404,39881
32992,30401,39908
32992,30404,39772
32980,30420,39935
32924,30436,39937
32892,30444,40016
32876,30455,40056
32848,30448,40071
32836,30456,39992
32832,30442,39853
32876,30434,40024
32920,30430,39824
32980,30437,40122
32940,30450,40100
32952,30461,40006
32948,30484,40060
32928,30484,40032
32929,30487,40152
32928,30485,40220
32946,30482,40172
32970,30471,40196
32952,30464,40186
32980,30469,40076
32984,30493,40094
32976,30500,39943
32956,30503,40138
32933,30519,40063
32952,30525,40198
33004,30508,40236
33016,30516,40309
33024,30500,40260
33032,30497,40225
33020,30496,40249
33032,30511,40208
32992,30525,40228
33004,30540,40048
32976,30544,40340
33020,30538,40317
33044,30544,40181
33072,30526,40308
33116,30529,40057
33088,30523,40380
33012,30524,40304
32992,30539,40216
32912,30550,40372
32916,30560,40356
32936,30575,40233
32936,30572,40357
32980,30569,40358
33013,30560,40341
33026,30553,40305
33060,30544,40156
33056,30557,40444
32988,30565,40357
32896,30580,40132
32869,30580,40345
32856,30600,40314
32856,30596,40215
32894,30588,40304
32976,30574,40164
33041,30567,40497
33080,30572,40404
33101,30573,40260
33104,30586,40509
33028,30598,40420
32924,30614,40180
32897,30621,40491
32872,30614,40389
32889,30610,40327
32976,30607,40372
32976,30599,40436
32972,30597,40220
32989,30592,40341
32984,30604,40261
32960,30622,40424
32940,30639,40455
32945,30638,40375
32944,30644,40406
32936,30637,40308
32916,30631,40400
32940,30608,40400
32956,30612,40340
32980,30616,40206
32972,30626,40320
32972,30640,40140
32924,30640,40487
32912,30658,40415
32918,30661,40332
32900,30657,40344
32912,30637,40272
32912,30633,40324
32912,30624,40319
32871,30633,40343
32876,30642,40404
32864,30661,40317
32880,30666,40228
32896,30669,40268
32896,30674,40140
32944,30671,40148
32960,30656,40135
32968,30649,40199
32958,30644,40092
32924,30646,40181
32876,30654,40220
32868,30666,40185
32880,30676,40247
32872,30692,40153
32928,30688,40129
32920,30687,40116
32908,30673,40165
32916,30665,40071
32968,30659,40124
32960,30657,40053
32924,30666,40071
32853,30676,39879
32804,30692,39924
32736,30708,39836
32780,30692,39876
32832,30695,39733
32852,30683,39892
32877,30673,39952
32896,30660,39617
32856,30678,39801
32780,30677,39726
32762,30694,39752
32754,30712,39684
32824,30713,39656
32864,30706,39580
32940,30703,39644
33000,30691,39649
33072,30684,39645
33089,30672,39662
33060,30680,39359
33008,30692,39528
33020,30702,39564
33008,30712,39508
32952,30720,39540
32972,30719,39436
32988,30705,39348
32972,30703,39284
33001,30690,39316
32992,30692,39334
32944,30680,39349
32868,30696,39260
32840,30717,39108
32812,30726,39061
32800,30727,39141
32820,30727,38990
32824,30718,39076
