ECG,EDA,RR
33252,7475,25735
33268,7498,25692
33248,7499,25572
33172,7570,25721
33216,7591,25495
33292,7682,25525
33248,7626,25487
33285,7574,25349
33301,7565,25452
33208,7510,25386
33112,7508,25215
33121,7483,25415
33188,7585,25243
33288,7566,25308
33398,7583,25284
33416,7629,25172
33304,7605,25188
33208,7615,25356
33184,7561,25151
33200,7603,25231
33136,7492,25272
33092,7481,25077
33116,7541,25160
33224,7563,25260
33256,7594,25333
33304,7659,25193
33208,7615,25305
33124,7674,25360
33070,7575,25380
33024,7514,25396
33048,7686,25336
33080,7559,25280
33108,7557,25382
33118,7570,25461
33096,7577,25693
33040,7612,25709
32936,7652,25630
32844,7617,25578
32756,7558,25667
32744,7564,25765
32644,7502,25822
32540,7578,25683
32596,7539,25871
32724,7680,26095
32784,7619,25964
32812,7725,26067
32717,7659,26110
32552,7595,25973
32396,7679,26047
32408,7595,26073
32417,7505,26224
32404,7492,26351
32444,7510,26564
32572,7602,26626
32758,7604,26667
32784,7623,26553
32776,7623,26548
32780,7635,26705
32758,7559,26837
32724,7567,26721
32706,7494,26842
32612,7668,26944
32572,7536,27007
32580,7544,27045
32588,7678,27000
32676,7649,27164
32680,7618,27232
32804,7673,27425
32836,7605,27469
32816,7548,27513
32832,7512,27560
32836,7490,27496
32844,7607,27559
32840,7609,27552
32840,7615,27655
32956,7716,27745
33036,7666,27799
32956,7630,27852
32896,7573,27895
32920,7524,27740
32896,7585,27795
32856,7521,27863
32876,7520,27996
32904,7674,28077
32942,7620,28157
32956,7653,28223
32908,7758,28389
32852,7633,28508
32832,7570,28653
32788,7597,28456
32789,7524,28599
32856,7525,28849
32833,7521,28897
32764,7545,28913
32788,7618,28935
32790,7628,28903
32780,7724,28924
32788,7641,29038
32724,7669,29181
32845,7582,29249
32916,7509,29330
32860,7506,29156
32736,7537,29374
32676,7556,29543
32524,7622,29668
32376,7628,29831
32132,7701,29660
31800,7626,29829
31452,7648,29928
31160,7546,29778
30912,7510,29861
30780,7520,30133
30680,7524,30353
30700,7613,30357
30718,7616,30516
30684,7714,30501
30688,7663,30676
30824,7619,30581
31064,7623,30705
31136,7544,30789
31244,7596,30841
31188,7537,30797
30992,7599,30897
31040,7585,30990
31689,7607,31239
33069,7677,31153
34673,7638,31262
36136,7698,31317
36997,7618,31111
37248,7547,31292
36952,7540,31440
36388,7500,31700
35948,7562,31508
35480,7567,31656
35029,7609,31712
34628,7696,31812
34160,7647,31879
33640,7625,31929
33245,7662,31977
33064,7575,32037
32996,7517,31996
32912,7577,32180
32772,7542,32388
32620,7659,32353
32444,7634,32351
32272,7761,32194
32152,7661,32460
32044,7631,32551
32024,7587,32613
32192,7602,32732
32433,7527,32826
32758,7598,33065
32944,7553,33214
32998,7558,33251
32972,7671,33204
33004,7675,33354
32988,7655,33501
32900,7758,33616
32729,7631,33669
32568,7587,33799
32508,7515,33981
32497,7558,34167
32552,7544,34282
32604,7663,34380
32700,7631,34298
32764,7642,34587
32704,7716,34700
32509,7655,34967
32228,7599,35047
32020,7638,35234
31856,7542,35284
31876,7516,35420
32008,7661,35495
32124,7620,35604
32157,7639,35765
32264,7654,35813
32444,7655,35916
32316,7693,35957
32092,7598,35941
32082,7617,36125
31944,7542,35903
32044,7705,36429
32316,7560,36372
32540,7575,36430
32684,7618,36511
32620,7732,36665
32544,7696,36812
32464,7657,36939
32444,7611,36987
32600,7585,37253
32692,7529,37359
32665,7566,37340
32608,7548,37441
32568,7659,37558
32500,7645,37767
32712,7648,37759
33096,7724,37937
33420,7674,37644
33772,7722,38117
34292,7608,38359
34864,7531,38383
35612,7639,38517
36604,7578,38273
37781,7579,38788
39160,7703,39012
40620,7686,38893
41736,7653,39113
42537,7727,39197
43160,7640,39303
43768,7588,39476
44336,7655,39720
44846,7550,39576
45196,7751,39796
45544,7608,40100
46108,7713,40001
46788,7692,40171
47204,7801,40254
46884,7686,40521
46136,7623,40410
45204,7601,40639
44272,7535,40751
43508,7616,40879
42936,7588,40960
42508,7588,40724
42080,7669,41180
41712,7668,41465
41456,7668,41643
41120,7756,41757
40864,7657,41632
40752,7746,41829
40572,7572,41943
40184,7534,42073
39668,7589,42349
39048,7588,42257
38388,7663,42492
37784,7673,42567
37396,7772,42694
37264,7676,42989
37316,7747,43133
37360,7604,43257
37500,7545,43332
37382,7584,43412
37268,7582,43655
37032,7591,43396
36864,7652,43928
36600,7667,43994
36380,7752,44177
36240,7695,44404
36088,7632,44536
35944,7622,44292
35881,7550,44679
35656,7592,44927
35368,7564,45026
35125,7637,45076
34884,7630,45345
34542,7712,45447
34144,7683,45381
33797,7701,45668
33798,7635,45831
33856,7626,45871
33957,7559,46119
33954,7583,46087
33916,7669,46304
33808,7612,46337
33748,7636,46509
33660,7750,46693
33592,7708,46740
33600,7671,46455
33581,7703,46785
33432,7613,47020
33192,7620,47239
33028,7549,47280
32988,7592,47460
33048,7602,47267
33060,7664,47680
32941,7761,47700
32812,7723,47894
32560,7772,47711
32332,7678,48085
32136,7609,48213
32076,7599,48245
31984,7559,48401
31896,7594,48381
31804,7601,48623
31678,7730,48727
31824,7708,48828
31876,7698,48920
31805,7763,48935
31568,7670,49103
31280,7611,49224
31084,7655,49329
31118,7591,48910
31108,7581,49445
31029,7645,49625
