ECG,EDA,RR
32576,7380,33167
32877,7385,33191
33004,7362,33271
32904,7329,33257
32708,7349,33151
32620,7321,33404
32578,7317,33421
32592,7308,33476
32908,7355,33527
33028,7402,33517
33048,7429,33500
32892,7425,33469
32868,7389,33472
32844,7340,33500
32840,7299,33543
32860,7259,33342
33014,7267,33692
33212,7301,33597
33264,7345,33818
33356,7385,33921
33452,7407,33912
33345,7412,33736
33200,7390,33584
32792,7349,33519
32461,7301,33849
32268,7271,33865
32288,7278,33788
32416,7301,33848
32620,7333,34007
32844,7398,33831
32992,7425,33657
33032,7417,33836
32981,7414,33769
32988,7381,33836
32920,7322,33860
32816,7313,33564
32696,7335,33746
32606,7379,33719
32676,7436,33632
32828,7494,33686
32932,7499,33736
32964,7538,33604
32997,7391,33271
33120,7364,33473
33153,7335,33640
33068,7322,33437
32988,7360,33125
32957,7362,33063
33008,7408,33331
33044,7490,33244
33093,7508,33121
33000,7501,33213
32941,7470,33220
32872,7433,33029
32820,7377,32788
32904,7377,33017
32808,7446,33100
32806,7389,33050
32788,7439,32816
32712,7402,32861
32669,7433,32769
32681,7439,32744
32624,7424,32874
32545,7392,32805
32580,7331,32650
32677,7308,32568
32729,7332,32606
32796,7360,32579
32917,7384,32532
33032,7439,32640
33072,7517,32503
33012,7526,32425
32856,7420,32487
32648,7389,32428
32460,7368,32420
32280,7332,32407
32301,7333,32423
32380,7353,32364
32412,7390,32479
32487,7451,32409
32528,7484,32309
32560,7494,32413
32510,7511,32301
32488,7392,32519
32412,7350,32348
32376,7309,32407
32396,7317,32437
32416,7340,32412
32448,7392,32381
32614,7463,32517
32956,7474,32245
33120,7470,32251
32960,7456,32452
32640,7446,32342
32404,7444,32500
32396,7325,32373
32564,7326,32469
32740,7361,32431
32804,7410,32459
32716,7447,32565
32529,7501,32460
32436,7497,32332
32304,7471,32164
32092,7409,32400
31968,7364,32369
31861,7332,32309
31888,7325,32289
32008,7351,32436
32124,7390,32395
32156,7434,32253
32272,7577,32193
32540,7575,31994
32870,7549,32213
33135,7501,32208
33236,7447,32174
32956,7345,32047
32600,7449,32175
32452,7551,32189
32201,7397,31977
32056,7447,31769
31952,7483,31998
31940,7481,31972
31968,7589,31941
32000,7507,31931
32013,7466,31875
32072,7418,31792
32240,7431,31946
32468,7436,31965
32629,7460,31927
32640,7481,31793
32660,7511,31764
32552,7527,31817
32325,7508,31828
32204,7498,31676
32066,7458,31623
32100,7415,31544
32264,7415,31628
32526,7427,31601
32776,7460,31623
32804,7513,31588
32748,7566,31471
32828,7593,31688
