ECG,EDA,RR
33016,14011,34927
33065,14062,34919
33080,14069,34887
33104,14181,34895
33128,14164,34921
33100,14162,34901
33092,14167,34637
33049,14121,34823
33020,14134,34920
32988,14054,35011
32972,14021,34790
32985,14101,34862
33016,14087,34886
33084,14117,34895
33117,14243,34857
33140,14219,34823
33120,14181,34733
33074,14133,34732
33060,14083,34793
33001,14114,34967
32960,14085,34921
32996,14074,34892
33092,14113,34804
33149,14127,34878
33226,14217,34798
33220,14212,34799
33184,14173,34732
33136,14137,34746
33084,14125,34739
33049,14061,34772
33040,14113,34845
33116,14066,34911
33124,14092,34873
33152,14231,34789
33176,14221,34671
33144,14206,34463
33100,14177,34748
33080,14147,34743
33040,14129,34743
33008,14057,34733
32982,14049,34709
33052,14121,34697
33096,14131,34711
33096,14146,34405
33188,14205,34663
33212,14199,34663
33156,14238,34601
33121,14181,34658
33102,14165,34695
33040,14093,34627
33037,14053,34573
33076,14132,34724
33104,14134,34735
33092,14159,34671
33176,14257,34617
33166,14231,34555
33164,14210,34460
33148,14167,34636
33096,14158,34556
32996,14090,34612
33032,14067,34673
33057,14113,34549
33124,14124,34317
33168,14164,34615
33176,14255,34489
33108,14246,34727
33056,14212,34551
32985,14229,34620
33000,14165,34494
33020,14116,34284
33025,14077,34590
33036,14136,34577
33061,14145,34512
33100,14191,34556
33136,14214,34669
33121,14235,34669
33080,14273,34559
33068,14217,34405
33024,14157,34567
32972,14113,34461
32964,14151,34523
32984,14117,34432
33036,14157,34633
33052,14175,34495
33084,14281,34404
33124,14261,34260
33098,14245,34557
33024,14194,34473
32956,14149,34634
32896,14105,34455
32860,14093,34541
32928,14163,34412
32992,14172,34629
33100,14213,34452
33108,14236,34517
33124,14248,34458
33068,14252,34421
33056,14207,34589
32960,14156,34341
32916,14118,34468
32908,14155,34497
32928,14153,34452
32985,14177,34365
33014,14193,34437
33018,14241,34461
33010,14255,34374
33028,14306,34132
33029,14249,34340
32956,14185,34469
32921,14124,34468
32853,14111,34273
32856,14213,34343
32884,14188,34276
32864,14223,34318
32856,14255,34335
32844,14261,34207
32828,14347,34279
32816,14241,34261
32772,14193,34223
32696,14133,34191
32680,14147,34183
32668,14157,34199
32720,14164,34278
32772,14276,34089
32792,14309,34180
32788,14308,34103
32749,14270,34151
32680,14218,34229
32614,14246,34033
32484,14174,34107
32416,14139,34088
32421,14151,34138
32468,14172,34065
32476,14276,33895
32480,14314,34052
32472,14310,34080
32452,14288,33951
32424,14245,34020
32368,14194,33992
32324,14167,33988
32268,14127,33740
32264,14204,33967
32348,14191,33948
32372,14215,33921
32412,14324,33849
32352,14303,34032
32308,14281,33919
32240,14235,33773
32222,14192,33843
32108,14147,33935
32072,14188,33934
32092,14181,33748
32164,14197,33829
32212,14241,33743
32368,14271,33912
32432,14348,33735
32424,14289,33493
32428,14253,33732
32392,14205,33615
32380,14160,33828
32381,14190,33639
32380,14181,33415
32416,14214,33669
32388,14231,33527
32448,14284,33748
32440,14343,33533
32464,14297,33345
32469,14257,33598
32376,14207,33593
32348,14186,33549
32416,14150,33500
32372,14165,33610
32392,14258,33652
32464,14291,33492
32500,14313,33247
32476,14301,33476
32404,14348,33479
32356,14283,33461
32340,14224,33381
32328,14180,33495
32304,14153,33353
32352,14228,33174
32432,14232,33447
32496,14262,33361
32532,14302,33292
32448,14306,33477
32364,14294,33364
32312,14267,33185
32244,14309,33335
32192,14218,33395
32132,14187,33476
32148,14173,33391
32185,14210,33219
32288,14246,33340
32346,14340,33281
32352,14324,33188
32340,14327,33413
32288,14269,33369
32236,14225,33031
32200,14233,33268
32212,14186,33236
32230,14191,33341
32280,14215,33341
32313,14255,33248
32350,14357,33133
32404,14343,32961
32432,14323,33216
32448,14271,33199
32429,14277,33063
32380,14217,33281
32356,14188,33078
32405,14195,33146
32504,14217,33141
32592,14315,32996
32672,14343,33209
32701,14348,33060
32653,14313,32944
32663,14283,33059
32688,14306,33031
32612,14223,32949
32664,14183,32974
32694,14195,32892
32754,14325,33100
32812,14327,32988
32841,14339,32903
32908,14343,32825
32896,14321,32823
32856,14328,32701
32836,14253,32679
32836,14265,32638
32800,14219,32840
32800,14228,32784
32836,14239,32757
32885,14274,32716
32888,14382,32877
32952,14376,32740
32880,14352,32572
32896,14321,32684
32836,14279,32708
32760,14215,32768
32756,14201,32516
32744,14216,32616
32724,14249,32690
32836,14281,32628
32904,14399,32527
32936,14401,32314
32960,14374,32544
32872,14327,32388
32568,14290,32612
32300,14226,32397
32144,14209,32365
31956,14249,32188
31764,14272,32412
31588,14297,32384
31428,14422,32319
31262,14396,32412
31216,14371,32342
31210,14316,32223
31172,14375,32036
31112,14279,32259
31332,14244,32228
31576,14253,32119
31852,14293,32093
32008,14308,32063
32040,14426,32219
32068,14395,32226
31905,14374,32187
31728,14327,32068
31720,14351,31950
32052,14279,31790
32940,14256,31992
34352,14260,31845
35820,14270,31915
36953,14308,31964
37388,14433,31845
37236,14403,31724
36780,14398,31815
36236,14336,31701
35692,14301,31745
35124,14334,31814
34572,14265,31784
33996,14265,31734
33608,14284,31519
33316,14400,31384
33208,14420,31548
33168,14412,31516
33135,14375,31492
33060,14436,31447
32992,14347,31311
32920,14278,31509
32840,14253,31348
32846,14261,31145
32874,14358,31129
32916,14373,31303
32952,14399,31274
32989,14410,31221
32993,14395,31116
32952,14405,31239
32900,14333,31184
32856,14335,31271
32820,14274,31169
32800,14279,31013
32828,14375,31005
32908,14404,31074
32932,14435,31041
32944,14429,31148
32920,14404,31018
32876,14403,30919
32728,14342,30790
32639,14289,30985
32677,14318,30959
32695,14308,30949
32724,14359,30844
32772,14407,30916
32800,14475,31013
32813,14488,30793
32840,14463,30895
32820,14399,30836
32804,14359,30847
32748,14293,30943
32672,14372,30774
32676,14349,30628
32744,14343,30812
32840,14375,30784
32886,14417,30916
32912,14473,30845
32888,14455,30672
32806,14394,30610
32772,14357,30774
32744,14375,30738
32732,14317,30711
32768,14325,30644
32856,14367,30831
32912,14404,30596
32919,14444,30462
32896,14455,30640
32879,14436,30529
32805,14466,30708
32781,14405,30500
32816,14336,30502
32816,14300,30449
32808,14404,30341
32896,14407,30540
32984,14434,30517
33004,14469,30566
32929,14471,30493
32872,14445,30356
32840,14470,30231
32762,14412,30406
32688,14335,30385
32672,14311,30329
32718,14381,30313
32708,14390,30343
32692,14406,30245
32705,14444,30120
32712,14518,30082
32680,14503,30175
32625,14449,30073
32524,14405,30220
32424,14355,30047
32392,14319,29947
32472,14396,29816
32492,14388,29989
32572,14433,29844
32608,14461,30008
32584,14479,29847
32540,14540,29649
32508,14493,29836
32480,14445,29701
32428,14386,29872
32360,14356,29766
32364,14362,29608
32444,14379,29498
32488,14462,29455
32548,14490,29636
32600,14495,29599
32614,14484,29614
32604,14446,29615
32544,14469,29535
32463,14411,29393
32420,14383,29279
32414,14374,29469
32476,14396,29447
32508,14425,29431
32493,14477,29377
32500,14548,29268
32488,14513,29403
32428,14473,29432
32380,14417,29412
32285,14413,29340
32292,14365,29156
32356,14366,29059
32420,14395,29243
32509,14486,29221
32572,14511,29181
32560,14501,29153
32538,14536,28960
32561,14477,29136
32500,14453,29133
32424,14384,29072
32404,14360,29012
32453,14372,29173
32544,14404,28949
32577,14522,28920
32592,14546,28841
32582,14575,28929
32608,14537,29005
32524,14499,29061
32436,14439,28949
32424,14389,28820
32436,14428,28802
32428,14399,28773
32484,14417,28783
32568,14447,28739
32672,14556,28652
32736,14555,28829
32748,14528,28795
32780,14482,28769
32688,14441,28676
32668,14445,28748
32708,14395,28852
32760,14403,28820
32881,14417,28660
33064,14524,28580
33101,14527,28569
33088,14525,28585
33111,14559,28548
33176,14500,28616
33220,14453,28593
33164,14434,28713
33214,14391,28605
33284,14396,28585
33360,14480,28567
33476,14519,28407
33586,14547,28363
33616,14556,28512
33594,14534,28508
33516,14500,28458
33512,14509,28357
33496,14438,28421
33452,14391,28331
33456,14474,28529
33540,14457,28423
33628,14495,28269
33700,14523,28191
33696,14596,28368
33668,14547,28335
33605,14504,28240
33524,14516,28297
33548,14432,28264
33544,14403,28223
33529,14466,28147
33480,14468,28319
33564,14509,28232
33656,14535,28093
33637,14631,28043
33564,14577,27969
33524,14525,28128
33508,14489,28113
33471,14429,28093
33480,14460,28073
33512,14429,27996
33516,14455,27990
33552,14570,28113
33580,14581,27885
33640,14581,27787
33638,14577,27975
33568,14524,27948
33516,14528,27911
33450,14447,27911
33437,14423,27975
33420,14428,27833
33428,14462,27700
33456,14605,27868
33516,14594,27773
33536,14597,27950
33500,14577,27720
33472,14566,27712
33380,14501,27853
33292,14447,27783
