ECG,EDA,RR
33096,17428,25681
33097,17444,25739
33128,17506,25681
33112,17511,25740
33124,17580,25668
33173,17653,25729
33132,17594,25660
33120,17597,25824
33100,17525,25807
33036,17496,25729
33060,17490,25691
33012,17461,25792
33032,17484,25633
33080,17546,25744
33149,17617,25612
33204,17619,25685
33144,17657,25670
33124,17591,25784
33134,17571,25671
33104,17542,25757
33052,17473,25639
33021,17497,25779
33100,17505,25748
33098,17589,25607
33172,17607,25663
33208,17641,25644
33240,17669,25638
33180,17672,25791
33101,17581,25752
33076,17566,25656
33040,17493,25737
33028,17519,25562
33068,17527,25652
33056,17587,25580
33096,17660,25665
33112,17661,25584
33081,17671,25700
33032,17665,25623
32992,17601,25711
32967,17567,25619
32956,17591,25564
32925,17530,25749
32964,17604,25705
33050,17603,25735
33120,17690,25662
33112,17705,25544
33088,17731,25716
33012,17660,25687
32906,17647,25522
32956,17587,25575
32900,17572,25645
32945,17555,25684
32961,17582,25486
32952,17639,25524
32944,17675,25495
33025,17725,25649
33048,17719,25594
33032,17708,25612
32900,17701,25575
32812,17612,25429
32820,17598,25527
32884,17628,25406
32964,17605,25551
32936,17657,25581
32916,17743,25412
32924,17745,25530
32952,17769,25519
32933,17720,25416
32960,17704,25507
32884,17663,25404
32776,17605,25335
32832,17631,25439
32864,17628,25332
32900,17687,25412
32949,17728,25324
32984,17767,25449
32988,17783,25373
32948,17785,25452
32876,17708,25351
32876,17679,25429
32881,17655,25487
32852,17624,25343
32852,17673,25345
32932,17719,25294
32936,17753,25445
32977,17792,25469
33008,17828,25431
32928,17771,25375
32832,17751,25431
32917,17716,25453
32892,17649,25302
32877,17671,25452
32920,17707,25268
32968,17718,25321
32964,17777,25246
32972,17839,25394
32952,17893,25270
33013,17811,25409
32980,17807,25258
32965,17730,25316
32894,17708,25249
32871,17670,25394
32860,17723,25280
32949,17765,25413
33000,17799,25416
33000,17839,25261
33076,17872,25428
33097,17849,25465
33048,17786,25436
32964,17765,25452
32920,17726,25294
32904,17764,25412
32916,17732,25301
32976,17785,25455
32992,17890,25475
32984,17862,25287
33052,17876,25433
33018,17890,25307
32994,17814,25461
32952,17776,25409
32948,17798,25464
32944,17732,25336
32879,17768,25468
32888,17793,25316
32912,17853,25381
32969,17884,25322
32968,17917,25389
32932,17907,25331
32868,17839,25419
32816,17813,25357
32761,17773,25497
32800,17793,25529
32804,17773,25378
32824,17833,25473
32868,17884,25538
32968,17916,25500
32912,17930,25405
32872,17907,25504
32792,17887,25380
32744,17833,25416
32773,17770,25422
32720,17785,25508
32704,17844,25490
32721,17846,25527
32832,17919,25468
32928,17938,25520
32924,17966,25470
32880,17973,25514
32848,17902,25356
32812,17863,25510
32732,17841,25527
32672,17799,25516
32772,17828,25553
32800,17913,25523
32813,17916,25539
32880,17985,25390
32916,17972,25412
32992,17957,25381
33012,17927,25553
32892,17864,25394
32879,17847,25541
32792,17821,25506
32832,17860,25515
32848,17919,25398
32984,17938,25532
33092,18004,25498
33040,18013,25406
32988,18018,25332
32953,17939,25410
32829,17904,25335
32888,17892,25469
32896,17843,25340
32860,17889,25495
32868,17964,25380
32888,17964,25473
32968,18047,25343
32992,18023,25401
33008,18011,25332
32972,17965,25501
32860,17937,25523
32828,17913,25520
32836,17865,25508
32814,17909,25381
32896,17966,25516
32992,18042,25546
33052,18041,25382
33052,18065,25511
32952,18076,25364
32896,17998,25457
32880,17967,25482
32832,17915,25405
32780,17917,25564
32801,17957,25465
32919,18010,25549
32900,18012,25481
32916,18060,25564
32988,18074,25575
32969,18064,25429
32852,18043,25504
32788,17991,25507
32680,17967,25449
32584,17919,25633
32452,17962,25624
32264,18040,25495
32048,18053,25525
31818,18129,25494
31584,18098,25631
31345,18101,25689
31164,18071,25525
31057,18000,25607
31056,17971,25508
31148,17975,25572
31252,17966,25524
31384,18010,25696
31633,18064,25728
32094,18132,25554
32404,18183,25599
32408,18099,25661
32448,18071,25604
32302,18029,25628
31936,18012,25556
31844,17963,25724
32120,17993,25661
32824,18060,25735
33968,18071,25744
35397,18130,25583
36528,18143,25766
37104,18159,25662
36996,18077,25798
36516,18037,25632
35929,18000,25792
35364,18004,25702
34840,18046,25743
34404,18040,25720
33996,18087,25766
33487,18151,25678
33140,18194,25812
32865,18135,25845
32708,18119,25760
32596,18078,25761
32517,18013,25708
32468,18009,25890
32468,18044,25949
32516,18060,25925
32513,18117,25975
32488,18191,25956
32457,18174,25914
32416,18167,25829
32381,18165,25913
32344,18079,25871
32332,18058,26095
32300,18016,26058
32288,18063,25959
32316,18081,26119
32372,18151,26038
32396,18204,26170
32412,18193,26202
32404,18193,26177
32404,18172,26217
32432,18093,26148
32344,18060,26289
32348,18077,26197
32388,18054,26375
32388,18118,26277
32396,18140,26368
32444,18212,26348
32481,18236,26537
32424,18189,26580
32304,18177,26631
32292,18155,26676
32292,18073,26714
32248,18073,26796
32305,18077,26711
32334,18126,26861
32391,18189,26756
32396,18279,26843
32378,18229,26804
32376,18222,26980
32380,18213,27023
32356,18138,27076
32328,18090,27111
32345,18097,27156
32384,18090,27143
32380,18153,27227
32404,18215,27262
32404,18238,27296
32438,18254,27379
32448,18279,27367
32396,18199,27239
32340,18165,27431
32284,18159,27324
32268,18089,27519
32264,18120,27589
32296,18161,27445
32336,18237,27602
32408,18255,27656
32392,18271,27537
32356,18259,27684
32324,18221,27800
32288,18191,27789
32264,18164,27708
32220,18116,27693
32248,18141,27873
32294,18184,27963
32333,18257,27921
32340,18331,27894
32350,18348,27984
32300,18333,27862
32192,18250,27975
32188,18225,27924
32116,18146,28015
32105,18156,27958
32104,18183,28112
32169,18196,28014
32252,18254,28213
32260,18353,28087
32224,18316,28217
32270,18311,28349
32273,18268,28204
32208,18221,28316
32140,18189,28265
32132,18159,28358
32072,18182,28325
32176,18233,28517
32164,18320,28533
32204,18319,28412
32164,18351,28602
32108,18366,28520
32064,18285,28679
31916,18266,28621
31892,18237,28786
31880,18183,28885
31896,18209,28711
31992,18280,28964
32066,18291,28935
32066,18354,29040
32024,18422,29023
31988,18361,28968
31952,18341,29067
31936,18281,29007
31896,18237,29184
31840,18250,29284
31864,18231,29068
31912,18276,29268
31948,18335,29348
31984,18418,29185
31969,18396,29377
31928,18414,29441
31824,18363,29477
31788,18361,29532
31804,18277,29565
31825,18262,29607
31831,18259,29703
31860,18317,29514
31900,18361,29695
31953,18394,29565
31982,18429,29861
31988,18401,29829
31993,18380,29902
31924,18383,29920
31896,18295,29991
31870,18300,29976
31936,18288,29924
32000,18365,30041
32092,18373,30144
32128,18421,30068
32157,18453,30116
32136,18468,30148
32113,18399,30244
32136,18379,30248
32184,18327,30363
32248,18287,30301
32312,18323,30573
32353,18343,30564
32448,18403,30519
32532,18471,30588
32538,18463,30530
32580,18449,30669
32620,18424,30748
32664,18389,30837
32676,18358,30967
32660,18311,30938
32744,18321,31074
32892,18375,30838
32988,18405,31172
33072,18485,31143
33108,18524,31199
33084,18471,31239
33100,18467,31161
33048,18404,31239
33016,18357,31206
33052,18345,31349
33088,18386,31383
33184,18382,31509
33200,18439,31612
33152,18519,31653
33206,18500,31651
33188,18519,31657
33208,18460,31610
33143,18432,31977
33096,18419,31945
33124,18364,31983
33148,18392,32001
33200,18399,32021
33252,18452,32111
33320,18532,32135
33328,18521,32185
33292,18521,32263
33272,18516,32348
33157,18439,32377
33104,18401,32497
33100,18421,32518
33088,18397,32709
33156,18471,32741
33240,18481,32870
33289,18519,32861
33284,18557,32759
33248,18529,33116
33172,18510,33084
33172,18522,33156
33124,18420,33199
33084,18419,33194
33088,18452,33321
33180,18439,33389
33236,18497,33497
33226,18561,33583
33240,18556,33634
33248,18565,33647
33228,18524,33665
33188,18484,33593
33136,18458,33926
33072,18407,33733
33016,18439,34183
33044,18515,34153
33098,18509,34240
33124,18556,34254
33148,18596,34262
33156,18579,34455
33080,18550,34510
33016,18537,34671
33006,18450,34676
32968,18447,34711
33020,18460,34721
33088,18521,34894
33144,18516,34919
33200,18585,34948
33188,18609,35117
33092,18604,35173
33074,18577,35279
33016,18565,35260
32985,18535,35442
32982,18515,35380
32976,18456,35631
33024,18494,35390
33082,18540,35678
33140,18606,35924
33181,18644,35803
33120,18601,35921
33040,18571,36136
33036,18543,36040
32958,18498,36193
33021,18498,36263
33084,18468,36255
33045,18504,36417
33096,18567,36581
33137,18634,36265
33164,18629,36593
33168,18625,36732
33132,18607,36612
33084,18594,36761
33052,18501,36917
32988,18488,36957
33053,18501,37088
33052,18519,36871
33072,18569,37039
33096,18619,37062
33128,18660,37148
33132,18678,37223
33128,18615,37251
33048,18571,37294
32976,18522,37358
32964,18505,37487
32988,18564,37602
33076,18541,37765
33124,18599,37412
33176,18634,37638
33156,18651,37815
33180,18660,37876
33140,18661,38029
33108,18581,37666
33064,18540,37924
32996,18525,38001
32996,18509,38049
33056,18557,37882
33049,18583,38364
33112,18653,38293
33137,18665,38274
33088,18683,38261
33052,18628,38357
33064,18597,38457
32992,18575,38637
32988,18511,38589
32956,18531,38729
32948,18590,38689
33020,18593,38861
33106,18675,38772
33128,18674,38951
33190,18691,38872
33156,18644,38992
33080,18611,38969
33046,18587,39132
33000,18525,38719
32984,18559,38973
32996,18602,39077
33020,18607,39175
33048,18670,39363
33088,18714,39026
33024,18681,39191
32992,18668,39139
32940,18646,39269
32909,18560,39341
32828,18543,39381
32864,18609,39209
32916,18585,39589
32956,18655,39607
33020,18669,39740
33046,18713,39687
32956,18724,39796
32884,18661,39749
32820,18635,39791
32816,18622,39742
32768,18555,39767
32784,18568,39773
32824,18588,39533
32944,18648,40023
32980,18721,39956
32961,18726,39916
32906,18737,39887
32885,18683,40036
32789,18672,39921
32724,18588,40231
32753,18573,40092
32792,18565,40076
32840,18613,40193
32945,18637,40129
32992,18726,40216
32970,18733,40165
32943,18767,40375
32780,18715,40258
32728,18701,39992
32708,18618,40451
32745,18577,40349
32768,18586,40349
32848,18666,40296
32920,18662,40135
32940,18769,40503
32972,18759,40376
32920,18773,40060
32824,18717,40604
32800,18661,40455
32768,18627,40151
32804,18620,40644
32744,18597,40532
32804,18643,40579
32848,18660,40538
32925,18735,40501
32880,18751,40612
32728,18758,40605
32637,18719,40599
32568,18695,40484
32476,18685,40220
32440,18605,40745
32532,18647,40637
32668,18635,40783
32905,18711,40652
32928,18726,40804
32944,18780,40669
32921,18756,40711
32888,18744,40663
32776,18722,40797
32721,18639,40676
32668,18613,40801
32676,18629,40645
32708,18636,40816
32816,18687,40668
32832,18737,40740
32844,18771,40431
32941,18772,40559
32984,18783,40552
32948,18701,40494
32884,18655,40529
32868,18647,40513
32884,18614,40508
32972,18658,40463
33052,18724,40455
33024,18740,40463
33028,18787,40517
33024,18799,40350
32892,18745,40204
32832,18704,40212
32836,18660,40167
32825,18659,40172
32824,18608,40063
32868,18662,40094
32924,18732,39919
32984,18741,39858
33000,18789,39556
32992,18815,39546
32916,18748,39628
32756,18716,39500
32664,18687,39441
32565,18661,39268
32556,18622,39213
32520,18660,39236
32520,18734,38741
32512,18746,38836
32468,18788,38784
32352,18821,38677
32456,18754,38641
32432,18734,38495
32388,18709,38420
32352,18647,37940
32356,18626,38292
32317,18660,38052
32348,18696,38061
32336,18753,37537
32328,18799,37752
32296,18779,37639
32184,18775,37508
32068,18717,37383
32025,18681,37228
31984,18663,37165
31904,18628,37047
31972,18667,36972
32064,18712,36974
32165,18782,36533
32212,18780,36541
32168,18797,36456
32117,18817,36340
32096,18718,36260
32040,18677,36256
32092,18673,36238
32192,18635,36041
32148,18685,36037
32172,18705,35572
32225,18769,35766
32320,18817,35377
32376,18786,35500
32324,18785,35390
32202,18750,35332
32168,18709,35284
32220,18639,35212
32336,18642,35004
32440,18713,34904
32608,18709,34823
32797,18788,34608
32928,18791,34893
32976,18815,34692
33036,18797,34719
33044,18725,34532
33116,18688,34532
33164,18661,34095
33204,18664,34156
33300,18663,34041
33345,18703,33977
33444,18770,33765
33518,18791,33945
33520,18807,33799
33404,18789,33716
33404,18778,33613
33344,18678,33626
33256,18658,33414
33192,18636,33225
33252,18685,33183
33264,18735,33063
33332,18753,32994
33412,18815,32917
33340,18811,32685
