ECG,EDA,RR
32736,13559,27923
32784,13551,27954
32804,13536,28124
32752,13433,28207
32741,13422,28053
32800,13473,27968
32908,13461,28060
33004,13508,28135
33100,13576,28200
33145,13651,28046
33140,13580,28199
33100,13575,28238
33084,13543,28295
33097,13569,28325
33104,13429,28391
33144,13445,28333
33204,13503,28218
33252,13550,28510
33316,13649,28458
33380,13613,28298
33372,13608,28532
33336,13597,28447
33344,13629,28342
33332,13483,28415
33301,13463,28638
33348,13507,28524
33428,13607,28352
33504,13545,28601
33494,13624,28449
33504,13642,28564
33418,13676,28414
33368,13693,28559
33312,13549,28433
33318,13492,28535
33309,13482,28496
33412,13510,28470
33444,13555,28309
33364,13634,28492
33316,13622,28449
33428,13664,28436
33488,13656,28375
33548,13653,28429
33524,13571,28345
33448,13534,28345
33400,13510,28184
33304,13550,28383
33392,13605,28245
33360,13585,28032
33492,13655,28116
33397,13716,28226
33232,13664,28055
33176,13631,27847
33380,13599,28106
33216,13562,27936
33317,13559,27924
33404,13523,27765
33456,13564,27724
33452,13635,27695
33572,13707,27727
33308,13728,27492
33306,13686,27705
33328,13674,27569
33316,13637,27399
33124,13625,27588
33292,13537,27369
33257,13560,27391
33332,13667,27202
33413,13631,27375
33428,13701,27224
33345,13724,27076
33364,13713,27117
33364,13692,27052
33320,13687,26863
33184,13691,26991
33088,13553,26855
33132,13593,26676
33196,13624,26791
33332,13752,26576
33484,13726,26588
33214,13749,26421
33140,13765,26334
33190,13752,26342
33156,13652,26095
33176,13607,26109
33040,13596,26143
33040,13662,25932
33080,13625,25785
33120,13672,25872
33265,13755,25646
33256,13774,25495
33230,13806,25478
33168,13711,25404
33156,13669,25361
33000,13621,25111
33144,13625,25201
33284,13643,25060
33504,13715,24966
33444,13689,24734
33492,13776,24826
33573,13818,24701
33668,13879,24456
33648,13730,24449
33524,13713,24421
33480,13685,24325
33268,13617,24130
32681,13656,24015
32792,13701,23877
33144,13783,23979
33332,13764,23744
33388,13804,23742
33364,13861,23512
33320,13777,23368
33364,13754,23442
33340,13721,23271
33296,13631,23220
33373,13652,22942
33596,13700,23038
33664,13780,22821
33632,13852,22783
33508,13811,22511
33432,13803,22605
33324,13789,22361
33184,13755,22233
32956,13710,22215
32964,13721,22100
32644,13670,21880
32662,13703,21785
32844,13770,21665
33228,13824,21519
33320,13873,21559
33124,13873,21412
33189,13850,21237
33200,13748,21111
33132,13726,21071
33088,13710,20811
33056,13756,20783
33068,13718,20670
33116,13779,20607
33180,13869,20324
33194,13851,20415
33165,13843,20261
33100,13838,20015
33036,13788,20068
33044,13754,19903
33037,13799,19710
33022,13701,19729
33034,13751,19556
33060,13805,19324
33092,13852,19329
33082,13885,19058
33096,13875,19125
33038,13844,18980
32996,13812,18899
32944,13751,18812
32880,13738,18628
32929,13761,18601
32893,13780,18361
32904,13861,18353
32988,13951,18227
33061,13879,18088
33120,13874,18020
33056,13844,17781
32977,13829,17757
32892,13775,17552
32869,13748,17569
32956,13764,17345
32944,13797,17380
32952,13844,17172
33004,13928,17152
33024,13994,17005
33008,13893,17016
32913,13869,16892
32852,13836,16681
32824,13801,16696
32832,13831,16605
32832,13755,16552
32884,13793,16446
32892,13847,16279
32954,13939,16309
32944,13919,16200
32896,13919,16089
32896,13913,16075
32792,13836,15980
32745,13799,15868
32700,13774,15909
32677,13782,15815
32672,13831,15689
32772,13908,15686
32862,13910,15644
32928,13932,15575
32892,13933,15597
32840,13917,15525
32732,13880,15509
32873,13828,15469
32813,13805,15342
32769,13812,15408
32724,13887,15379
32768,13871,15292
32920,13945,15364
32904,13995,15316
33004,13975,15320
33144,13994,15268
33006,13977,15192
32960,13823,15253
32689,13791,15237
32672,13805,15272
32817,13865,15223
33068,13902,15164
33082,13957,15193
33132,14006,15175
33044,14033,15164
32982,13924,15192
32976,13891,15201
32904,13840,15140
32672,13821,15238
32733,13877,15210
32710,13858,15183
32724,13921,15142
32921,13997,15239
32940,14061,15223
32888,13975,15152
32852,13944,15245
32840,13915,15235
32808,13889,15172
32738,13925,15254
32676,13833,15241
32856,13883,15197
32940,13937,15268
32904,14023,15210
32889,14071,15266
32832,14084,15240
32768,13952,15182
32740,13927,15242
32692,13896,15212
32688,13911,15183
32648,13847,15168
32644,13893,15202
32696,13941,15144
32624,13997,15195
32764,14024,15195
32660,14052,15199
32772,14025,15204
32748,13930,15149
32660,13870,15221
32588,13853,15203
32560,13885,15140
32672,13912,15225
32678,13994,15197
32693,14000,15203
32724,14048,15148
32696,14058,15241
32656,13978,15223
32532,13964,15193
32504,13917,15214
32548,13921,15237
32446,13959,15186
32415,13909,15288
32548,13951,15236
32568,14019,15228
32640,14090,15282
32684,14026,15301
32708,14011,15308
32684,13982,15250
32664,14012,15366
32604,13875,15354
32632,13912,15286
32668,13959,15363
32752,14039,15348
32775,14029,15418
32858,14053,15380
32764,14044,15434
32704,14044,15383
32644,14022,15427
32608,13976,15487
32593,13894,15454
32532,13902,15530
32600,13946,15520
32632,14005,15497
32712,14083,15543
32728,14135,15502
32748,14145,15577
32668,14021,15508
32576,13985,15642
32500,13949,15617
32536,13933,15551
32412,13927,15627
32469,13999,15649
32457,14044,15593
32605,14050,15719
32741,14091,15696
32636,14086,15671
32564,14052,15709
32532,14023,15716
32544,14003,15757
32542,13914,15729
32600,13940,15695
32676,14025,15764
32608,14007,15796
32720,14086,15816
32621,14129,15767
32760,14087,15893
32760,14052,15886
32558,14021,15850
32704,13981,15951
32604,13977,15941
32380,13993,15856
32418,14037,15956
32564,14125,15984
32616,14080,15924
32776,14108,16012
32733,14100,15969
32680,14065,16076
32568,14025,16036
32432,13978,16113
32288,13953,16044
32224,13975,16176
32160,14020,16180
32086,14054,16140
31972,14150,16221
31724,14188,16219
31418,14117,16269
31088,14101,16300
30881,14058,16227
30844,14003,16319
30860,13988,16274
30912,14020,16370
31072,14015,16411
31340,14056,16333
31824,14127,16436
32364,14180,16433
32320,14183,16483
32372,14103,16511
32656,14061,16452
32485,14033,16532
32342,14006,16538
32506,14043,16590
32852,14100,16614
33664,14069,16548
34748,14134,16684
35856,14165,16687
36632,14203,16626
36782,14117,16712
36444,14069,16698
35824,14053,16715
35348,14036,16792
34868,14001,16843
34388,14064,16742
33968,14124,16926
33468,14143,16923
33133,14172,16830
32916,14170,16958
32740,14180,17006
32637,14091,17017
32668,14037,17055
32505,14027,17025
32468,14046,17165
32560,14117,17166
32484,14101,17070
32396,14152,17187
32560,14182,17175
32624,14188,17328
32489,14169,17304
32426,14161,17262
32432,14159,17409
32394,14024,17417
32336,14054,17327
32520,14083,17437
32578,14149,17440
32485,14164,17478
32400,14207,17537
32376,14210,17613
32360,14205,17591
32310,14114,17654
32296,14087,17647
32272,14053,17733
32292,14104,17784
32340,14077,17795
32397,14121,17850
32324,14204,17757
32264,14211,17956
32236,14201,17954
32184,14175,17901
32181,14142,17996
32214,14113,17982
32116,14109,18121
32119,14056,18127
32136,14093,18084
32248,14135,18188
32209,14191,18075
32240,14228,18213
32224,14229,18297
32188,14214,18183
32196,14234,18392
32128,14087,18393
32068,14074,18266
32097,14079,18413
32288,14133,18373
32156,14202,18559
32200,14201,18532
32212,14243,18448
32296,14244,18597
32222,14239,18651
32191,14200,18641
32113,14184,18711
32092,14074,18578
32068,14099,18724
32100,14132,18800
32194,14189,18712
32256,14277,18827
32332,14247,18769
32356,14248,18789
32352,14226,18950
32272,14208,18919
32288,14176,18815
32304,14087,18964
32320,14095,18932
32348,14129,18980
32340,14184,18995
32364,14267,18928
32336,14319,19066
32320,14245,19048
32244,14225,18911
32198,14188,19044
32092,14145,18959
32084,14149,19089
32104,14153,19061
32112,14213,18955
32105,14184,19058
32124,14243,18904
32134,14277,18989
32100,14278,18961
32089,14244,19060
32096,14225,19023
32068,14202,18872
32048,14105,18980
32056,14120,18812
32028,14169,19011
32044,14253,18960
32000,14353,18799
32028,14286,18878
31936,14292,18913
31973,14276,18733
32056,14275,18855
32028,14149,18871
32072,14127,18770
32004,14157,18782
32112,14262,18824
32104,14204,18709
32100,14277,18777
32140,14317,18673
32204,14288,18703
32132,14252,18719
32166,14230,18741
32100,14217,18577
32078,14220,18673
32070,14138,18650
32132,14190,18729
32264,14239,18687
32268,14316,18591
32088,14363,18650
32012,14360,18520
32174,14260,18598
32092,14233,18645
32053,14189,18655
32100,14202,18572
32128,14154,18620
32148,14212,18476
32212,14256,18559
32244,14313,18602
32276,14370,18436
32316,14411,18531
32416,14278,18465
32268,14238,18567
32241,14193,18562
32329,14161,18583
32360,14197,18548
32292,14223,18396
32320,14287,18472
32360,14343,18361
32448,14343,18502
32512,14353,18496
32532,14303,18404
32456,14295,18485
32420,14272,18459
32424,14174,18284
32460,14185,18396
32500,14231,18291
32560,14271,18360
32568,14342,18252
32663,14372,18340
32732,14353,18301
32764,14325,18383
32737,14277,18300
32688,14235,18336
32688,14244,18327
32746,14272,18156
32820,14321,18252
32888,14271,18292
32997,14331,18132
33028,14367,18310
32998,14381,18268
33052,14341,18124
33064,14296,18239
33008,14274,18239
33012,14198,18257
32972,14207,18117
33096,14237,18201
33236,14290,18238
33340,14357,18137
33372,14399,18209
33350,14389,18128
33374,14349,18253
33354,14307,18254
33332,14279,18138
33340,14247,18255
33365,14268,18162
33400,14253,18307
33468,14292,18287
33476,14361,18146
33496,14402,18317
33496,14419,18289
33440,14403,18212
33384,14397,18351
33324,14251,18301
33276,14238,18274
33240,14268,18300
33276,14307,18349
33324,14380,18269
33388,14361,18404
33404,14413,18386
33376,14415,18261
33320,14398,18369
33270,14369,18358
33248,14264,18325
33132,14232,18425
33116,14262,18294
33128,14280,18408
33124,14343,18301
33140,14385,18428
33158,14441,18405
33158,14467,18496
33084,14363,18513
33032,14324,18368
33004,14284,18524
33004,14269,18493
32941,14277,18489
32984,14332,18554
33034,14389,18463
33116,14383,18623
33148,14410,18607
33156,14407,18476
33100,14385,18589
33032,14366,18567
32976,14303,18694
32940,14279,18672
32954,14309,18529
33004,14381,18656
33028,14343,18721
33030,14421,18570
33084,14448,18692
33088,14437,18751
33072,14433,18613
33028,14425,18776
32988,14298,18755
32960,14296,18721
32976,14316,18636
32988,14308,18655
33028,14373,18828
33064,14437,18761
33080,14522,18799
33073,14435,18689
33021,14416,18689
33028,14415,18813
32989,14311,18777
32928,14314,18815
32950,14287,18813
32996,14346,18710
33049,14469,18649
33092,14437,18737
33116,14489,18837
33084,14448,18796
33045,14441,18781
32964,14408,18807
32968,14431,18761
32909,14300,18642
32876,14316,18837
32948,14363,18807
32960,14408,18691
33052,14501,18785
33113,14498,18784
33116,14471,18828
33100,14444,18732
33068,14430,18799
33020,14405,18803
33040,14316,18870
33056,14323,18721
33063,14365,18861
33056,14415,18848
33072,14473,18801
33108,14545,18966
33192,14481,18964
33098,14461,18914
33012,14442,18847
32926,14466,19069
32869,14359,19020
32896,14385,19088
32970,14374,19066
33030,14423,19067
33060,14494,19116
33064,14535,19214
33040,14501,19169
32970,14471,19274
32904,14434,19269
32888,14398,19361
32908,14396,19299
32928,14357,19413
32968,14397,19433
32974,14438,19455
33036,14501,19624
33056,14539,19589
33020,14587,19679
32984,14491,19752
32956,14466,19677
32904,14407,19816
32860,14415,19918
32844,14479,19848
32858,14406,20037
32916,14447,20125
32966,14507,20004
32980,14546,20269
32960,14561,20300
32870,14531,20317
32837,14503,20455
32798,14511,20512
32728,14402,20598
32789,14404,20577
32864,14455,20702
32952,14532,20820
33008,14527,20900
33028,14582,20823
33004,14591,21088
32948,14579,21140
32932,14535,21053
32893,14524,21256
32864,14396,21396
32876,14418,21366
32904,14491,21383
32880,14483,21665
32900,14550,21650
32862,14591,21723
32800,14583,21740
32792,14580,21889
32809,14493,22070
32756,14468,22013
32748,14444,22276
32792,14479,22239
32845,14449,22432
32864,14517,22428
32896,14610,22445
32904,14575,22625
32848,14584,22791
32876,14604,22824
32844,14503,22953
32794,14475,22936
32822,14466,22977
32840,14428,23120
32905,14487,23315
32972,14540,23397
32988,14566,23398
33000,14599,23513
32996,14605,23683
32960,14603,23806
32916,14519,23761
32853,14495,24028
32852,14449,24124
32856,14477,24069
32908,14481,24335
32948,14528,24445
32994,14602,24378
32986,14639,24711
32894,14603,24769
32792,14580,24741
32776,14543,25031
32764,14523,25029
32736,14535,25076
32760,14457,25207
32808,14501,25542
32808,14571,25519
32860,14594,25713
32856,14649,25686
32912,14661,25839
32868,14661,25973
32796,14547,26064
32740,14496,26348
32704,14470,26445
32716,14501,26437
32796,14523,26769
32820,14564,26706
32864,14625,27040
32900,14675,27099
32844,14708,27082
32804,14603,27260
32822,14557,27465
32764,14507,27684
32717,14484,27726
32708,14507,27753
32752,14548,28049
32860,14622,28157
32892,14620,28167
32892,14647,28325
32920,14648,28446
32870,14628,28660
32836,14593,28736
32812,14555,28996
32812,14543,29054
32824,14500,29225
32828,14545,29229
32849,14587,29672
32900,14655,29732
32920,14705,29919
32916,14721,30006
32892,14623,30069
32848,14607,30388
32828,14569,30448
32760,14595,30510
32733,14510,30833
32776,14552,30919
32873,14604,31044
32960,14719,31333
33004,14676,31331
32936,14694,31296
32848,14654,31751
32776,14649,31799
32748,14646,31884
32764,14517,32076
32772,14527,32052
32820,14580,32533
32828,14618,32579
32880,14682,32677
32928,14710,32856
32960,14708,33020
32900,14703,33157
32879,14673,33287
32876,14557,33429
32885,14529,33501
32905,14551,33682
32936,14619,33927
32966,14617,34093
32948,14671,34107
32928,14728,34364
32880,14735,34508
32888,14716,34632
32952,14685,34820
32960,14619,34940
32940,14583,35211
32992,14591,35231
32960,14626,35484
32960,14663,35494
32988,14731,35745
33020,14774,35799
33029,14717,35868
32984,14697,36215
32904,14662,36207
32928,14623,36292
32932,14616,36570
32893,14579,36660
32904,14609,36876
32988,14658,36895
33046,14716,37012
33053,14759,37225
33044,14778,37356
33048,14764,37571
32976,14669,37676
32853,14626,37783
32852,14613,37980
32924,14616,38017
32964,14679,38132
33012,14779,38359
33024,14739,38475
33056,14790,38612
33052,14777,38701
33037,14765,38895
33032,14743,38999
32964,14641,39044
32940,14635,39399
32884,14631,39400
32764,14683,39674
32638,14723,39654
32532,14803,39809
32312,14831,39831
32052,14878,40140
31766,14756,40184
31412,14730,40410
31132,14682,40417
30904,14674,40495
30816,14728,40807
30872,14674,40820
30924,14742,41029
30984,14789,41071
31224,14853,41211
31534,14869,41317
31796,14775,41492
31909,14762,41452
31900,14703,41649
31697,14692,41732
31349,14703,41892
31312,14742,42033
31772,14807,42269
32932,14793,42268
34516,14825,42488
35942,14820,42456
36760,14786,42695
36944,14764,42717
36620,14732,42844
36100,14716,42828
35680,14687,43060
35237,14723,43127
34816,14773,43265
34452,14841,43063
34037,14899,43535
33685,14843,43634
33376,14812,43655
33074,14773,43700
32884,14721,43614
32756,14695,44069
32652,14724,44180
32612,14776,43986
32641,14780,44377
32640,14831,44512
32656,14881,44423
32656,14873,44615
32644,14844,44564
32588,14832,44880
32596,14788,45028
32620,14713,44887
32644,14717,45129
32624,14756,45110
32628,14805,45412
32664,14872,45526
32689,14981,45612
32620,14879,45748
32574,14860,45493
32545,14824,45913
32545,14815,46006
32568,14726,46124
32552,14730,46252
32552,14770,46324
32600,14810,46375
32684,14872,46493
32740,14902,46436
32736,14920,46751
32672,14892,46881
32604,14867,46902
32512,14833,46983
32436,14750,47102
32436,14815,47228
32448,14869,47293
32484,14831,47424
32560,14887,47509
32597,14919,47596
32612,14933,47636
32544,14911,47653
32452,14856,47783
32396,14804,47623
32416,14783,48065
32456,14810,48156
32544,14879,48177
32608,14847,48271
32629,14908,48269
32636,14942,48407
32628,14940,48420
32564,14923,48677
32432,14879,48708
32372,14823,48765
32344,14802,48668
32360,14825,49004
32396,14885,49124
32412,14868,49205
32448,14920,49293
32460,14972,49287
32428,14962,49415
32393,14960,49567
32356,14959,49596
32277,14917,49671
32229,14800,49628
32232,14806,49811
32224,14837,49876
32196,14878,49988
32216,14942,49965
32268,14967,50151
32297,14962,50116
32290,14936,50343
32204,14918,50486
32104,14857,50391
32060,14860,50637
32012,14887,50716
31984,14855,50601
31961,14919,50860
31988,14977,50927
32021,14996,50941
32030,15021,50988
31996,14953,50861
31932,14906,51207
31855,14870,51256
31800,14855,51335
31832,14868,51313
31874,14915,51335
31873,14965,51418
31864,15026,51162
31852,15001,51643
31840,14994,51696
31816,14966,51751
31692,14932,51812
31616,14901,51748
31560,14860,51900
31554,14868,51907
31564,14941,51959
31598,14925,52092
31605,15006,52156
31588,15031,52148
31541,15059,52184
31524,14983,52287
31568,14943,52372
31656,14884,52413
31666,14855,52412
31636,14865,52506
31644,14898,52508
31652,14958,52565
31712,15004,52415
31744,15041,52743
31712,15039,52724
31624,15014,52881
31540,14967,52928
31532,14931,52645
31584,14924,53020
31632,14965,52981
31708,14906,53111
31768,14960,53076
31804,15022,53245
31796,15082,53167
31732,15104,53252
31682,15002,53316
31668,14965,53309
31684,14911,53352
31736,14888,53479
31808,14908,53452
31892,14934,53496
31924,15013,53459
31924,15018,53638
32015,15061,53567
32076,15087,53714
32164,15011,53613
32160,14991,53793
32128,14938,53808
32220,14925,53744
32225,14943,53788
32244,14930,53780
32320,14971,53936
32458,15041,53845
32576,15113,53956
32620,15063,53876
32628,15059,53964
32585,15039,53973
32524,14935,54047
32552,14919,54007
32630,14951,54148
32792,14940,54069
32927,15005,54135
32941,15065,54181
32924,15121,54117
32936,15060,54229
32933,15046,53745
32896,15045,54229
32856,14941,54269
32881,14917,54260
32908,14920,54143
32936,14954,54324
33048,15041,54221
33136,15037,54308
33232,15077,54007
33224,15093,54352
33176,15069,54353
33132,15035,54292
33040,14960,54278
33020,14944,54124
33052,14976,54380
33128,15039,54373
33180,14988,54220
33220,15069,54406
33217,15097,54336
33156,15123,54276
33096,15047,54355
32992,15009,54279
32900,14962,54305
32896,14929,54359
32932,14943,54335
32836,14983,54212
32880,15042,54349
32965,15106,54340
32984,15089,54257
32948,15081,54268
32860,15054,54231
32793,15015,54212
32800,14964,54191
32784,14933,54311
32800,14957,54168
32868,14991,54264
32860,15056,54151
32860,15064,54183
32836,15100,54113
32820,15105,54183
32840,15103,53948
32824,15025,54085
32792,14968,54124
32752,14945,53988
32736,14959,54052
32788,15015,53919
32917,15073,54007
32932,15071,53921
32980,15132,53880
32988,15148,53832
32926,15078,53876
32848,15030,53860
32789,14991,53436
32772,14981,53822
32788,14996,53751
32824,14982,53706
32874,15043,53695
32880,15105,53646
32880,15144,53612
32908,15160,53621
32905,15078,53504
32876,15055,53548
32824,15005,53335
32824,14981,53534
32840,15021,53472
32876,14992,53469
32928,15041,53308
32924,15100,53397
32980,15145,53356
32988,15180,53332
32952,15090,53245
32932,15053,53236
32840,14999,53184
32760,14985,53172
32788,14992,53199
32877,15047,53187
32968,15046,52654
33008,15102,53125
32992,15144,53015
32941,15184,53067
32860,15142,52975
32828,15098,52917
32780,15083,52951
32804,14975,52879
32840,15000,52909
32884,15033,52791
32872,15116,52844
32860,15110,52724
32852,15146,52681
32832,15141,52671
32792,15119,52711
32688,15085,52634
32636,15039,52668
32616,15015,52542
32621,15041,52581
32649,15069,52500
32693,15127,52509
32696,15121,52487
32764,15174,52463
32792,15167,52359
32820,15155,52324
32760,15136,52345
32740,15077,52351
32724,15043,52354
32676,15052,52142
32668,15126,52262
32716,15069,52260
32742,15140,52165
32812,15182,52198
32832,15193,52185
32796,15191,52036
32772,15087,52152
32736,15049,52055
32716,15029,51591
32740,15028,52084
32808,15068,51959
32836,15158,52047
32868,15139,51878
32886,15175,51996
32860,15194,51927
32848,15174,51847
32844,15162,51943
32816,15054,51879
32764,15013,51583
32752,15045,51856
32740,15081,51860
32740,15095,51746
32800,15153,51829
32864,15199,51645
32784,15209,51807
32741,15231,51782
32824,15138,51767
32841,15081,51713
32820,15068,51652
32848,15130,51664
32964,15069,51716
33020,15118,51653
33044,15202,51655
33040,15190,51676
33064,15204,51372
33040,15219,51580
32965,15122,51676
32950,15094,51575
32912,15062,51549
32932,15093,51572
32949,15077,51608
32920,15119,51515
32897,15194,51580
32896,15212,51492
32888,15234,51335
32859,15207,51518
32832,15139,51501
32804,15110,51495
32768,15063,51375
32732,15082,51433
32788,15090,51396
32884,15159,51367
32960,15216,51278
33005,15284,51365
32996,15226,51244
32933,15194,50849
32820,15177,51262
32708,15124,51247
32668,15162,51168
32664,15089,51224
32716,15125,51092
32716,15212,51201
32741,15203,51072
32832,15245,51103
32884,15249,51133
32932,15229,51060
32944,15209,51079
32860,15204,50988
32772,15079,50852
32760,15083,50950
32852,15115,50904
32941,15159,50895
32928,15223,50669
32940,15261,50964
32928,15276,50921
32845,15267,50877
32800,15175,50793
32739,15127,50695
32688,15119,50839
32748,15111,50817
32860,15149,50780
32944,15187,50767
32996,15275,50652
33017,15261,50687
32992,15284,50679
32956,15254,50332
32880,15234,50676
32744,15200,50647
32700,15101,50464
32852,15126,50622
32948,15167,50505
33068,15238,50100
33128,15233,50541
33098,15275,50427
33125,15286,50101
33084,15262,50472
33046,15221,50463
32928,15205,50271
32920,15114,50397
32880,15145,50309
32880,15215,50319
32940,15204,50333
33020,15269,50008
33121,15333,50231
33096,15284,50156
33008,15250,49943
32969,15225,50189
32918,15184,50160
32872,15142,50052
32906,15161,50002
32989,15210,49829
33029,15264,49988
33127,15325,49919
33096,15301,49927
33052,15301,49881
32996,15286,49769
32865,15257,49790
32708,15227,49783
32516,15145,49695
32342,15143,49661
32180,15178,49542
32060,15242,49612
31768,15301,49601
31496,15351,49460
31204,15311,49519
30992,15287,49440
30921,15249,49002
30830,15212,49436
30660,15199,49396
30536,15205,49365
30620,15245,49319
30841,15240,49237
30974,15301,49151
31042,15346,49159
30940,15339,49184
30609,15333,49100
30377,15302,48937
30716,15251,48982
31760,15230,48733
33464,15241,48916
35380,15209,48898
36880,15281,48748
37668,15347,48808
37756,15459,48756
37276,15340,48612
36684,15320,48679
36060,15293,48573
35428,15292,48536
34964,15191,48480
34469,15200,48364
34064,15249,48359
33666,15285,48366
33392,15350,48263
33220,15418,48252
33136,15356,48103
33092,15358,48172
33088,15325,48108
33113,15247,47929
33072,15204,47935
33082,15217,47555
33096,15269,47916
33048,15317,47844
33033,15399,47548
33024,15378,47820
32900,15402,47713
32828,15365,47479
32872,15352,47749
32849,15316,47711
32784,15292,47680
32744,15237,47653
32712,15358,47596
32696,15313,47584
32684,15367,47457
32660,15409,47471
32656,15423,47465
32656,15395,47495
32657,15343,47480
32640,15335,47284
32560,15303,47316
32544,15255,46992
32504,15346,47285
32448,15428,47288
32484,15375,47261
32640,15425,47226
32744,15425,47057
32692,15410,47162
32600,15382,47111
32504,15316,46944
32417,15302,46953
32392,15324,46743
32390,15309,46965
32392,15354,46548
32368,15423,46844
32356,15495,46872
32352,15444,46812
32366,15430,46855
32417,15424,46460
32404,15326,46784
32376,15301,46765
32342,15308,46508
32372,15361,46749
32365,15411,46717
32424,15426,46639
32448,15476,46673
32460,15478,46333
32544,15478,46648
32580,15457,46616
32476,15345,46377
32420,15328,46663
32381,15354,46599
32396,15394,46639
32406,15449,46631
32380,15446,46557
32357,15485,46308
32381,15495,46617
32388,15485,46599
32360,15421,46304
32320,15367,46560
32272,15342,46500
32229,15378,46596
32181,15364,46277
32208,15407,46548
32208,15476,46589
32216,15520,46277
32196,15551,46479
32173,15469,46536
32132,15445,46580
32112,15403,46444
32112,15378,46481
32128,15383,46402
32140,15436,46543
32148,15422,46599
32208,15487,46455
32184,15537,46574
32169,15569,46587
32146,15486,46324
32173,15449,46566
32124,15420,46639
32076,15381,46384
32072,15416,46619
32044,15395,46549
31981,15448,46620
32000,15511,46646
31976,15561,46661
31892,15541,46663
