ECG,EDA,RR
32992,14069,27607
32916,14043,27496
32869,14016,27829
32840,13937,27793
32880,13980,27712
32944,14023,27941
33004,14078,27901
33004,14156,28087
32976,14105,28033
32959,14087,28294
32896,14063,28231
32888,14010,28365
32820,14000,28347
32832,14008,28412
32940,13957,28705
32992,13994,28644
33008,14045,28679
33080,14157,28831
33088,14167,28789
33044,14139,29047
32948,14086,29070
32900,14055,28935
32848,13943,29138
32816,13951,29360
32840,13986,29302
32904,14018,29473
32878,14060,29444
32912,14127,29684
32928,14159,29618
32896,14179,29807
32828,14039,29873
32784,13996,29877
32736,13960,30183
32744,13943,30060
32804,13984,30231
32848,14052,30324
32900,14034,30382
32960,14112,30597
32932,14136,30624
32929,14079,30631
32909,14059,30782
32854,14019,30876
32852,14010,30765
32860,13930,30975
32868,13947,31246
32944,13998,31373
32984,14088,31436
33032,14084,31558
32996,14122,31495
32916,14115,31609
32900,14036,31733
32865,14011,31810
32784,13985,31681
32712,13925,31783
32724,13975,31863
32800,14096,32028
32837,14028,32226
32904,14101,32324
32928,14207,32378
32897,14086,32487
32804,14058,32583
32804,13989,32664
32812,13951,32758
32840,13962,32919
32852,13947,32942
32864,14017,32967
32834,14031,33135
32892,14084,33452
32941,14104,33306
32916,14130,33439
32844,14030,33568
32782,14017,33710
32728,13951,33541
32712,14010,33639
32760,13951,33908
32806,14001,34004
32846,14108,34220
32928,14069,34229
32928,14085,34381
32937,14071,34340
32928,14052,34521
32860,14035,34817
32796,13924,34743
32764,13915,34879
32756,13956,34902
32832,13990,35103
32892,14096,35309
32880,14071,35239
32864,14091,35359
32836,14079,35409
32760,14068,35665
32684,13978,35711
32664,13932,35679
32660,13932,35877
32700,13955,35689
32760,14042,36004
32848,14012,36251
32840,14063,36172
32860,14081,36380
32828,14073,36407
32820,14049,36689
32802,14005,36588
32740,13943,36780
32717,13936,36646
32720,13985,36932
32745,13962,37197
32800,14037,37100
32820,14079,37261
32808,14150,37367
32784,14061,37127
32784,14057,37319
32764,14039,37648
32720,13925,37879
32745,13926,37988
32772,14004,37932
32848,13969,38001
32860,14034,38124
32896,14062,38231
32900,14082,38298
32812,14082,38269
32712,14075,38577
32598,13970,38631
32488,13920,38695
32520,13905,38733
32540,13939,39037
32589,13999,38879
32640,14059,39068
32708,14123,39290
32728,14065,39210
32688,14055,39371
32650,14050,39468
32636,13965,39214
32660,13941,39403
32704,13954,39711
32766,13914,39877
32822,13959,39965
32868,14020,39927
32956,14113,40141
32988,14082,40228
32992,14089,39915
32880,14009,40377
32813,13966,40687
32772,13935,40502
32764,13905,40706
32805,13968,40710
32862,13948,40916
32912,13994,41113
32950,14053,41048
32980,14125,41192
33008,14042,41268
32928,14020,41325
32805,13989,41538
32764,13948,41453
32823,13959,41671
32828,13910,41317
32877,13970,41620
32932,14012,41908
32996,14094,42193
33001,14170,42015
32932,14034,42175
32856,14017,42149
32796,13972,42471
32716,13929,42375
32730,13946,42607
32728,13905,42702
32740,13966,42535
32797,14051,42800
32878,14044,42968
32864,14075,43072
32804,14124,43176
32812,14021,43101
32804,13989,43361
32780,13964,43101
32756,13889,43317
32748,13927,43567
32796,13995,43677
32788,13982,43751
32789,14059,43717
32736,14084,43932
32644,14150,44020
32468,13999,43886
32268,13985,44108
32072,13921,44183
31828,13930,44317
31536,13960,44068
31280,13938,44428
31168,13997,44550
31060,14065,44581
31106,14127,44629
31192,14037,44604
31192,13997,44807
31288,13950,44935
31528,13915,44825
31900,13905,45031
32189,13957,45041
32309,13937,45164
32396,13985,45181
32512,14060,45305
32296,14102,45315
32213,14037,45470
32376,13997,45208
33028,13969,45476
34188,13946,45657
35532,13874,45605
36616,13893,45799
37208,13935,45775
37128,14018,45735
36688,14021,45925
36172,14054,45997
35604,14052,46073
35048,13993,46117
34512,13980,45829
33948,13955,46196
33450,13872,46300
33124,13917,46268
32881,13981,46397
32720,13970,46503
32660,14041,46551
32568,14076,46253
32464,14108,46596
32388,13988,46694
32376,13960,46727
32452,13947,46773
32440,13871,46741
32420,13901,46919
32492,13986,46966
32524,13966,47053
32544,14045,47092
32500,14127,46896
32436,14025,47214
32360,13998,47206
32318,13969,47367
32344,13885,47415
32372,13893,47127
32376,13943,47448
32448,13916,47596
32544,13981,47615
32602,14061,47644
32616,14032,47759
32560,14052,47514
32520,14055,47672
32456,13969,47799
32428,13942,47879
32448,13862,48033
32460,13909,48056
32440,13976,48070
32440,13956,48156
32480,14027,47824
32492,14055,48287
32493,14055,48263
32452,14046,48388
32376,13941,47989
32309,13912,48349
32309,13895,48516
32325,13972,48508
32332,13940,48556
32400,14002,48623
32488,14007,48696
32528,14046,48546
32460,14063,48703
32404,13983,48749
32360,13945,48856
32268,13906,48903
32252,13917,48946
32276,13877,48751
32324,13922,49028
32329,13973,49021
32424,14081,49132
32508,14037,48775
32516,14049,49188
32460,14035,49236
32420,13940,49205
32344,13892,49276
32352,13889,49300
32360,13884,49351
32320,13957,49351
32340,13954,49489
32348,14013,49156
32356,14046,49516
32321,14036,49588
32248,14044,49556
32200,14029,49671
32150,13881,49415
32180,13865,49613
32188,13885,49695
32276,13962,49772
32349,13945,49836
32376,14015,49777
32336,14069,49821
32312,14007,49890
32224,13974,49913
32116,13955,49870
32056,13909,49980
32020,13954,49873
32069,13861,50017
32140,13923,50055
32188,13964,50041
32244,14050,49688
32228,14018,49932
32216,14021,50127
32160,14023,50126
32133,13927,49671
32104,13879,50132
32044,13861,50200
32048,13910,50140
32050,13892,50183
32080,13956,49839
32084,14013,50101
32044,14062,50300
32044,14000,50207
32072,13982,50327
32032,13988,50183
31952,13879,50311
31832,13860,50311
31828,13919,50325
31916,13895,50380
31940,13932,50439
31930,13990,50428
31900,14026,50471
31908,14052,50137
31900,13964,50506
31860,13951,50548
31776,13915,50528
31732,13847,50127
31802,13873,50556
31852,13949,50624
31956,13938,50648
32022,14024,50649
32000,14015,50646
32016,14011,50629
32024,13999,50727
32004,13923,50732
32004,13891,50599
31937,13871,50663
31920,13900,50805
31996,13884,50812
32085,13957,50822
32132,13983,50836
32128,14007,50764
32089,14017,50809
32060,14055,50900
32020,13930,50911
31980,13892,50928
32004,13935,50744
32042,13861,50863
32101,13935,50869
32168,13924,50919
32208,14007,50915
32264,14002,50917
32304,14005,51001
32412,13988,51015
32456,13977,50951
32414,13860,51038
32332,13852,51036
32356,13861,50567
32464,13954,50670
32596,13920,51003
32692,13981,51022
32754,14037,51071
32780,14045,51044
32772,13960,51079
32768,13914,50887
32736,13881,51012
32752,13898,51084
32772,13834,51012
32888,13885,51088
33036,13961,51079
33124,13967,51028
33133,13994,50983
33152,14012,51049
33128,13969,51071
33076,13932,51070
33076,13890,51025
33096,13887,50831
33132,13922,51097
33244,13871,50980
33302,13909,51089
33288,13988,51023
33368,14052,50719
33336,13984,51053
33296,13971,51041
33244,13939,51095
33184,13896,51069
33212,13825,50652
33214,13834,51063
33313,13866,50996
33372,13922,51092
33416,14005,50999
33436,13988,50996
33444,13978,51116
33396,13957,51005
33324,13922,51095
33280,13863,50973
33252,13863,51073
33216,13932,51116
33276,13855,51036
33357,13926,51015
33408,14007,50992
33368,13978,51047
33356,13981,51111
33319,13957,51052
33240,13950,51007
33196,13908,51108
33173,13889,51039
33156,13823,51116
33164,13857,51016
33229,13920,50612
33244,14020,50904
33236,13977,50972
33188,13991,50999
33132,13971,51021
33076,13958,51079
33036,13853,51076
33072,13832,51063
33112,13917,51052
33132,13852,51025
33176,13927,51024
33192,13949,50999
33244,14000,50940
33173,14017,50925
33100,13937,50991
33044,13892,50780
33013,13852,50964
33028,13842,50913
33024,13841,50900
33054,13903,50932
33076,13892,50695
33125,13968,50780
33160,13991,50925
33108,14014,50880
33088,13933,50851
33064,13911,50812
33017,13864,50823
32964,13846,50844
33048,13929,50756
33148,13844,50789
33192,13910,50689
33197,13967,50676
33188,14027,50728
33184,13965,50647
33132,13933,50671
33076,13988,50685
33036,13839,50567
33076,13805,50636
33116,13817,50516
33172,13861,50596
33204,13948,50484
33212,13935,50477
33221,13977,50487
33197,13978,50380
33156,13953,50452
33108,13908,50431
33060,13862,50292
33016,13826,50284
32984,13860,50305
33037,13913,50324
33054,13881,50252
33108,13933,49980
33188,13978,50144
33181,14022,50183
33121,13925,50081
33048,13894,50102
32988,13846,50062
33005,13857,49956
33057,13797,49753
33116,13855,49798
33112,13903,49836
33180,13993,49865
33248,13951,49847
33244,13968,49799
33192,13972,49711
33052,13965,49652
32956,13829,49572
32996,13803,49565
33036,13827,49464
33088,13855,49543
33110,13901,49464
33132,13980,49426
33104,14026,49254
33093,14039,49364
33056,13925,49244
33032,13877,49239
33004,13830,49082
32948,13819,48901
32937,13820,49063
32961,13913,49047
33008,13868,49031
33076,13923,48993
33108,13965,48937
33104,13980,48885
33088,14005,48846
33056,13881,48772
33048,13837,48644
32989,13827,48679
33056,13871,48633
33036,13822,48576
33060,13865,48135
33156,13940,48343
33156,13980,48391
33136,13946,48345
33092,13921,48245
32988,13893,48262
32909,13873,48166
32884,13785,48053
32844,13815,48087
32900,13874,47953
32896,13862,47884
32960,13909,47844
32989,13957,47800
32960,13991,47736
32892,13907,47677
32876,13883,47623
32864,13885,47552
32852,13780,47565
32876,13806,47536
32900,13812,47487
32936,13876,47381
32936,13909,47339
32886,13951,47292
32892,13945,47089
32916,13937,47150
32900,13933,47087
32896,13811,46993
32852,13778,46991
32804,13791,46511
32876,13845,46720
32928,13909,46773
32976,13895,46717
32954,13929,46628
32920,13963,46536
32894,13965,46524
32868,13865,46458
32844,13807,46247
32800,13775,46324
32760,13788,46255
32756,13822,46130
32828,13900,46140
32884,13899,45668
32960,13947,45864
32984,13952,45909
32912,13941,45790
32836,13928,45776
32828,13807,45365
32840,13775,45524
32870,13777,45534
32896,13830,45463
32952,13871,45445
32988,13972,45016
32996,13945,45249
32932,13959,44993
32940,13952,45126
32900,13857,45063
32816,13831,44999
32777,13823,44935
32856,13769,44789
32984,13793,44837
32966,13849,44477
33036,13910,44624
33048,13981,44617
33017,13920,44569
32958,13900,44399
32888,13871,44356
32784,13840,44391
32712,13844,44001
32729,13763,44053
32804,13810,44082
32904,13915,44020
32932,13909,43996
32980,13940,43960
32985,13986,43911
32932,13887,43724
32916,13855,43837
32902,13819,43780
32864,13783,43388
32824,13819,43502
32836,13861,43572
32921,13912,43399
32948,13886,43444
32925,13925,43015
32892,13919,43229
32896,13906,43196
32848,13869,43220
32797,13874,43175
32777,13761,43104
32780,13775,42841
32760,13801,42948
32808,13861,42861
32836,13945,42453
32864,13916,42719
32884,13917,42743
32876,13908,42591
32823,13861,42485
32800,13813,42446
32788,13810,42364
32796,13753,42312
32856,13793,42247
32884,13897,42209
32944,13901,42137
32912,13959,42081
32906,13914,41574
32860,13897,41732
32828,13860,41852
32790,13855,41924
32765,13754,41875
32760,13760,41773
32788,13827,41677
32768,13884,41524
32892,13869,41479
32992,13915,41421
33088,13921,41325
33108,13935,41304
33078,13939,40849
33080,13792,41030
33064,13779,41191
33028,13759,41103
33048,13813,40938
33150,13812,40931
33257,13863,40469
33272,13922,40756
33205,13925,40702
33124,13903,40795
33056,13909,40780
32972,13784,40749
32924,13761,40655
32948,13784,40524
32900,13855,40316
32992,13805,40232
33045,13871,40229
33068,13938,40131
33089,13969,40124
33012,13991,40124
33016,13836,40055
33064,13804,40014
33065,13774,39941
33012,13805,39880
33012,13768,39821
33096,13806,39773
33132,13876,39695
33108,13943,39304
33100,13988,39225
33024,13883,39551
32980,13838,39463
32916,13806,39089
32905,13796,39324
32908,13732,39097
32840,13775,38911
32704,13837,38865
32564,13915,38788
32381,13893,39106
32092,13924,39059
31820,13907,39007
31500,13927,38945
31260,13782,38852
31080,13759,38704
31048,13791,38687
31164,13854,38652
31284,13800,38543
31408,13876,38677
31668,13891,38645
31996,13890,38513
32313,13878,38319
32360,13852,38279
32504,13826,38284
32524,13738,38276
32340,13730,38209
32268,13789,38166
32624,13895,38098
33564,13844,38046
34960,13912,37980
36413,13964,37943
37312,13852,37716
37616,13836,37521
37292,13783,37749
36733,13789,37825
36212,13724,37750
35672,13758,37637
35184,13801,37454
34749,13877,37336
34280,13938,37383
33856,13885,37337
33508,13875,37253
33197,13861,37164
32972,13764,37125
32820,13748,37058
32756,13764,37013
32664,13814,36620
32704,13791,36743
32724,13860,36881
32680,13902,36903
32600,13941,36604
32568,13858,36559
32556,13828,36497
32468,13767,36381
32396,13748,36404
32448,13758,36380
32500,13740,36301
32504,13811,36252
32516,13872,36212
32564,13881,36140
32540,13880,35781
32517,13883,35760
32480,13909,35673
32464,13776,35719
32380,13760,35569
32368,13712,35728
32353,13750,35709
32480,13791,35809
32534,13865,35503
32550,13934,35540
32548,13885,35424
32544,13878,35335
32481,13812,35334
32396,13762,35292
32352,13731,35263
32380,13767,35188
32449,13736,35132
32448,13787,35036
32488,13878,34735
32580,13860,34748
32540,13882,34844
32485,13867,34908
32398,13845,34741
32372,13822,34567
32332,13712,34589
32324,13720,34460
32374,13795,34389
32413,13775,34316
32404,13823,34335
32492,13925,34276
32453,13866,34244
32404,13857,34196
32348,13851,34117
32388,13752,34068
32348,13733,34020
32336,13759,33959
32352,13723,33900
32364,13787,33846
32441,13854,33759
32520,13857,33697
32488,13891,33437
32440,13866,33517
32388,13836,33639
32324,13815,33601
32320,13708,33317
32312,13726,33266
32320,13752,33261
32324,13769,33239
32384,13811,32944
32350,13868,32879
32348,13899,32929
32292,13901,32929
32248,13800,33020
32210,13751,32919
32172,13708,32732
32140,13708,32688
32172,13733,32564
32224,13787,32631
32292,13849,32540
32336,13919,32414
32348,13859,32373
32284,13852,32229
32229,13875,32157
32176,13758,32076
32137,13726,32071
32136,13696,32172
32105,13730,32112
32144,13797,32020
32172,13892,31983
32172,13846,31929
32112,13872,31839
32076,13831,31708
32000,13805,31588
31928,13819,31516
31928,13703,31431
31906,13711,31455
31904,13776,31367
31948,13753,31327
32032,13800,31366
32064,13868,31215
32064,13880,31007
32029,13897,30988
31972,13792,30946
31960,13754,30908
31958,13751,30847
32014,13684,30791
32008,13724,30717
32016,13801,30678
32068,13796,30623
32088,13863,30540
32052,13905,30487
31992,13830,30438
31940,13814,30356
31964,13743,30332
31932,13719,30389
31960,13709,30286
31999,13768,30119
32040,13745,30041
32050,13800,30000
32096,13859,29978
32177,13868,29831
32217,13893,29781
32136,13788,29801
32124,13762,29735
32108,13779,29761
32141,13686,29725
32176,13729,29508
32252,13797,29527
32329,13791,29501
32328,13855,29450
32308,13871,29399
32296,13885,29357
32272,13782,29289
32278,13756,29202
32304,13757,29156
32380,13686,29088
32421,13723,29015
32472,13795,29023
32514,13793,28980
32572,13841,28932
32621,13860,28847
32596,13868,28824
32605,13877,28790
32652,13737,28736
32685,13707,28691
32724,13729,28603
32787,13704,28393
32916,13743,28337
32932,13813,28288
33060,13925,28246
33021,13844,28269
32996,13844,28236
33016,13828,28351
33001,13731,28214
32976,13692,28119
33012,13703,28138
33084,13698,28100
33140,13761,28081
33212,13845,28085
33292,13838,27943
33320,13855,27919
33308,13869,27928
33224,13774,27669
33125,13736,27737
33112,13701,27702
33120,13695,27513
33122,13716,27565
33144,13776,27655
33185,13830,27429
33304,13827,27439
33348,13845,27429
33272,13866,27384
33220,13770,27332
33200,13748,27129
33121,13711,27061
33167,13773,27078
33133,13684,27100
33156,13747,27141
33200,13832,27058
33260,13831,27066
33284,13829,26916
33232,13820,26849
33184,13817,26881
33124,13725,26862
33125,13676,26638
33156,13679,26620
33136,13740,26615
33198,13720,26549
33244,13787,26518
33265,13844,26487
33260,13922,26451
33201,13812,26424
33176,13797,26462
33096,13775,26421
33044,13671,26511
33072,13690,26458
33032,13742,26341
33120,13721,26282
33160,13767,26269
33153,13818,26071
33212,13849,26064
33173,13823,26069
33168,13823,26044
33085,13724,26137
32992,13693,26164
33004,13673,26098
33000,13713,25996
33000,13775,26022
33084,13875,25953
33204,13810,25860
33196,13833,25823
33148,13853,25862
33096,13767,25783
33000,13730,25760
32968,13671,25917
32988,13671,25725
33084,13752,25736
33120,13715,25845
33188,13767,25637
33212,13820,25708
33180,13868,25696
33112,13905,25519
33094,13762,25492
33080,13722,25479
32988,13701,25516
32968,13710,25591
32960,13669,25628
33028,13732,25562
33112,13802,25585
33196,13905,25557
33196,13814,25373
33140,13803,25433
33120,13769,25429
33068,13768,25404
33028,13660,25232
33000,13678,25214
33040,13702,25190
33080,13764,25288
33108,13755,25381
33152,13810,25279
33141,13831,25223
33112,13856,25231
33036,13866,25104
33032,13716,25114
33026,13684,25095
32994,13707,25160
32992,13663,25159
33020,13725,25184
33080,13797,25146
33113,13796,25133
33144,13825,25101
33121,13813,25081
33078,13829,25053
33028,13727,24887
33044,13709,24804
33029,13642,24773
33038,13688,24759
33048,13743,24725
33076,13743,24709
33132,13811,24710
33105,13831,24785
33093,13846,24855
33064,13746,24701
33064,13719,24654
33012,13709,24732
33037,13637,24711
32993,13655,24557
32988,13701,24542
33013,13757,24607
33047,13855,24704
33044,13802,24580
33048,13788,24519
33000,13769,24570
32903,13765,24548
32848,13651,24407
32856,13651,24368
32892,13672,24338
32980,13727,24455
33004,13815,24510
32972,13790,24333
32920,13799,24426
32904,13798,24266
32940,13769,24224
32893,13770,24209
32864,13649,24202
32878,13647,24270
32840,13699,24356
32916,13789,24212
32968,13756,24212
32968,13828,24172
33036,13796,24151
33012,13790,24148
32936,13796,24202
32920,13698,24220
32948,13648,24140
32985,13664,24180
33004,13648,24057
33029,13705,24020
33016,13775,24005
33040,13780,24000
33065,13807,23962
32948,13850,24078
32860,13751,24173
32880,13745,24145
32862,13641,24142
32832,13631,24054
32876,13664,23974
32932,13715,23944
32928,13775,24019
32968,13775,23998
33060,13817,23877
33056,13816,23824
32977,13732,23804
32876,13711,23780
32865,13698,23820
32924,13629,23796
32945,13673,23860
32968,13677,23789
32908,13739,23733
32940,13836,23671
33040,13789,23681
33012,13812,23652
32952,13731,23661
32924,13700,23785
32860,13636,23598
32838,13637,23641
32845,13633,23716
32848,13681,23697
32900,13712,23675
32948,13783,23677
32992,13863,23663
32972,13764,23529
32893,13736,23491
32832,13728,23444
32792,13631,23559
32772,13634,23573
32784,13676,23628
32848,13665,23593
32892,13731,23450
32921,13878,23508
32961,13781,23422
32921,13825,23554
32868,13740,23537
32864,13751,23521
32864,13658,23433
32801,13688,23394
32796,13638,23493
32838,13700,23472
32909,13702,23462
32960,13797,23343
32932,13786,23217
32856,13801,23356
32840,13724,23425
32804,13694,23262
32784,13667,23239
32822,13665,23326
32896,13618,23314
32879,13678,23170
32860,13735,23152
32872,13817,23113
32928,13859,23299
32894,13756,23186
