fold,accuracy,precision,recall,f1,roc_auc,avg_precision,mse,mae,mean_confidence
1,0.625,0.0,0.0,0.0,0.5968323288787958,0.40059018461407525,0.3139159231916343,0.3974589330501088,1.0
2,0.13860884543289934,0.13403453369327153,0.9994303076338777,0.23636935237581963,0.46882681627380124,0.11648135852661982,0.25530611003330944,0.504823299883238,1.0
3,0.7172619047619048,1.0,0.5833333333333334,0.7368421052631579,0.8680555555555556,0.9443405099446955,0.22350928129209188,0.3968009664898827,1.0
4,0.8869047619047619,0.7142857142857143,1.0,0.8333333333333334,0.935226031884691,0.7707214396912792,0.10610926724276067,0.25720994813101633,1.0
5,0.9166666666666666,0.8028169014084507,1.0,0.890625,0.9791370317686108,0.9456827616428005,0.08945603838768718,0.25828467069991995,1.0
6,0.7172619047619048,0.8777777777777778,0.48466257668711654,0.6245059288537549,0.897797794248023,0.8920818054499481,0.18403045539931848,0.39187951301712365,1.0
7,0.8590604026845637,0.7345132743362832,0.8736842105263158,0.7980769230769231,0.9484573502722322,0.8923724807075248,0.12310490895708263,0.3265551707188555,1.0
8,0.8244047619047619,1.0,0.6894736842105263,0.8161993769470405,0.9349675558759913,0.9576769066703196,0.1599730733263998,0.36086778936996344,1.0
9,0.7232142857142857,0.7364341085271318,0.6168831168831169,0.6713780918727915,0.7211716854573997,0.6837714131723608,0.20446771347733386,0.38856612403123153,1.0
10,0.7073170731707317,0.5518672199170125,1.0,0.7112299465240641,0.9681088314005353,0.9526428316088573,0.1821775903047728,0.3938421319897582,1.0
11,0.3805774278215223,0.3805774278215223,1.0,0.5513307984790875,0.7398889538281707,0.7412266911082308,0.5083577644584972,0.5842155399597849,1.0
