fold,accuracy,precision,recall,f1,roc_auc,avg_precision,mse,mae,mean_confidence
1,0.625,0.0,0.0,0.0,0.5653768888112498,0.3788566143619906,0.3744936698602718,0.3751654188233949,0.8670538663864136
2,0.8666092507219211,0.0,0.0,0.0,0.41472802468147385,0.1075643411420688,0.13334634807342333,0.13351289948552053,0.45961794257164
3,0.7172619047619048,1.0,0.5833333333333334,0.7368421052631579,0.7915448343079922,0.907554050701419,0.2827380912060396,0.2827383651885401,0.4179076552391052
4,0.8869047619047619,0.7142857142857143,1.0,0.8333333333333334,0.9194802358593579,0.7169192622090351,0.11309516147991529,0.11318634284987725,0.45646432042121887
5,0.9434523809523809,0.8571428571428571,1.0,0.9230769230769231,0.9733681049470523,0.9406318576646658,0.05361362220303303,0.06344026554253494,0.4106113016605377
6,0.7976190476190477,0.8571428571428571,0.6993865030674846,0.7702702702702703,0.8695698429022305,0.8036087912562516,0.20237936924812536,0.2023865160554038,0.34805068373680115
7,0.87248322147651,0.7142857142857143,1.0,0.8333333333333334,0.9434275343531242,0.8653886408419558,0.12371092370120275,0.1293291599678995,0.3767610192298889
8,0.8303571428571429,1.0,0.7,0.8235294117647058,0.8491708723864455,0.9256666868849205,0.16964285972412144,0.16966099895208572,0.2913380265235901
9,0.7113095238095238,0.7142857142857143,0.6168831168831169,0.662020905923345,0.7881582703011274,0.7674182189772378,0.2883910545538977,0.28866866998393975,0.43833860754966736
10,0.6395663956639567,0.0,0.0,0.0,0.8470434560978718,0.8604638922409769,0.3266782997951517,0.36882588526784243,0.4064205288887024
11,0.6194225721784777,0.0,0.0,0.0,0.9430742255990647,0.9355713833275491,0.3708703544361783,0.38341121145052315,0.7022786140441895
