fold,accuracy,precision,recall,f1,roc_auc,avg_precision,mse,mae,mean_confidence
1,0.75,0.0,0.0,0.0,0.39763298104637956,0.32652470737504136,0.20934727967546948,0.3010897999759938,1.0
2,0.6779719081877356,0.0,0.0,0.0,0.34711560630115024,0.24450423690526413,0.2437777300002517,0.3705311619361024,1.0
3,0.8869047619047619,0.7142857142857143,1.0,0.8333333333333334,0.9358375191089758,0.7877548080155974,0.10320448228846073,0.23268323316283168,1.0
4,0.7678571428571429,0.4222222222222222,1.0,0.59375,0.8729799408916555,0.5095821993142741,0.19689033487835628,0.3818716520354861,1.0
5,0.6607142857142857,0.8571428571428571,0.5454545454545454,0.6666666666666666,0.756772030290472,0.8550292973874245,0.2484802332011954,0.4068931998141731,1.0
6,0.6964285714285714,0.7016129032258065,0.5723684210526315,0.6304347826086957,0.751537471395881,0.6924412275779317,0.2137678649963789,0.3810015912167728,1.0
7,0.6607142857142857,0.8571428571428571,0.5454545454545454,0.6666666666666666,0.7008627510077986,0.81454397369776,0.24902837256453675,0.39924421227936235,1.0
8,0.7410714285714286,0.7142857142857143,0.6597222222222222,0.6859205776173285,0.8156467013888888,0.660449784942658,0.1859477623579895,0.3574911016704781,1.0
9,0.8869047619047619,0.7142857142857143,1.0,0.8333333333333334,0.9413409041275388,0.8061900717063621,0.11240604789162878,0.30523944326809477,1.0
10,0.8869047619047619,0.7142857142857143,1.0,0.8333333333333334,0.9430443328237607,0.8314866687307505,0.14366896146419947,0.28937064417238745,1.0
11,0.7172619047619048,1.0,0.5833333333333334,0.7368421052631579,0.8441358024691358,0.9318589860998951,0.22905436511520616,0.39780965817737435,1.0
12,0.4791666666666667,1.0,0.2391304347826087,0.38596491228070173,0.7460623461853979,0.904717138512812,0.32092575775417215,0.5116696670828831,1.0
13,0.7317073170731707,1.0,0.23255813953488372,0.37735849056603776,1.0,1.0,0.1494259205787607,0.36860612575923846,1.0
14,0.6452513966480447,0.0,0.0,0.0,0.9989433139039438,0.9981565572774532,0.2532774093107555,0.3606307905313023,1.0
15,0.7158176943699732,0.6454545454545455,0.5144927536231884,0.5725806451612904,0.6761023743447424,0.6158593221868676,0.2128356387700318,0.4430079711426359,1.0
