fold,accuracy,precision,recall,f1,roc_auc,avg_precision,mse,mae,mean_confidence
1,0.6964285714285714,0.3584905660377358,1.0,0.5277777777777778,0.8644909765453059,0.4179183416901139,0.19983354873328274,0.38624423316546846,1.0
2,0.9391025641025641,0.8571428571428571,1.0,0.9230769230769231,0.9630515683147263,0.9130273773032069,0.11166869564496391,0.313739994684091,1.0
3,1.0,1.0,1.0,1.0,1.0,1.0,0.08350505310601565,0.27713752334094166,1.0
4,0.7172619047619048,1.0,0.5833333333333334,0.7368421052631579,0.8371101364522416,0.9289301601065861,0.21897002599613485,0.3975973827320905,1.0
5,0.625,1.0,0.4473684210526316,0.6181818181818182,0.8241146848602989,0.9291949091159748,0.2549037436876165,0.44480626154247493,1.0
6,0.9404761904761905,0.8507462686567164,1.0,0.9193548387096774,0.9811917180338233,0.9627333176336497,0.08078937512088084,0.2537180496202338,1.0
7,0.835820895522388,0.5714285714285714,1.0,0.7272727272727273,0.9496236247828604,0.8060712885568844,0.13067605291858594,0.3013104295256126,1.0
8,0.7172619047619048,1.0,0.5833333333333334,0.7368421052631579,0.8044184535412605,0.9156663625931498,0.19108449099099062,0.4151093037355514,1.0
9,0.5297619047619048,0.76,0.5341365461847389,0.6273584905660378,0.5088861191894013,0.7828578632729425,0.25817975384578445,0.4613279753497669,1.0
10,0.8869047619047619,0.7142857142857143,1.0,0.8333333333333334,0.9279318628521511,0.7909286964025177,0.11916163807639196,0.31526485018964323,1.0
11,0.6309523809523809,0.8209876543209876,0.5833333333333334,0.6820512820512821,0.7809048083170889,0.9044565552090023,0.23467185389373169,0.4388217745526206,1.0
12,0.6504065040650406,0.0,0.0,0.0,1.0,1.0,0.222066031163647,0.44420079349825375,1.0
13,0.8323863636363636,0.9444444444444444,0.5528455284552846,0.6974358974358974,0.9452195832001988,0.8906227988570238,0.18174704932690022,0.4193074911494147,1.0
14,0.37270341207349084,0.37566137566137564,0.9793103448275862,0.5430210325047801,0.5375803623611922,0.5625840600769878,0.4465510537221312,0.5839546971277302,1.0
15,0.6016260162601627,0.4746376811594203,0.9849624060150376,0.6405867970660146,0.9634892315534599,0.9576715730456293,0.1960094489934608,0.39704168545521373,1.0
