fold,accuracy,precision,recall,f1,roc_auc,avg_precision,mse,mae,mean_confidence
1,0.6547619047619048,0.32947976878612717,1.0,0.4956521739130435,0.8568823492422813,0.38915483813884777,0.24971403720932936,0.4521544304277216,1.0
2,0.9391025641025641,0.8571428571428571,1.0,0.9230769230769231,0.9615009746588694,0.917207914510393,0.1285205109777884,0.3438636832512342,1.0
3,1.0,1.0,1.0,1.0,1.0,1.0,0.08252096340033734,0.2807094459213428,1.0
4,0.7172619047619048,1.0,0.5833333333333334,0.7368421052631579,0.8006416504223521,0.910130121721999,0.20894853553108675,0.37724226025775787,1.0
5,0.7172619047619048,1.0,0.5833333333333334,0.7368421052631579,0.7903062053281351,0.9102219507786149,0.20915406303253897,0.4178017322417526,1.0
6,0.9434523809523809,0.8571428571428571,1.0,0.9230769230769231,0.9773194246878457,0.9476731585042085,0.0856237341732073,0.26177657805826693,1.0
7,0.835820895522388,0.5714285714285714,1.0,0.7272727272727273,0.9245801968731906,0.6983430310430501,0.14621013312520312,0.3183175121522068,1.0
8,0.7172619047619048,1.0,0.5833333333333334,0.7368421052631579,0.8652940220922678,0.9450480805779646,0.2161686877299203,0.42411353368134724,1.0
9,0.4523809523809524,0.7304964539007093,0.41365461847389556,0.5282051282051282,0.5375986705442459,0.7376878049436644,0.3173283517936851,0.5197622279326121,1.0
10,0.8869047619047619,0.7142857142857143,1.0,0.8333333333333334,0.9307272330203101,0.7401744801804653,0.13223211381791256,0.33766565365450724,1.0
11,0.6339285714285714,0.8260869565217391,0.5833333333333334,0.6838046272493573,0.7541016894087069,0.8952048263591181,0.20343541751900288,0.4240992707865579,1.0
12,0.47761194029850745,0.8571428571428571,0.4125,0.5569620253164557,0.6309451219512194,0.8793518156525586,0.4150357180830407,0.5658881516376538,1.0
13,0.7738095238095238,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7455461313381977,0.647443019711866,0.18016158624473352,0.35781891153947937,1.0
14,0.6934523809523809,0.4797979797979798,1.0,0.6484641638225256,0.9433937540947805,0.8358786387325663,0.20730723128078413,0.39264009626848356,1.0
15,0.6309523809523809,0.3149171270718232,1.0,0.4789915966386555,0.9376218323586745,0.6862587237257234,0.2161330329840914,0.41372788526738685,1.0
