fold,accuracy,precision,recall,f1,roc_auc,avg_precision,mse,mae,mean_confidence
1,0.75,0.0,0.0,0.0,0.4950505138731185,0.3072615184047127,0.246821495741434,0.25310414677750204,0.7414056062698364
2,0.6779719081877356,0.0,0.0,0.0,0.6173989119800458,0.41451916699486124,0.32201251727642394,0.32203355371921955,0.8055522441864014
3,0.8869047619047619,0.7142857142857143,1.0,0.8333333333333334,0.9334570867001528,0.7364268841534906,0.1127178514390687,0.11376374212306387,0.41915392875671387
4,0.8035714285714286,0.4608695652173913,0.9298245614035088,0.6162790697674418,0.8959944664528705,0.5172202229179687,0.15888585098217642,0.19744319257904136,0.36595022678375244
5,0.6607142857142857,0.8571428571428571,0.5454545454545454,0.6666666666666666,0.7764759070187998,0.8216149844734286,0.33928571428571414,0.3392857142857143,0.3817180097103119
6,0.7053571428571429,0.8732394366197183,0.40789473684210525,0.5560538116591929,0.8075300343249429,0.788141618741109,0.24472788372854584,0.30102794230715735,0.3985728323459625
7,0.37797619047619047,0.0,0.0,0.0,0.3664996420901932,0.6308293890010317,0.621685421203224,0.6220232533208114,0.3818957805633545
8,0.75,0.7419354838709677,0.6388888888888888,0.6865671641791045,0.7898401331018519,0.8035676883293946,0.24629705960343773,0.25089651388278994,0.4195423126220703
9,0.7172619047619048,0.0,0.0,0.0,0.08783577200262066,0.16780586469289113,0.2821416080255724,0.28905341368919746,0.2726951837539673
10,0.8898809523809523,0.7265625,0.9789473684210527,0.8340807174887892,0.950382179515178,0.847746059866532,0.1037571070522488,0.11020702569758864,0.42304739356040955
11,0.5803571428571429,1.0,0.3815789473684211,0.5523809523809524,0.8411712150747237,0.9382146756324308,0.40249056584204324,0.42181845026778475,0.33976832032203674
12,0.7113095238095238,1.0,0.5782608695652174,0.7327823691460055,0.8152994257588186,0.9242267144105956,0.28869062234273624,0.2889244323424128,0.3358279764652252
13,0.6504065040650406,0.0,0.0,0.0,0.999967700258398,0.9999403697078115,0.34673206799633083,0.3485406253984634,0.47354352474212646
14,0.6452513966480447,0.0,0.0,0.0,0.09666973446501007,0.27643037387038893,0.3546220233934214,0.354856791922887,0.5107784271240234
15,0.8096514745308311,0.8316831683168316,0.6086956521739131,0.702928870292887,0.8870181930311438,0.8196773322698091,0.14258869212351546,0.2185750476396542,0.29530787467956543
